ECA1507	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA1509	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA1517	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA1521	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA1555	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA1559	0.000010	0.999965	0.000015	0.000010	LD_0.9_4_1230
ECA1563	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA1571	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA1587	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA1605	0.000010	0.869103	0.130877	0.000010	LD_0.9_4_1230
ECA1609	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA161	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA1611	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA1615	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA162	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA1621	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA163	0.925468	0.000010	0.039211	0.035310	LD_0.9_4_1230
ECA1637	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA1657	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA1701	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA175	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA176	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA177	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA180	0.000010	0.000013	0.999967	0.000010	LD_0.9_4_1230
ECA182	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA183	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA185	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA186	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA2083	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA2093	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA2115	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA2299	0.000010	0.999970	0.000010	0.000010	LD_0.9_4_1230
ECA2373	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA2385	0.000010	0.999970	0.000010	0.000010	LD_0.9_4_1230
ECA2425	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA2617	0.000010	0.000014	0.000010	0.999966	LD_0.9_4_1230
ECA2618	0.000010	0.000010	0.000010	0.999970	LD_0.9_4_1230
ECA2621	0.000010	0.000018	0.000010	0.999962	LD_0.9_4_1230
ECA2623	0.000010	0.000014	0.999966	0.000010	LD_0.9_4_1230
ECA2625	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA2626	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA2636	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA2637	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA2639	0.000010	0.000010	0.000010	0.999970	LD_0.9_4_1230
ECA2645	0.000015	0.000010	0.999965	0.000010	LD_0.9_4_1230
ECA2647	0.000010	0.000010	0.000010	0.999970	LD_0.9_4_1230
ECA2663	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA2664	0.000010	0.000014	0.999966	0.000010	LD_0.9_4_1230
ECA2666	0.000010	0.000010	0.000010	0.999970	LD_0.9_4_1230
ECA2667	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA2670	0.000010	0.000010	0.000010	0.999970	LD_0.9_4_1230
ECA276	0.925555	0.000010	0.039531	0.034904	LD_0.9_4_1230
ECA278	0.999970	0.000010	0.000010	0.000010	LD_0.9_4_1230
ECA2808	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA287	0.000010	0.999970	0.000010	0.000010	LD_0.9_4_1230
ECA288	0.000010	0.115894	0.884086	0.000010	LD_0.9_4_1230
ECA2883	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA2890	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA2894	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA2936	0.000010	0.999970	0.000010	0.000010	LD_0.9_4_1230
ECA2975	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA3091	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA343	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA346	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA3502	0.000010	0.999970	0.000010	0.000010	LD_0.9_4_1230
ECA3503	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA3509	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA3708	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA371	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA3712	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA3713	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA3899	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA4382	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA4390	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA4394	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ECA4402	0.000010	0.000012	0.999968	0.000010	LD_0.9_4_1230
ECA569	0.999970	0.000010	0.000010	0.000010	LD_0.9_4_1230
ED3032	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
ED3037	0.000010	0.000010	0.999970	0.000010	LD_0.9_4_1230
