BRC20294	0.000010	0.000010	0.000010	0.000681	0.000010	0.999239	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20308	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	LD_0.9_10_1230
BRC20309	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	LD_0.9_10_1230
BRC20311	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	LD_0.9_10_1230
BRC20312	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	LD_0.9_10_1230
BRC20315	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	LD_0.9_10_1230
BRC20320	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	LD_0.9_10_1230
BRC20324	0.611809	0.000010	0.000010	0.000010	0.000010	0.388111	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20331	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	LD_0.9_10_1230
BRC20333	0.000013	0.000010	0.000013	0.000010	0.000010	0.000010	0.000010	0.185925	0.813989	0.000010	LD_0.9_10_1230
BRC20334	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	LD_0.9_10_1230
BRC20339	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	LD_0.9_10_1230
BRC20341	0.000010	0.000010	0.000010	0.000010	0.000010	0.000018	0.000010	0.120500	0.879412	0.000010	LD_0.9_10_1230
BRC20343	0.999910	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20346	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.971672	0.028248	0.000010	LD_0.9_10_1230
BRC20347	0.999907	0.000010	0.000010	0.000010	0.000013	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20348	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.655760	0.344160	0.000010	LD_0.9_10_1230
BRC20353	0.000010	0.000010	0.999902	0.000010	0.000010	0.000010	0.000010	0.000010	0.000018	0.000010	LD_0.9_10_1230
BRC20360	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20361	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20362	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20366	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	LD_0.9_10_1230
BRC20367	0.000013	0.000010	0.000010	0.000010	0.000012	0.000010	0.000010	0.419439	0.580476	0.000010	LD_0.9_10_1230
BRC20369	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20370	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	LD_0.9_10_1230
BRC20388	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	LD_0.9_10_1230
BRC20390	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	LD_0.9_10_1230
BRC20401	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20463	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.304017	0.695903	0.000010	LD_0.9_10_1230
BRC20492	0.643712	0.000010	0.000010	0.000010	0.000010	0.130838	0.000010	0.000010	0.225380	0.000010	LD_0.9_10_1230
BRC20499	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.654005	0.345915	0.000010	LD_0.9_10_1230
BRC20501	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.966297	0.033623	0.000010	LD_0.9_10_1230
BRC20502	0.092345	0.000010	0.000010	0.696011	0.000010	0.000010	0.000010	0.000010	0.079855	0.131729	LD_0.9_10_1230
BRC20503	0.091832	0.000010	0.000010	0.695722	0.000010	0.000013	0.000010	0.000010	0.080407	0.131976	LD_0.9_10_1230
BRC20519	0.645720	0.000010	0.000010	0.000010	0.000010	0.137661	0.000010	0.000010	0.216549	0.000010	LD_0.9_10_1230
BRC20520	0.643914	0.000010	0.000010	0.000010	0.000010	0.133685	0.000010	0.000010	0.222331	0.000010	LD_0.9_10_1230
BRC20522	0.999910	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20524	0.999910	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20529	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	LD_0.9_10_1230
BRC20530	0.999910	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20531	0.999910	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20532	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	LD_0.9_10_1230
BRC20533	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.918621	0.081299	0.000010	LD_0.9_10_1230
BRC20534	0.000011	0.000010	0.000010	0.000012	0.000010	0.000013	0.000010	0.996853	0.003061	0.000010	LD_0.9_10_1230
BRC20535	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	LD_0.9_10_1230
BRC20536	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	LD_0.9_10_1230
BRC20537	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	LD_0.9_10_1230
BRC20541	0.640313	0.000010	0.000010	0.000010	0.000010	0.145466	0.000010	0.000010	0.205989	0.008173	LD_0.9_10_1230
BRC20543	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	LD_0.9_10_1230
BRC20544	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.998510	0.001410	0.000010	LD_0.9_10_1230
BRC20545	0.000010	0.000010	0.000010	0.000010	0.000010	0.000017	0.000010	0.805763	0.194149	0.000010	LD_0.9_10_1230
BRC20556	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20557	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	LD_0.9_10_1230
BRC20565	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20571	0.000010	0.000010	0.024799	0.023313	0.000012	0.951816	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BRC20574	0.000010	0.000010	0.000015	0.000010	0.000010	0.999905	0.000010	0.000010	0.000010	0.000010	LD_0.9_10_1230
BW287	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.999910	LD_0.9_10_1230
