BRC20092	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.774125	0.000010	0.000010	0.000010	0.000010	0.225655	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20093	0.000010	0.000010	0.000010	0.999763	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000017	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20094	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.783198	0.000010	0.000010	0.000010	0.000010	0.216582	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20095	0.000010	0.000010	0.000010	0.999763	0.000010	0.000017	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20096	0.000010	0.000010	0.000010	0.999770	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20098	0.000010	0.000015	0.000010	0.999765	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20099	0.000010	0.000010	0.000010	0.906157	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.005895	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.087738	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20100	0.000010	0.000010	0.000017	0.452216	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000011	0.000010	0.000010	0.000010	0.000011	0.000010	0.547556	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20102	0.000010	0.000010	0.000010	0.968825	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000011	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.030954	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
BRC20103	0.000010	0.000010	0.000010	0.000010	0.000013	0.000016	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000015	0.000010	0.000010	0.000010	0.000010	0.999756	0.000010	0.000010	0.000010	0.000010	LD_0.9_24_1230
