strain,isotype,lat,long,strain_geo
NIC778,NIC828,23.60255,120.88322,Taiwan
NIC779,NIC779,23.72791,120.76594,Taiwan
NIC78,NIC67,4.08533,-52.6751,South America
NIC79,NIC67,4.08533,-52.6751,South America
NIC790,NIC790,23.83645,120.7249,Taiwan
NIC791,NIC791,23.83633,120.72447,Taiwan
NIC792,NIC792,23.83633,120.72447,Taiwan
NIC793,NIC793,23.83631,120.72486,Taiwan
NIC795,NIC795,23.83617,120.72563,Taiwan
NIC796,NIC796,23.83617,120.72563,Taiwan
NIC80,NIC67,4.08533,-52.6751,South America
NIC802,NIC802,23.83701,120.72771,Taiwan
NIC803,NIC803,23.81441,120.85687,Taiwan
NIC804,BRC20543,23.81441,120.85687,Taiwan
NIC805,NIC805,23.81441,120.85687,Taiwan
NIC806,NIC805,23.81441,120.85687,Taiwan
NIC807,BRC20543,23.81441,120.8568,Taiwan
NIC808,NIC815,23.81441,120.8568,Taiwan
NIC809,NIC815,23.81441,120.85663,Taiwan
NIC81,NIC67,4.08533,-52.6751,South America
NIC998,NIC67,4.04246,-52.67676,South America
PB420,AF16,23.03,72.56,Asia
PB800,PB800,39.823748,-84.289418,North America
PB826,PB857,39.58,-84.74,North America
PB857,PB857,39.784,84.0554,Asia
PB858,PB857,39.784,84.0554,Asia
PB859,PB857,39.784,84.0554,Asia
PE887,PE887,57.131806,-2.10514,Europe
QG1002,QG2665,9.164456,-79.844623,Central America
QG1005,QG1005,9.170573,-79.84316,Central America
QG1007,QG1007,9.164456,-79.844623,Central America
QG106,NIC174,40.7254,-74.045,North America
QG107,NIC174,40.7254,-74.045,North America
QG108,NIC174,40.7254,-74.045,North America
QG109,NIC174,40.7254,-74.045,North America
QG110,NIC174,40.7254,-74.045,North America
QG1100,QG1126,9.16835,-79.839279,Central America
QG1101,QG1126,9.16835,-79.839279,Central America
QG4099,QG4097,NA,NA,unknown
QG2690,QG2665,9.153933333,-79.83166667,Central America
QG2691,QG2648,9.153933333,-79.83166667,Central America
QG2692,QG2665,9.153933333,-79.83166667,Central America
QG2693,QG739,9.153933333,-79.83166667,Central America
QG2694,QG2663,9.153933333,-79.8316667,Central America
QG2695,QG2663,9.153933333,-79.83166667,Central America
QG2714,QG2736,9.1598,-79.8399,Central America
QG2717,QG865,9.165683333,-79.84003333,Central America
QG2718,QG865,9.165683333,-79.84003333,Central America
QG2728,QG2736,9.1598,-79.8399,Central America
QG2729,QG2736,9.1598,-79.8399,Central America
QG2730,QG2736,9.1598,-79.8399,Central America
QG2731,QG2736,9.1598,-79.8399,Central America
QG2734,QG2736,9.1598,-79.8399,Central America
QG2735,QG2736,9.1598,-79.8399,Central America
QG2736,QG2736,9.1598,-79.8399,Central America
QG2737,QG888,9.1598,-79.8399,Central America
QG2738,QG888,9.1598,-79.8399,Central America
QG2739,QG888,9.1598,-79.8399,Central America
QG2740,QG888,9.1598,-79.8399,Central America
QG2741,QG888,9.160633333,-79.83651667,Central America
QG2742,QG888,9.160633333,-79.83651667,Central America
QG2752,QG2665,9.1576,-79.8339333,Central America
QG2777,QG2736,9.1598,-79.8399,Central America
QG2778,QG865,9.165683333,-79.84003333,Central America
QG2779,QG865,9.165683333,-79.84003333,Central America
QG2780,QG865,9.165683333,-79.8400333,Central America
QG2781,QG865,9.165683333,-79.84003333,Central America
QG2782,QG1126,9.165683333,-79.8400333,Central America
QG2784,QG2736,9.1602,-79.8408,Central America
QG2882,QG2883,-16.9001167,145.7495833,Australia
QG4100,QG4097,-21.16879444,148.506575,Australia
QG4233,QG4233,-21.16862222,148.5080167,Australia
JU1802,JU1802,-21.12,55.778,Africa
JU1814,JU1814,4.9459,-52.316883,South America
JU1820,NIC67,4.08805,-52.675667,South America
JU1822,NIC67,4.087967,-52.675167,South America
JU1827,NIC67,4.087467,-52.67395,South America
JU1828,NIC67,4.087733,-52.674267,South America
JU1829,NIC67,4.08545,-52.675017,South America
JU1830,NIC67,4.085333,-52.6751,South America
JU1834,NIC67,4.0844,-52.675667,South America
JU1884,JU1884,15.7,-88.8,Central America
JU1885,JU1885,7.2995,80.6437,Asia
JU1907,JU1907,-17.495,145.612,Australia
JU1908,JU1908,-17.495,145.612,Australia
JU1909,JU1909,-18.5245,146.3327,Australia
JU1912,JU1913,-20.37,148.85,Australia
JU1913,JU1913,-20.37,148.85,Australia
JU1914,JU2506,-27.48,153.03,Australia
JU1987,NIC174,48.7015,2.1725,Europe
JU1992,NIC174,48.7015,2.1725,Europe
JU1993,NIC174,48.7015,2.1725,Europe
JU4099,BRC20498,20.2845,105.905,Asia
JU1994,NIC174,48.7015,2.1725,Europe
JU1995,NIC174,48.7015,2.1725,Europe
JU1996,NIC174,48.7015,2.1725,Europe
JU1997,NIC174,48.7015,2.1725,Europe
JU1998,NIC174,48.7015,2.1725,Europe
JU1999,NIC174,48.7015,2.1725,Europe
JU2004,NIC174,48.7015,2.1725,Europe
JU2032,NIC174,48.7015,2.1725,Europe
JU2044,NIC67,5.16,-52.9,South America
JU2045,NIC61,5.07,-52.72,South America
JU2053,JU2053,21.96385,-159.35838,Hawaii
JU2054,JU2054,21.96385,-159.35838,Hawaii
JU2055,EG6268,22.219,-159.5763,Hawaii
JU2056,JU2056,22.219,-159.5763,Hawaii
JU2057,JU2057,-12.77,45.14,Africa
JU2101,NIC174,48.7015,2.1725,Europe
JU2103,NIC174,48.7015,2.1725,Europe
JU2105,NIC174,49.121,1.951,Europe
JU2138,QR25,49.121,1.951,Europe
JU2142,NIC174,46.6277,1.0523,Europe
JU2143,NIC174,46.6245,1.0525,Europe
JU2144,NIC174,46.63,1.06,Europe
JU350,NIC174,44.42,4.4,Europe
JU351,NIC174,44.42,4.4,Europe
JU352,NIC174,44.42,4.4,Europe
JU353,NIC174,44.42,4.4,Europe
JU354,NIC174,44.42,4.4,Europe
JU355,NIC174,44.42,4.4,Europe
JU357,NIC174,44.42,4.4,Europe
JU358,NIC174,44.42,4.4,Europe
JU372,NIC174,49.113,1.96,Europe
JU373,NIC174,49.113,1.96,Europe
JU374,NIC174,49.113,1.96,Europe
JU375,NIC174,49.113,1.96,Europe
JU377,NIC174,49.113,1.96,Europe
JU378,NIC174,49.113,1.96,Europe
JU3784,NIC174,49.1269,1.9595,Europe
JU379,NIC174,49.113,1.96,Europe
JU380,NIC174,49.113,1.96,Europe
JU381,NIC174,49.113,1.96,Europe
JU382,NIC174,49.113,1.96,Europe
JU383,NIC174,49.113,1.96,Europe
JU403,NIC174,49.28,-0.32,Europe
JU404,NIC174,49.28,-0.32,Europe
JU4041,QG2849,21.04125,105.79484,Asia
JU4042,JU4042,21.03892,105.83122,Asia
JU4049,JU4051,22.32427,103.88277,Asia
JU405,NIC174,49.28,-0.32,Europe
JU4051,JU4051,22.3228,103.8841,Asia
JU4058,JU4058,22.301,103.9218,Asia
JU4288,NIC174,NA,NA,unknown
JU439,NIC174,64.1,-21.9,Europe
JU441,NIC174,48.715,1.56,Europe
JU516,NIC174,43.05,0.23,Europe
NIC1065,NIC1062,20.6854,-88.2097,Central America
JU4060,JU4060,22.2901,103.9332,Asia
JU4062,JU4062,22.2898,103.9338,Asia
JU4064,JU4064,22.2883,103.9369,Asia
JU4080,JU4080,12.0641,108.5043,Asia
JU4084,JU4084,12.1639,108.6667,Asia
HPT54,HPT54,-8.530492,115.164917,Pacific
JU4097,JU4097,12.15426,108.65825,Asia
HPT55,HPT55,-8.53075,115.164939,Pacific
HPT58,HPT54,-8.525,115.167,Pacific
HPT59,HPT59,-8.52519,115.16689,Pacific
HPT60,HPT60,-8.52522,115.16686,Pacific
AF16,AF16,23.03,72.56,Asia
BRC20069,BRC20069,25.04655556,121.6149472,Taiwan
BRC20073,BRC20073,25.04655556,121.6149472,Taiwan
BRC20075,BRC20075,24.790015,121.374604,Taiwan
BRC20076,BRC20390,24.790015,121.374604,Taiwan
BRC20077,BRC20077,24.793571,121.364232,Taiwan
BRC20081,BRC20081,24.602334,121.510549,Taiwan
BRC20085,BRC20085,24.794443,121.364029,Taiwan
BRC20086,BRC20390,24.793571,121.364232,Taiwan
BRC20088,BRC20088,25.15533333,121.5465611,Taiwan
BRC20089,BRC20089,25.15533333,121.5465611,Taiwan
BRC20090,BRC20090,24.744819,121.747742,Taiwan
BRC20092,BRC20092,25.016437,121.540237,Taiwan
BRC20093,BRC20093,23.94991389,121.5518917,Taiwan
BRC20094,BRC20094,25.015958,121.541761,Taiwan
BRC20095,BRC20095,24.74725,121.746266,Taiwan
BRC20096,BRC20096,25.04372222,121.6160639,Taiwan
BRC20098,BRC20098,25.04372222,121.6160639,Taiwan
BRC20099,BRC20099,25.043399,121.616268,Taiwan
BRC20100,BRC20100,24.70731,121.738054,Taiwan
BRC20102,BRC20102,24.336532,120.607411,Taiwan
BRC20103,BRC20103,25.04655556,121.6149472,Taiwan
BRC20105,BRC20105,NA,NA,unknown
BRC20107,BRC20107,NA,NA,unknown
BRC20115,BRC20115,24.114,120.8694,Taiwan
BRC20119,BRC20119,23.836799,120.727025,Taiwan
BRC20120,NIC815,23.81433,120.856579,Taiwan
BRC20121,NIC802,23.814211,120.856072,Taiwan
BRC20122,BRC20238,23.814211,120.856072,Taiwan
BRC20123,NIC805,23.81433,120.856579,Taiwan
BRC20224,BRC20543,23.601518,120.883642,Taiwan
BRC20228,BRC20228,23.572084,120.900213,Taiwan
BRC20229,BRC20229,23.572084,120.900213,Taiwan
BRC20230,BRC20230,23.670695,120.798589,Taiwan
BRC20232,BRC20232,23.60247,120.8838617,Taiwan
BRC20234,BRC20241,23.836415,120.725183,Taiwan
BRC20236,BRC20238,23.81433,120.856579,Taiwan
BRC20237,BRC20238,23.81433,120.856579,Taiwan
BRC20238,BRC20238,23.814211,120.856072,Taiwan
BRC20239,BRC20239,23.60095833,120.8821883,Taiwan
BRC20241,BRC20241,23.836415,120.725183,Taiwan
BRC20242,BRC20242,23.836623,120.728049,Taiwan
BRC20244,BRC20244,23.72641,120.758426,Taiwan
BRC20246,BRC20246,23.600568,120.883395,Taiwan
BRC20247,BRC20390,23.60117861,120.8825369,Taiwan
BRC20254,BRC20232,23.602922,120.883222,Taiwan
BRC20255,NIC802,23.670695,120.798589,Taiwan
BRC20256,BRC20246,23.669949,120.798873,Taiwan
BRC20257,BRC20257,NA,NA,unknown
BRC20260,BRC20260,23.600208,120.883767,Taiwan
BRC20269,BRC20331,25.01947778,121.9432,Taiwan
BRC20270,BRC20270,25.0998,121.839,Taiwan
BRC20272,BRC20272,25.0998,121.839,Taiwan
BRC20289,BRC20289,25.01947778,121.9432,Taiwan
BRC20290,BRC20290,25.01947778,121.9432,Taiwan
BRC20294,BRC20294,24.993796,121.53514,Taiwan
BRC20295,BRC20294,24.993796,121.53514,Taiwan
BRC20299,BRC20320,24.84201944,121.9516639,Taiwan
BRC20308,BRC20308,24.70210833,121.73775,Taiwan
BRC20309,BRC20309,24.70210833,121.73775,Taiwan
BRC20310,BRC20311,24.70210833,121.73775,Taiwan
BRC20311,BRC20311,24.70210833,121.73775,Taiwan
BRC20312,BRC20312,24.70210833,121.73775,Taiwan
BRC20315,BRC20315,24.70210833,121.73775,Taiwan
BRC20320,BRC20320,24.84201944,121.9516639,Taiwan
BRC20324,BRC20324,24.03965278,121.155,Taiwan
BRC20331,BRC20331,25.01947778,121.9432,Taiwan
BRC20333,BRC20333,24.602334,121.510549,Taiwan
BRC20334,BRC20334,24.70731,121.738054,Taiwan
BRC20339,BRC20339,24.951309,121.630089,Taiwan
BRC20341,BRC20341,24,121,Taiwan
BRC20342,BRC20343,24,121,Taiwan
BRC20343,BRC20343,24,121,Taiwan
BRC20345,NIC802,22.674838,120.492242,Taiwan
BRC20346,BRC20346,24.84201944,121.9516639,Taiwan
BRC20347,BRC20347,25.121206,121.593578,Taiwan
BRC20348,BRC20348,25.128031,121.58826,Taiwan
BRC20353,BRC20353,14,101,Asia
BRC20354,BRC20361,14,101,Asia
BRC20355,BRC20361,14,101,Asia
BRC20356,BRC20361,14,101,Asia
BRC20360,BRC20360,14,101,Asia
BRC20361,BRC20361,14,101,Asia
BRC20362,BRC20362,14,101,Asia
BRC20366,BRC20366,25.11698,121.733184,Taiwan
BRC20367,BRC20367,24.54670963,121.5069174,Taiwan
BRC20369,BRC20369,23.7132,120.7855556,Taiwan
BRC20370,BRC20370,24.77555556,121.5802778,Taiwan
BRC20388,BRC20388,34,135,Pacific
BRC20390,BRC20390,25.027105,121.576542,Taiwan
BRC20401,BRC20401,25.017012,121.557477,Taiwan
BRC20408,BRC20390,25.027105,121.576542,Taiwan
BRC20462,BRC20390,24.822658,121.735926,Taiwan
BRC20463,BRC20463,24.822658,121.735926,Taiwan
BRC20492,BRC20492,21.958635,120.811847,Taiwan
BRC20498,BRC20498,23.7,120.8,Taiwan
BRC20499,BRC20499,24,121.5,Taiwan
BRC20500,BRC20499,24,121.5,Taiwan
BRC20501,BRC20501,24,121.5,Taiwan
BRC20502,BRC20502,22.020651,121.572794,Taiwan
BRC20503,BRC20503,22.020651,121.572794,Taiwan
BRC20519,BRC20519,21.958778,120.811764,Taiwan
BRC20520,BRC20520,21.958778,120.811764,Taiwan
BRC20522,BRC20522,25.1839015,121.5206295,Taiwan
BRC20523,BRC20522,25.1839015,121.5206295,Taiwan
BRC20524,BRC20524,25.1839015,121.5206295,Taiwan
BRC20525,BRC20522,25.1849514,121.523616,Taiwan
BRC20526,TWN1899,25.193382,121.560711,Taiwan
BRC20528,NIC779,25.155152,121.546086,Taiwan
BRC20529,BRC20529,23.63725,120.685389,Taiwan
BRC20530,BRC20530,23.33725,120.712389,Taiwan
BRC20531,BRC20531,23.792667,120.798083,Taiwan
BRC20532,BRC20532,25.138139,121.672,Taiwan
BRC20533,BRC20533,24.182667,121.626472,Taiwan
BRC20534,BRC20534,24.182667,121.626472,Taiwan
BRC20535,BRC20535,24.182667,121.626472,Taiwan
BRC20536,BRC20536,24.182667,121.626472,Taiwan
BRC20537,BRC20537,23.416972,121.275389,Taiwan
BRC20540,BRC20115,22.223167,120.849917,Taiwan
BRC20541,BRC20541,22.924056,120.543,Taiwan
BRC20542,BRC20541,22.924056,120.543,Taiwan
BRC20543,BRC20543,23.792667,120.798083,Taiwan
BRC20544,BRC20544,24.182667,121.626472,Taiwan
BRC20545,BRC20545,23.416972,121.275389,Taiwan
BRC20556,BRC20556,24.822538,121.73566,Taiwan
BRC20557,BRC20557,24.822538,121.73566,Taiwan
BRC20565,BRC20565,22.67499807,121.503295,Taiwan
BRC20571,BRC20571,22.67151131,121.50634,Taiwan
BRC20574,BRC20574,22.67248185,121.505358,Taiwan
BW287,BW287,NA,NA,unknown
DF5100,DF5100,-23.8,31.4,Africa
ECA1127,ECA1174,19.85394722,-155.1540694,Hawaii
ECA1128,ECA1174,19.85394722,-155.1540694,Hawaii
ECA1129,ECA1129,19.71867222,-155.10835,Hawaii
ECA1130,ECA1129,19.71867222,-155.10835,Hawaii
ECA1143,ECA1143,21.3419,-157.8099,Hawaii
ECA1144,ECA1143,21.3419,-157.8099,Hawaii
ECA1145,ECA1143,21.3419,-157.8099,Hawaii
ECA1147,ECA1147,21.34188,-157.8097,Hawaii
ECA1148,ECA1149,21.34293,-157.8239,Hawaii
ECA1149,ECA1149,21.34293,-157.8239,Hawaii
ECA1150,ECA1149,21.34293,-157.8239,Hawaii
ECA1151,ECA1160,21.34298,-157.8232,Hawaii
ECA1152,ECA1160,21.34298,-157.8232,Hawaii
ECA1153,ECA1160,21.34286,-157.8231,Hawaii
ECA1154,ECA1160,21.34286,-157.8231,Hawaii
ECA1155,ECA1160,21.34286,-157.8231,Hawaii
ECA1156,ECA1160,21.34286,-157.8231,Hawaii
ECA1157,EG6268,21.34251,-157.8222,Hawaii
ECA1158,EG6268,21.34251,-157.8222,Hawaii
ECA1159,EG6268,21.34251,-157.8222,Hawaii
ECA1160,ECA1160,21.34286,-157.8231,Hawaii
ECA1161,ECA1160,21.34286,-157.8231,Hawaii
ECA1162,ECA1160,21.34251,-157.8222,Hawaii
ECA1163,ECA1160,21.34298,-157.8232,Hawaii
ECA1164,ECA1164,21.34298,-157.8232,Hawaii
ECA1165,ECA1160,21.34298,-157.8232,Hawaii
ECA1166,ECA1559,21.40083,-157.8887,Hawaii
ECA1167,ECA1559,21.40083,-157.8887,Hawaii
ECA1168,ECA1559,21.40083,-157.8887,Hawaii
ECA1169,ECA1559,21.40083,-157.8887,Hawaii
ECA1170,ECA1170,21.40083,-157.8887,Hawaii
ECA1171,ECA1174,20.0403,-155.442,Hawaii
ECA1172,ECA1383,20.0403,-155.442,Hawaii
ECA1173,ECA1383,20.0403,-155.442,Hawaii
ECA1174,ECA1174,20.0403,-155.442,Hawaii
ECA1175,ECA1174,20.0403,-155.442,Hawaii
ECA1176,ECA1174,20.0403,-155.442,Hawaii
ECA1177,ECA1383,20.0403,-155.442,Hawaii
ECA1178,ECA1383,20.0403,-155.442,Hawaii
ECA1179,ECA1383,20.0403,-155.442,Hawaii
ECA1180,ECA1383,20.0403,-155.442,Hawaii
ECA1181,ECA1383,20.0403,-155.442,Hawaii
ECA1182,ECA1559,20.0387,-155.4381,Hawaii
ECA1183,ECA2385,19.12069,-155.8198,Hawaii
ECA1381,ECA1383,20.040312,-155.442105,Hawaii
ECA1382,ECA1174,20.040312,-155.442105,Hawaii
ECA1383,ECA1383,20.040312,-155.442105,Hawaii
ECA1384,ECA1174,20.040417,-155.44201,Hawaii
ECA1387,ECA1437,22.034452,-159.379505,Hawaii
ECA1399,ECA1383,21.342699,-157.821547,Hawaii
ECA1407,ECA1383,21.342699,-157.821547,Hawaii
ECA1411,ECA1411,22.053192,-159.365224,Hawaii
ECA1423,ECA1423,22.034251,-159.379145,Hawaii
ECA1425,ECA1423,22.034251,-159.379145,Hawaii
ECA1427,ECA1429,22.061725,-159.346309,Hawaii
ECA1429,ECA1429,22.061725,-159.346309,Hawaii
ECA1431,ECA1431,22.063133,-159.347149,Hawaii
ECA1434,ECA1437,22.03447222,-159.3794278,Hawaii
ECA1435,ECA1437,22.03447222,-159.3794278,Hawaii
ECA1437,ECA1437,22.034472,-159.37943,Hawaii
ECA1439,ECA1439,22.061908,-159.34675,Hawaii
ECA1443,ECA1443,22.053315,-159.36556,Hawaii
ECA1455,ECA1559,21.395675,-157.90099,Hawaii
ECA1457,ECA1559,21.399,-157.8995,Hawaii
ECA1459,ECA1489,21.395675,-157.90099,Hawaii
ECA1461,ECA1559,21.395786,-157.90051,Hawaii
ECA1469,ECA1489,21.395675,-157.90099,Hawaii
ECA1471,ECA1471,21.311842,-157.76172,Hawaii
ECA1473,ECA1563,21.308741,-157.79564,Hawaii
ECA1475,ECA1563,21.308741,-157.79564,Hawaii
ECA1477,ECA1559,21.395786,-157.90051,Hawaii
ECA1479,ECA1559,21.401228,-157.88682,Hawaii
ECA1483,ECA1509,21.3184,-157.81864,Hawaii
ECA1485,ECA1509,21.3184,-157.81864,Hawaii
ECA1487,ECA1489,21.395558,-157.90104,Hawaii
ECA1489,ECA1489,21.395558,-157.90104,Hawaii
ECA1491,ECA1489,21.395558,-157.90104,Hawaii
ECA1495,ECA1507,21.310911,-157.79492,Hawaii
ECA1497,ECA1559,21.395675,-157.90099,Hawaii
ECA1499,ECA1489,21.395558,-157.90104,Hawaii
ECA1501,ECA1559,21.399,-157.8995,Hawaii
ECA1505,ECA1489,21.395675,-157.90099,Hawaii
ECA1507,ECA1507,21.310911,-157.79492,Hawaii
ECA1509,ECA1509,21.3184,-157.81864,Hawaii
ECA1511,ECA1509,21.3184,-157.81864,Hawaii
ECA1513,ECA2083,21.320797,-157.81977,Hawaii
ECA1517,ECA1517,21.317117,-157.81976,Hawaii
ECA1521,ECA1521,21.318231,-157.81974,Hawaii
ECA1523,ECA1559,21.399,-157.8995,Hawaii
ECA1525,ECA1559,21.399,-157.8995,Hawaii
ECA1527,ECA1563,21.307381,-157.79664,Hawaii
ECA1529,ECA2083,21.320797,-157.81977,Hawaii
ECA1531,ECA2083,21.320797,-157.81977,Hawaii
ECA1533,ECA2083,21.320797,-157.81977,Hawaii
ECA1535,ECA1563,21.308741,-157.79564,Hawaii
ECA1537,ECA1563,21.308741,-157.79564,Hawaii
ECA1539,ECA1563,21.308741,-157.79564,Hawaii
ECA1541,ECA1563,21.308741,-157.79564,Hawaii
ECA1543,ECA2083,21.320797,-157.81977,Hawaii
ECA1545,ECA1609,21.329439,-157.82219,Hawaii
ECA1547,ECA1555,21.300119,-157.76264,Hawaii
ECA1549,ECA1555,21.300119,-157.76264,Hawaii
ECA1551,ECA1555,21.300119,-157.76264,Hawaii
ECA1553,ECA1559,21.401228,-157.88682,Hawaii
ECA1555,ECA1555,21.300119,-157.76264,Hawaii
ECA1557,ECA1559,21.401228,-157.88682,Hawaii
ECA1559,ECA1559,21.401228,-157.88682,Hawaii
ECA1561,ECA1521,21.320522,-157.81975,Hawaii
ECA1563,ECA1563,21.307381,-157.79664,Hawaii
ECA1565,ECA1609,21.328925,-157.82301,Hawaii
ECA1567,ECA1609,21.329439,-157.82219,Hawaii
ECA1569,ECA1559,21.329439,-157.82219,Hawaii
ECA1571,ECA1571,21.392064,-157.90236,Hawaii
ECA1573,ECA1489,21.395875,-157.90066,Hawaii
ECA1575,ECA1609,21.328939,-157.82296,Hawaii
ECA1577,ECA1559,21.401228,-157.88682,Hawaii
ECA1587,ECA1587,21.308944,-157.7956,Hawaii
ECA1589,ECA1489,21.395875,-157.90066,Hawaii
ECA1591,ECA1489,21.395875,-157.90066,Hawaii
ECA1593,ECA1489,21.395875,-157.90066,Hawaii
ECA1595,ECA1489,21.395875,-157.90066,Hawaii
ECA1597,ECA1489,21.395875,-157.90066,Hawaii
ECA1601,ECA1489,21.394489,-157.90023,Hawaii
ECA1605,ECA1605,21.395786,-157.90051,Hawaii
ECA1607,ECA1160,21.329439,-157.82219,Hawaii
ECA1609,ECA1609,21.329439,-157.82219,Hawaii
ECA161,ECA161,20.854584,-156.169313,Hawaii
ECA1611,ECA1611,21.317486,-157.81858,Hawaii
ECA1613,ECA1611,21.317486,-157.81858,Hawaii
ECA1615,ECA1615,21.317486,-157.81858,Hawaii
ECA1617,ECA1611,21.317486,-157.81858,Hawaii
ECA1619,ECA1611,21.317486,-157.81858,Hawaii
ECA162,ECA162,20.79915,-156.03812,Hawaii
ECA1621,ECA1621,21.301669,-157.76258,Hawaii
ECA1623,ECA1621,21.301669,-157.76258,Hawaii
