strain1,strain2,geo_distance,isotype
JU2780,JU1205,15532.8985939958,NIC174
JU2780,JU1496,15532.8985939958,NIC174
JU2780,JU1497,15532.8985939958,NIC174
JU2780,JU1498,15532.8985939958,NIC174
JU2780,JU1499,15532.8985939958,NIC174
JU2780,JU1500,15532.8985939958,NIC174
JU2780,JU1509,15532.8985939958,NIC174
JU2780,JU1791,15532.8985939958,NIC174
JU2780,JU2145,15532.8985939958,NIC174
JU2780,JU2579,15532.8985939958,NIC174
JU2780,JU2580,15532.8985939958,NIC174
JU2780,JU2582,15532.8985939958,NIC174
JU2780,JU2583,15532.8985939958,NIC174
JU2780,JU2754,15532.8985939958,NIC174
JU2793,JU2780,15532.8985939958,NIC174
JU2823,JU2780,15532.8985939958,NIC174
JU2824,JU2780,15532.8985939958,NIC174
JU757,JU2780,15532.8985939958,NIC174
JU2780,JU1775,15495.0569174577,NIC174
JU2780,JU1776,15495.0439623831,NIC174
JU2780,JU403,15454.2728091387,NIC174
JU2780,JU404,15454.2728091387,NIC174
JU2780,JU405,15454.2728091387,NIC174
NIC253,JU2780,15450.2818910107,NIC174
NIC254,JU2780,15450.2818910107,NIC174
JU2780,JU350,15422.7664981576,NIC174
JU2780,JU351,15422.7664981576,NIC174
JU2780,JU352,15422.7664981576,NIC174
JU2780,JU353,15422.7664981576,NIC174
JU2780,JU354,15422.7664981576,NIC174
JU2780,JU355,15422.7664981576,NIC174
JU2780,JU357,15422.7664981576,NIC174
JU2780,JU358,15422.7664981576,NIC174
JU348,JU2780,15422.7664981576,NIC174
JU349,JU2780,15422.7664981576,NIC174
JU2780,NIC186,15415.5517282744,NIC174
JU2780,JU2596,15397.8812653331,NIC174
JU2780,JU2595,15397.7947876879,NIC174
JU2780,JU2594,15397.1566494085,NIC174
JU2780,JU2591,15397.1496697741,NIC174
JU2780,JU2590,15396.6749503725,NIC174
NIC1072,JU2780,15383.8692472641,NIC174
JU2780,JU441,15376.764675442,NIC174
JU2780,JU2221,15360.7976187526,NIC174
JU2780,JU2222,15360.7976187526,NIC174
JU2780,JU2224,15360.7976187526,NIC174
JU2780,JU1467,15342.0910686561,NIC174
JU2780,JU1468,15342.0910686561,NIC174
JU2780,JU1469,15342.0910686561,NIC174
JU2780,JU1470,15342.0910686561,NIC174
JU2780,JU1471,15342.0910686561,NIC174
JU2780,JU1472,15342.0910686561,NIC174
JU2780,JU1473,15342.0910686561,NIC174
JU2780,JU1474,15342.0910686561,NIC174
JU2780,JU1987,15339.7544474842,NIC174
JU2780,JU1992,15339.7544474842,NIC174
JU2780,JU1993,15339.7544474842,NIC174
JU2780,JU1994,15339.7544474842,NIC174
JU2780,JU1995,15339.7544474842,NIC174
JU2780,JU1996,15339.7544474842,NIC174
JU2780,JU1997,15339.7544474842,NIC174
JU2780,JU1998,15339.7544474842,NIC174
JU2780,JU1999,15339.7544474842,NIC174
JU2780,JU2004,15339.7544474842,NIC174
JU2780,JU2032,15339.7544474842,NIC174
JU2780,JU2101,15339.7544474842,NIC174
JU2780,JU2103,15339.7544474842,NIC174
JU2780,JU1529,15339.7544474842,NIC174
JU2780,JU1533,15339.7544474842,NIC174
JU2780,JU1542,15339.7544474842,NIC174
JU2780,JU1551,15339.7544474842,NIC174
JU2780,JU1556,15339.7544474842,NIC174
JU2780,JU1560,15339.7544474842,NIC174
JU2780,JU1561,15339.7544474842,NIC174
JU2780,JU2164,15339.7544474842,NIC174
JU2780,JU2206,15339.7544474842,NIC174
JU2780,JU2208,15339.7544474842,NIC174
JU2780,JU2217,15339.7544474842,NIC174
JU2780,JU2218,15339.7544474842,NIC174
JU2780,JU2219,15339.7544474842,NIC174
JU2780,JU2220,15339.7544474842,NIC174
JU2780,JU2223,15339.7544474842,NIC174
JU2780,JU2225,15339.7544474842,NIC174
JU2780,JU2226,15339.7544474842,NIC174
JU2780,JU2227,15339.7544474842,NIC174
JU2780,JU2228,15339.7544474842,NIC174
JU2780,JU2233,15339.7544474842,NIC174
JU2780,JU2247,15339.7544474842,NIC174
JU2780,JU2248,15339.7544474842,NIC174
JU2780,JU2252,15339.7544474842,NIC174
JU2780,JU2256,15339.7544474842,NIC174
JU2780,JU2562,15339.7544474842,NIC174
JU2780,JU2563,15339.7544474842,NIC174
JU2780,JU2567,15339.7544474842,NIC174
JU2780,JU2626,15339.7544474842,NIC174
JU2780,JU2779,15339.7544474842,NIC174
JU2780,JU1562,15339.318268865,NIC174
JU2780,JU1767,15339.318268865,NIC174
NIC498,JU2780,15329.5989641342,NIC174
JU2780,JU2531,15328.148616802,NIC174
JU2780,JU2105,15328.1176841325,NIC174
JU2780,JU372,15328.0540373812,NIC174
JU2780,JU373,15328.0540373812,NIC174
JU2780,JU374,15328.0540373812,NIC174
JU2780,JU375,15328.0540373812,NIC174
JU2780,JU377,15328.0540373812,NIC174
JU2780,JU378,15328.0540373812,NIC174
JU2780,JU379,15328.0540373812,NIC174
JU2780,JU380,15328.0540373812,NIC174
JU2780,JU381,15328.0540373812,NIC174
JU2780,JU382,15328.0540373812,NIC174
JU2780,JU383,15328.0540373812,NIC174
JU2780,JU1261,15327.8481197888,NIC174
JU2780,JU1262,15327.8481197888,NIC174
JU2780,JU1263,15327.8481197888,NIC174
JU2780,JU1264,15327.8481197888,NIC174
JU2780,JU1258,15327.8442889175,NIC174
JU2780,JU1259,15327.8442889175,NIC174
JU2780,JU1260,15327.6674410983,NIC174
JU2780,JU3784,15327.2403750846,NIC174
JU2780,JU1254,15327.1607957423,NIC174
JU2863,JU2780,15325.344243339,NIC174
JU2780,JU2229,15325.1959154273,NIC174
JU2780,JU1784,15320.0895317766,NIC174
JU2780,JU1788,15320.0895317766,NIC174
JU279,JU2780,15319.6712933285,NIC174
JU280,JU2780,15319.6409421046,NIC174
JU296,JU2780,15319.6409421046,NIC174
JU2780,JU1789,15318.6886088032,NIC174
JU2780,JU2577,15310.3493589258,NIC174
JU2780,JU2588,15300.0502534471,NIC174
JU2780,JU2766,15282.8771480243,NIC174
JU2780,NIC181,15263.7335270402,NIC174
JU2780,JU2584,15261.1248246902,NIC174
JU2780,NIC2103,15260.9243965369,NIC174
JU2780,NIC2112,15260.9243965369,NIC174
JU2780,NIC2096,15244.9897444722,NIC174
JU2780,NIC2097,15244.1254913007,NIC174
JU2780,NIC2098,15244.1254913007,NIC174
JU2780,NIC185,15153.3170094962,NIC174
NIC164,JU2780,15125.7345146123,NIC174
JU2780,NIC2093,15084.4844672195,NIC174
JU2780,NIC2190,15083.1003138845,NIC174
JU2780,NIC2191,15083.1003138845,NIC174
JU2780,NIC2192,15083.1003138845,NIC174
JU2780,NIC2193,15083.1003138845,NIC174
JU2780,NIC2194,15083.1003138845,NIC174
JU2780,NIC2189,15083.0907375582,NIC174
JU2780,NIC2182,15083.0846964005,NIC174
JU2780,NIC2184,15083.0846964005,NIC174
NIC151,JU2780,15079.4720753515,NIC174
JU2780,NIC2195,15077.5733151909,NIC174
JU2780,NIC2196,15077.5733151909,NIC174
JU2780,NIC2197,15077.5733151909,NIC174
JU2780,NIC2198,15077.5533375524,NIC174
JU2780,NIC2199,15077.5533375524,NIC174
NIC163,JU2780,15075.6505950301,NIC174
JU2780,NIC243,15075.4801624282,NIC174
JU2780,NIC149,15073.2332834426,NIC174
NIC1610,JU2780,15071.9669414111,NIC174
JU2780,NIC178,15071.6472379577,NIC174
NIC1618,JU2780,15071.0681915752,NIC174
NIC153,JU2780,15070.4913185358,NIC174
NIC154,JU2780,15070.4913185358,NIC174
NIC155,JU2780,15070.27003591,NIC174
NIC156,JU2780,15070.27003591,NIC174
NIC162,JU2780,15070.1778229194,NIC174
JU2780,NIC2200,15070.1119594025,NIC174
NIC5,JU2780,15069.8170151211,NIC174
NIC6,JU2780,15069.8170151211,NIC174
NIC157,JU2780,15067.3128113632,NIC174
NIC160,JU2780,15065.5120394876,NIC174
NIC161,JU2780,15065.5120394876,NIC174
JU2780,NIC173,15064.2682909365,NIC174
JU2780,NIC174,15064.2682909365,NIC174
JU2780,NIC175,15064.2682909365,NIC174
JU2780,NIC180,15064.2682909365,NIC174
JU2780,NIC179,15063.933388235,NIC174
NIC158,JU2780,15063.7351986525,NIC174
JU2780,NIC146,15062.4666063946,NIC174
JU2780,NIC171,15060.5396485812,NIC174
JU2780,NIC170,15047.2085203022,NIC174
JU2780,NIC169,15045.6151801001,NIC174
JU2780,NIC167,15037.6342079433,NIC174
JU2780,NIC182,15037.53421309,NIC174
JU835,JU2780,15013.1868610424,NIC174
JU836,JU2780,15013.1868610424,NIC174
JU837,JU2780,15013.1868610424,NIC174
JU838,JU2780,15013.1868610424,NIC174
JU839,JU2780,15013.1868610424,NIC174
JU840,JU2780,15013.1868610424,NIC174
JU841,JU2780,15013.1868610424,NIC174
JU842,JU2780,15013.1868610424,NIC174
JU843,JU2780,15013.1868610424,NIC174
JU844,JU2780,15013.1868610424,NIC174
JU845,JU2780,15013.1868610424,NIC174
JU846,JU2780,15013.1868610424,NIC174
NIC1089,JU2780,15006.728744222,NIC174
NIC1090,JU2780,15006.728744222,NIC174
NIC1088,JU2780,15001.698278367,NIC174
JU2780,JU2555,14992.7714743517,NIC174
JU2780,JU2556,14992.6836524019,NIC174
JU2905,JU2780,14939.1412218752,NIC174
JU2780,JU439,14881.8307003734,NIC174
JU1376,QG106,14844.2070917887,NIC174
JU1376,QG107,14844.2070917887,NIC174
JU1376,QG108,14844.2070917887,NIC174
JU1376,QG109,14844.2070917887,NIC174
JU1376,QG110,14844.2070917887,NIC174
QG111,JU1376,14844.2070917887,NIC174
QG112,JU1376,14844.2070917887,NIC174
QG113,JU1376,14844.2070917887,NIC174
QG114,JU1376,14844.2070917887,NIC174
QG115,JU1376,14844.2070917887,NIC174
QG116,JU1376,14844.2070917887,NIC174
QG117,JU1376,14844.2070917887,NIC174
QG118,JU1376,14844.2070917887,NIC174
QG119,JU1376,14844.2070917887,NIC174
QG120,JU1376,14844.2070917887,NIC174
QG121,JU1376,14844.2070917887,NIC174
MY2132,JU2780,14827.0822677875,NIC174
MY2049,JU2780,14823.3464013263,NIC174
MY682,JU2780,14823.3464013263,NIC174
MY699,JU2780,14823.3464013263,NIC174
MY701,JU2780,14823.3464013263,NIC174
MY702,JU2780,14823.3464013263,NIC174
MY727,JU2780,14823.3464013263,NIC174
MY728,JU2780,14823.3464013263,NIC174
MY750,JU2780,14823.3464013263,NIC174
MY751,JU2780,14823.3464013263,NIC174
MY752,JU2780,14823.3464013263,NIC174
MY754,JU2780,14823.3464013263,NIC174
MY755,JU2780,14823.3464013263,NIC174
MY756,JU2780,14823.3464013263,NIC174
MY761,JU2780,14823.3464013263,NIC174
MY765,JU2780,14823.3464013263,NIC174
MY771,JU2780,14823.3464013263,NIC174
MY918,JU2780,14823.3464013263,NIC174
MY945,JU2780,14823.3464013263,NIC174
MY646,JU2780,14822.0716904028,NIC174
MY661,JU2780,14822.0716904028,NIC174
MY709,JU2780,14822.0716904028,NIC174
MY683,JU2780,14821.9953225896,NIC174
NIC507,JU2780,14792.1886418384,NIC174
NIC509,JU2780,14792.120029666,NIC174
NIC510,JU2780,14792.120029666,NIC174
JU2780,NIC208,14676.6798546943,NIC174
JU2780,NIC209,14676.6798546943,NIC174
JU3276,JU2780,14479.8600440336,NIC174
JU3279,JU2780,14478.9729978957,NIC174
JU3278,JU2780,14478.9600351813,NIC174
NIC1100,JU2780,14240.5064488778,NIC174
JU2910,JU2747,13617.1860118161,JU2747
JU2783,JU2780,12250.5112450973,NIC174
JU2780,JU2773,12222.2705060025,NIC174
NIC398,JU1376,12134.964465244,NIC174
JU2533,JU2053,11967.4904529225,JU2053
JU2573,JU2053,11959.1813677864,JU2053
JU1376,JU439,11534.7774638604,NIC174
NIC398,JU2773,10293.2987993758,NIC174
NIC398,JU2783,10264.5782633676,NIC174
JU1257,JU1085,9738.22554425023,JU1257
EG6268,ECA2507,9632.90419065965,EG6268
EG6269,ECA2507,9632.90419065965,EG6268
EG6270,ECA2507,9632.90419065965,EG6268
EG6268,ECA2511,9632.90419065965,EG6268
EG6269,ECA2511,9632.90419065965,EG6268
EG6270,ECA2511,9632.90419065965,EG6268
EG6268,ECA2513,9632.90419065965,EG6268
EG6269,ECA2513,9632.90419065965,EG6268
EG6270,ECA2513,9632.90419065965,EG6268
EG6268,JU2055,9630.41445945937,EG6268
EG6269,JU2055,9630.41445945937,EG6268
EG6270,JU2055,9630.41445945937,EG6268
EG6268,ECA2936,9613.56429242766,EG6268
EG6269,ECA2936,9613.56429242766,EG6268
EG6270,ECA2936,9613.56429242766,EG6268
EG6268,ECA2937,9613.56429242766,EG6268
EG6269,ECA2937,9613.56429242766,EG6268
EG6270,ECA2937,9613.56429242766,EG6268
JU1376,JU403,9583.55022863513,NIC174
JU1376,JU404,9583.55022863513,NIC174
JU1376,JU405,9583.55022863513,NIC174
JU726,ECA3706,9508.59253404915,JU1344
JU793,JU726,9508.59253404915,JU1344
EG6268,ECA1157,9488.30736725833,EG6268
EG6269,ECA1157,9488.30736725833,EG6268
EG6270,ECA1157,9488.30736725833,EG6268
EG6268,ECA1158,9488.30736725833,EG6268
EG6269,ECA1158,9488.30736725833,EG6268
EG6270,ECA1158,9488.30736725833,EG6268
EG6268,ECA1159,9488.30736725833,EG6268
EG6269,ECA1159,9488.30736725833,EG6268
EG6270,ECA1159,9488.30736725833,EG6268
EG6268,ECA2892,9482.09716293262,EG6268
EG6269,ECA2892,9482.09716293262,EG6268
EG6270,ECA2892,9482.09716293262,EG6268
EG6268,ECA2893,9482.09716293262,EG6268
EG6269,ECA2893,9482.09716293262,EG6268
EG6270,ECA2893,9482.09716293262,EG6268
JU1376,JU1261,9446.09848841757,NIC174
JU1376,JU1262,9446.09848841757,NIC174
JU1376,JU1263,9446.09848841757,NIC174
JU1376,JU1264,9446.09848841757,NIC174
JU1376,JU1258,9446.01840759942,NIC174
JU1376,JU1259,9446.01840759942,NIC174
JU1376,JU1260,9445.9355721317,NIC174
JU1376,JU2105,9445.69025084209,NIC174
JU1376,JU3784,9445.65269452954,NIC174
JU2531,JU1376,9445.60576597561,NIC174
JU1376,JU1254,9445.48901452413,NIC174
JU1376,JU372,9444.61139686233,NIC174
JU1376,JU373,9444.61139686233,NIC174
JU1376,JU374,9444.61139686233,NIC174
JU1376,JU375,9444.61139686233,NIC174
JU1376,JU377,9444.61139686233,NIC174
JU1376,JU378,9444.61139686233,NIC174
JU1376,JU379,9444.61139686233,NIC174
JU1376,JU380,9444.61139686233,NIC174
JU1376,JU381,9444.61139686233,NIC174
JU1376,JU382,9444.61139686233,NIC174
JU1376,JU383,9444.61139686233,NIC174
JU1376,JU441,9437.85024527153,NIC174
JU2221,JU1376,9421.10113767283,NIC174
JU2222,JU1376,9421.10113767283,NIC174
JU2224,JU1376,9421.10113767283,NIC174
JU2863,JU1376,9408.39235650698,NIC174
JU1467,JU1376,9405.59462601267,NIC174
JU1468,JU1376,9405.59462601267,NIC174
JU1469,JU1376,9405.59462601267,NIC174
JU1470,JU1376,9405.59462601267,NIC174
JU1471,JU1376,9405.59462601267,NIC174
JU1472,JU1376,9405.59462601267,NIC174
JU1473,JU1376,9405.59462601267,NIC174
JU1474,JU1376,9405.59462601267,NIC174
JU279,JU1376,9402.92254654692,NIC174
JU280,JU1376,9402.90424841241,NIC174
JU296,JU1376,9402.90424841241,NIC174
JU1376,JU1987,9402.82323751593,NIC174
JU1376,JU1992,9402.82323751593,NIC174
JU1376,JU1993,9402.82323751593,NIC174
JU1376,JU1994,9402.82323751593,NIC174
JU1376,JU1995,9402.82323751593,NIC174
JU1376,JU1996,9402.82323751593,NIC174
JU1376,JU1997,9402.82323751593,NIC174
JU1376,JU1998,9402.82323751593,NIC174
JU1376,JU1999,9402.82323751593,NIC174
JU1376,JU2004,9402.82323751593,NIC174
JU1376,JU2032,9402.82323751593,NIC174
JU1376,JU2101,9402.82323751593,NIC174
JU1376,JU2103,9402.82323751593,NIC174
JU1529,JU1376,9402.82323751593,NIC174
JU1533,JU1376,9402.82323751593,NIC174
JU1542,JU1376,9402.82323751593,NIC174
JU1551,JU1376,9402.82323751593,NIC174
JU1556,JU1376,9402.82323751593,NIC174
JU1560,JU1376,9402.82323751593,NIC174
JU1561,JU1376,9402.82323751593,NIC174
JU2164,JU1376,9402.82323751593,NIC174
JU2206,JU1376,9402.82323751593,NIC174
JU2208,JU1376,9402.82323751593,NIC174
JU2217,JU1376,9402.82323751593,NIC174
JU2218,JU1376,9402.82323751593,NIC174
JU2219,JU1376,9402.82323751593,NIC174
JU2220,JU1376,9402.82323751593,NIC174
JU2223,JU1376,9402.82323751593,NIC174
JU2225,JU1376,9402.82323751593,NIC174
JU2226,JU1376,9402.82323751593,NIC174
JU2227,JU1376,9402.82323751593,NIC174
JU2228,JU1376,9402.82323751593,NIC174
JU2233,JU1376,9402.82323751593,NIC174
JU2247,JU1376,9402.82323751593,NIC174
JU2248,JU1376,9402.82323751593,NIC174
JU2252,JU1376,9402.82323751593,NIC174
JU2256,JU1376,9402.82323751593,NIC174
JU2562,JU1376,9402.82323751593,NIC174
JU2563,JU1376,9402.82323751593,NIC174
JU2567,JU1376,9402.82323751593,NIC174
JU2626,JU1376,9402.82323751593,NIC174
JU2779,JU1376,9402.82323751593,NIC174
NIC498,JU1376,9402.8034995147,NIC174
JU1562,JU1376,9402.31986978486,NIC174
JU1767,JU1376,9402.31986978486,NIC174
JU1789,JU1376,9400.79306634837,NIC174
JU1784,JU1376,9398.90666138944,NIC174
JU1788,JU1376,9398.90666138944,NIC174
JU2577,JU1376,9384.55277064313,NIC174
JU2584,JU1376,9381.95379911606,NIC174
EG6268,ECA2499,9374.26948984084,EG6268
EG6269,ECA2499,9374.26948984084,EG6268
EG6270,ECA2499,9374.26948984084,EG6268
EG6268,ECA2501,9374.26948984084,EG6268
EG6269,ECA2501,9374.26948984084,EG6268
EG6270,ECA2501,9374.26948984084,EG6268
EG6268,ECA2503,9374.26948984084,EG6268
EG6269,ECA2503,9374.26948984084,EG6268
EG6270,ECA2503,9374.26948984084,EG6268
EG6268,ECA2505,9374.26948984084,EG6268
EG6269,ECA2505,9374.26948984084,EG6268
EG6270,ECA2505,9374.26948984084,EG6268
EG6268,ECA2515,9374.26948984084,EG6268
EG6269,ECA2515,9374.26948984084,EG6268
EG6270,ECA2515,9374.26948984084,EG6268
MY2132,JU1376,9373.87977276055,NIC174
MY646,JU1376,9371.50882203582,NIC174
MY661,JU1376,9371.50882203582,NIC174
MY709,JU1376,9371.50882203582,NIC174
MY683,JU1376,9371.34291689851,NIC174
MY2049,JU1376,9370.89144580885,NIC174
MY682,JU1376,9370.89144580885,NIC174
MY699,JU1376,9370.89144580885,NIC174
MY701,JU1376,9370.89144580885,NIC174
MY702,JU1376,9370.89144580885,NIC174
MY727,JU1376,9370.89144580885,NIC174
MY728,JU1376,9370.89144580885,NIC174
MY750,JU1376,9370.89144580885,NIC174
MY751,JU1376,9370.89144580885,NIC174
MY752,JU1376,9370.89144580885,NIC174
MY754,JU1376,9370.89144580885,NIC174
MY755,JU1376,9370.89144580885,NIC174
MY756,JU1376,9370.89144580885,NIC174
MY761,JU1376,9370.89144580885,NIC174
MY765,JU1376,9370.89144580885,NIC174
MY771,JU1376,9370.89144580885,NIC174
MY918,JU1376,9370.89144580885,NIC174
MY945,JU1376,9370.89144580885,NIC174
JU2229,JU1376,9333.94770170129,NIC174
JU2766,JU1376,9329.08676985218,NIC174
JU1775,JU1376,9316.59326669087,NIC174
JU1776,JU1376,9316.58166935331,NIC174
JU1376,JU2142,9316.5504059616,NIC174
JU1376,JU2143,9316.30958181521,NIC174
JU1376,JU2144,9316.26439384058,NIC174
JU1376,JU1038,9316.26439384058,NIC174
JU1376,JU1041,9316.26439384058,NIC174
JU1376,JU1042,9316.26439384058,NIC174
JU1376,JU1043,9316.26439384058,NIC174
JU1376,JU1044,9316.26439384058,NIC174
JU1376,JU1045,9316.26439384058,NIC174
JU1376,JU1046,9316.26439384058,NIC174
JU1376,JU1047,9316.26439384058,NIC174
JU1376,JU1048,9316.26439384058,NIC174
JU1376,JU1049,9316.26439384058,NIC174
JU1376,JU1205,9316.26439384058,NIC174
JU1496,JU1376,9316.26439384058,NIC174
JU1497,JU1376,9316.26439384058,NIC174
JU1498,JU1376,9316.26439384058,NIC174
JU1499,JU1376,9316.26439384058,NIC174
JU1500,JU1376,9316.26439384058,NIC174
JU1509,JU1376,9316.26439384058,NIC174
JU1791,JU1376,9316.26439384058,NIC174
JU2145,JU1376,9316.26439384058,NIC174
JU2579,JU1376,9316.26439384058,NIC174
JU2580,JU1376,9316.26439384058,NIC174
JU2582,JU1376,9316.26439384058,NIC174
JU2583,JU1376,9316.26439384058,NIC174
JU2754,JU1376,9316.26439384058,NIC174
JU2793,JU1376,9316.26439384058,NIC174
JU2823,JU1376,9316.26439384058,NIC174
JU2824,JU1376,9316.26439384058,NIC174
JU757,JU1376,9316.26439384058,NIC174
JU2780,JU1376,9261.76168020378,NIC174
JU2773,QG106,9143.97472569334,NIC174
JU2773,QG107,9143.97472569334,NIC174
JU2773,QG108,9143.97472569334,NIC174
JU2773,QG109,9143.97472569334,NIC174
JU2773,QG110,9143.97472569334,NIC174
QG111,JU2773,9143.97472569334,NIC174
QG112,JU2773,9143.97472569334,NIC174
QG113,JU2773,9143.97472569334,NIC174
QG114,JU2773,9143.97472569334,NIC174
QG115,JU2773,9143.97472569334,NIC174
QG116,JU2773,9143.97472569334,NIC174
QG117,JU2773,9143.97472569334,NIC174
QG118,JU2773,9143.97472569334,NIC174
QG119,JU2773,9143.97472569334,NIC174
QG120,JU2773,9143.97472569334,NIC174
QG121,JU2773,9143.97472569334,NIC174
JU794,JU1376,9113.0866611418,NIC174
JU795,JU1376,9113.0866611418,NIC174
JU796,JU1376,9113.0866611418,NIC174
JU797,JU1376,9113.0866611418,NIC174
JU1376,JU516,9113.01687099473,NIC174
JU835,JU1376,9099.97404501722,NIC174
JU836,JU1376,9099.97404501722,NIC174
JU837,JU1376,9099.97404501722,NIC174
JU838,JU1376,9099.97404501722,NIC174
JU839,JU1376,9099.97404501722,NIC174
JU840,JU1376,9099.97404501722,NIC174
JU841,JU1376,9099.97404501722,NIC174
JU842,JU1376,9099.97404501722,NIC174
JU843,JU1376,9099.97404501722,NIC174
JU844,JU1376,9099.97404501722,NIC174
JU845,JU1376,9099.97404501722,NIC174
JU846,JU1376,9099.97404501722,NIC174
JU2783,QG106,9096.90551471586,NIC174
JU2783,QG107,9096.90551471586,NIC174
JU2783,QG108,9096.90551471586,NIC174
JU2783,QG109,9096.90551471586,NIC174
JU2783,QG110,9096.90551471586,NIC174
QG111,JU2783,9096.90551471586,NIC174
QG112,JU2783,9096.90551471586,NIC174
QG113,JU2783,9096.90551471586,NIC174
QG114,JU2783,9096.90551471586,NIC174
QG115,JU2783,9096.90551471586,NIC174
QG116,JU2783,9096.90551471586,NIC174
QG117,JU2783,9096.90551471586,NIC174
QG118,JU2783,9096.90551471586,NIC174
QG119,JU2783,9096.90551471586,NIC174
QG120,JU2783,9096.90551471586,NIC174
QG121,JU2783,9096.90551471586,NIC174
JU2555,JU1376,9092.26139459924,NIC174
JU2556,JU1376,9092.13388294166,NIC174
JU3422,JU3272,9080.81758156236,JU3272
JU3422,JU3273,9080.78245414516,JU3272
JU3420,JU3272,9080.52991830632,JU3272
JU3420,JU3273,9080.49479018604,JU3272
JU2786,JU1376,9076.57642253833,NIC174
JU2792,JU1376,9076.57642253833,NIC174
NIC1047,JU1376,9075.32670817335,NIC174
NIC1048,JU1376,9075.32670817335,NIC174
JU2588,JU1376,9008.55671415361,NIC174
JU1376,NIC169,9005.59646963551,NIC174
JU1376,NIC170,9003.80361989283,NIC174
NIC164,JU1376,9003.2117645279,NIC174
JU1376,NIC179,9002.23159341622,NIC174
JU1376,NIC182,9001.82532794509,NIC174
NIC163,JU1376,9001.65320072501,NIC174
NIC1618,JU1376,8999.76757066102,NIC174
JU1376,NIC185,8999.56910755924,NIC174
JU1376,NIC178,8998.08809361359,NIC174
JU1376,NIC167,8997.78901775771,NIC174
NIC158,JU1376,8997.61843057307,NIC174
JU1376,NIC243,8997.51970201453,NIC174
JU1376,NIC149,8997.4436678301,NIC174
NIC151,JU1376,8997.39501523978,NIC174
NIC162,JU1376,8997.00644950518,NIC174
NIC153,JU1376,8996.74536221768,NIC174
NIC154,JU1376,8996.74536221768,NIC174
NIC5,JU1376,8996.71187828105,NIC174
NIC6,JU1376,8996.71187828105,NIC174
NIC160,JU1376,8996.64254750628,NIC174
NIC161,JU1376,8996.64254750628,NIC174
JU1376,NIC2200,8996.63673277262,NIC174
JU1376,NIC171,8995.96937937858,NIC174
JU1376,NIC146,8995.0378625053,NIC174
NIC1610,JU1376,8991.35321719962,NIC174
JU1376,NIC2093,8991.09072992515,NIC174
JU1376,NIC173,8987.64767267265,NIC174
JU1376,NIC174,8987.64767267265,NIC174
JU1376,NIC175,8987.64767267265,NIC174
JU1376,NIC180,8987.64767267265,NIC174
JU1376,NIC2182,8983.27183050951,NIC174
JU1376,NIC2184,8983.27183050951,NIC174
JU1376,NIC2189,8983.26569895462,NIC174
JU1376,NIC2190,8983.26203024685,NIC174
JU1376,NIC2191,8983.26203024685,NIC174
JU1376,NIC2192,8983.26203024685,NIC174
JU1376,NIC2193,8983.26203024685,NIC174
JU1376,NIC2194,8983.26203024685,NIC174
JU1376,NIC2198,8976.71092905141,NIC174
JU1376,NIC2199,8976.71092905141,NIC174
JU1376,NIC2195,8976.69575428687,NIC174
JU1376,NIC2196,8976.69575428687,NIC174
JU1376,NIC2197,8976.69575428687,NIC174
NIC155,JU1376,8973.86361159655,NIC174
NIC156,JU1376,8973.86361159655,NIC174
NIC157,JU1376,8971.75328036537,NIC174
