N	eigenvalue	difference	twstat	p-value	effect.n
165	0.880200	-0.000988	-8.543	1	891.273
166	0.878041	-0.002159	-8.272	1	891.901
167	0.876725	-0.001316	-7.885	1	892.586
168	0.874132	-0.002593	-7.661	1	893.350
169	0.867074	-0.007058	-8.029	1	894.163
170	0.863847	-0.003227	-7.896	1	894.908
171	0.860371	-0.003477	-7.795	1	895.682
172	0.857089	-0.003281	-7.668	1	896.481
173	0.848494	-0.008595	-8.263	1	897.311
174	0.844237	-0.004257	-8.283	1	898.025
175	0.840658	-0.003579	-8.212	1	898.739
176	0.839334	-0.001324	-7.832	1	899.471
177	0.837950	-0.001383	-7.452	1	900.284
178	0.828515	-0.009436	-8.186	1	901.179
179	0.821220	-0.007295	-8.642	1	901.930
180	0.814692	-0.006528	-9.004	1	902.591
181	0.811165	-0.003527	-8.954	1	903.184
182	0.806834	-0.004330	-9.019	1	903.789
183	0.802073	-0.004761	-9.149	1	904.385
184	0.796298	-0.005776	-9.429	1	904.958
185	0.789559	-0.006738	-9.857	1	905.476
186	0.788036	-0.001523	-9.546	1	905.912
187	0.785501	-0.002535	-9.375	1	906.413
188	0.780606	-0.004895	-9.546	1	906.951
189	0.777231	-0.003375	-9.502	1	907.457
190	0.775233	-0.001997	-9.256	1	907.974
191	0.770606	-0.004627	-9.394	1	908.545
192	0.768170	-0.002436	-9.214	1	909.091
193	0.764700	-0.003470	-9.185	1	909.677
194	0.762030	-0.002670	-9.038	1	910.271
195	0.758191	-0.003839	-9.065	1	910.900
196	0.750784	-0.007407	-9.632	1	911.527
197	0.747337	-0.003446	-9.617	1	912.038
198	0.744887	-0.002451	-9.452	1	912.554
199	0.736745	-0.008142	-10.153	1	913.109
200	0.731700	-0.005045	-10.399	1	913.519
201	0.729626	-0.002075	-10.197	1	913.879
202	0.725907	-0.003719	-10.246	1	914.285
203	0.719822	-0.006085	-10.664	1	914.681
204	0.717058	-0.002764	-10.578	1	914.993
205	0.709484	-0.007573	-11.244	1	915.324
206	0.703434	-0.006050	-11.688	1	915.518
207	0.703026	-0.000408	-11.255	1	915.621
208	0.694983	-0.008043	-12.022	1	915.814
209	0.691087	-0.003896	-12.150	1	915.849
210	0.689880	-0.001207	-11.854	1	915.859
211	0.688706	-0.001174	-11.548	1	915.929
212	0.681563	-0.007142	-12.195	1	916.064
213	0.680312	-0.001251	-11.909	1	916.065
214	0.666405	-0.013907	-13.666	1	916.126
215	0.664865	-0.001540	-13.456	1	915.826
216	0.660748	-0.004117	-13.662	1	915.567
217	0.657409	-0.003339	-13.747	1	915.265
218	0.649973	-0.007436	-14.507	1	914.945
219	0.648641	-0.001332	-14.281	1	914.471
220	0.647517	-0.001124	-14.017	1	914.040
221	0.646231	-0.001287	-13.775	1	913.661
222	0.643476	-0.002754	-13.774	1	913.329
223	0.641196	-0.002280	-13.696	1	912.996
224	0.638578	-0.002618	-13.674	1	912.677
225	0.635411	-0.003167	-13.745	1	912.362
226	0.629407	-0.006005	-14.298	1	912.031
227	0.626048	-0.003358	-14.416	1	911.584
228	0.625477	-0.000571	-14.066	1	911.112
229	0.616674	-0.008803	-15.110	1	910.709
230	0.613260	-0.003415	-15.258	1	910.092
231	0.606300	-0.006960	-16.017	1	909.442
232	0.604544	-0.001756	-15.898	1	908.637
233	0.598798	-0.005746	-16.466	1	907.853
234	0.598024	-0.000774	-16.188	1	906.953
235	0.596626	-0.001398	-16.013	1	906.105
236	0.595881	-0.000746	-15.723	1	905.288
237	0.593686	-0.002195	-15.681	1	904.526
