N	eigenvalue	difference	twstat	p-value	effect.n
181	0.902580	-0.004840	-3.413	0.968753	734.957
182	0.896437	-0.006143	-3.499	0.974024	736.166
183	0.893963	-0.002474	-3.131	0.945117	737.366
184	0.888461	-0.005502	-3.137	0.94576	738.644
185	0.874417	-0.014044	-4.231	0.996075	739.930
186	0.869333	-0.005084	-4.219	0.995942	741.014
187	0.864493	-0.004841	-4.180	0.995447	742.106
188	0.856080	-0.008413	-4.604	0.998812	743.213
189	0.851305	-0.004774	-4.573	0.998679	744.246
190	0.848381	-0.002925	-4.303	0.996848	745.291
191	0.843487	-0.004894	-4.287	0.996688	746.395
192	0.838238	-0.005249	-4.321	0.997014	747.509
193	0.827114	-0.011124	-5.139	0.999841	748.624
194	0.821102	-0.006012	-5.304	0.999921	749.587
195	0.805650	-0.015452	-6.744	1	750.525
196	0.805326	-0.000325	-6.187	0.999999	751.193
197	0.803524	-0.001801	-5.818	0.999993	751.971
198	0.795973	-0.007551	-6.226	0.999999	752.825
199	0.792777	-0.003196	-6.051	0.999998	753.606
200	0.785492	-0.007285	-6.438	1	754.426
201	0.784267	-0.001225	-6.000	0.999997	755.176
202	0.774927	-0.009340	-6.683	1	756.016
203	0.772250	-0.002677	-6.455	1	756.728
204	0.766890	-0.005359	-6.602	1	757.489
205	0.755927	-0.010964	-7.549	1	758.227
206	0.753792	-0.002134	-7.269	1	758.786
207	0.746454	-0.007338	-7.729	1	759.402
208	0.744119	-0.002336	-7.486	1	759.934
209	0.739981	-0.004138	-7.498	1	760.516
210	0.738428	-0.001552	-7.139	1	761.099
211	0.731512	-0.006916	-7.555	1	761.757
212	0.728976	-0.002536	-7.343	1	762.337
213	0.722761	-0.006215	-7.671	1	762.962
214	0.721696	-0.001065	-7.247	1	763.526
215	0.719908	-0.001787	-6.922	1	764.178
216	0.712723	-0.007185	-7.399	1	764.899
217	0.711864	-0.000859	-6.940	1	765.530
218	0.710539	-0.001325	-6.542	1	766.256
219	0.703455	-0.007084	-7.011	1	767.068
220	0.699223	-0.004232	-7.060	1	767.789
221	0.697837	-0.001386	-6.677	1	768.505
222	0.691196	-0.006642	-7.097	1	769.304
223	0.689915	-0.001280	-6.700	1	770.021
224	0.684268	-0.005647	-6.976	1	770.825
225	0.683523	-0.000745	-6.494	1	771.577
226	0.681030	-0.002493	-6.277	0.999999	772.433
227	0.677112	-0.003918	-6.283	0.999999	773.342
228	0.675215	-0.001897	-5.969	0.999997	774.254
229	0.668098	-0.007117	-6.487	1	775.239
230	0.662919	-0.005179	-6.711	1	776.120
231	0.657074	-0.005845	-7.053	1	776.959
232	0.653314	-0.003761	-7.068	1	777.730
233	0.649522	-0.003792	-7.091	1	778.503
234	0.648127	-0.001395	-6.723	1	779.276
235	0.645827	-0.002300	-6.498	1	780.133
236	0.640397	-0.005431	-6.790	1	781.043
237	0.635666	-0.004730	-6.977	1	781.897
238	0.632557	-0.003109	-6.899	1	782.714
239	0.630584	-0.001973	-6.630	1	783.554
240	0.628657	-0.001927	-6.349	1	784.458
241	0.623022	-0.005635	-6.696	1	785.431
242	0.615068	-0.007954	-7.456	1	786.332
243	0.606227	-0.008841	-8.395	1	787.071
244	0.603024	-0.003203	-8.383	1	787.611
245	0.601594	-0.001429	-8.064	1	788.157
246	0.596066	-0.005528	-8.457	1	788.776
247	0.590122	-0.005944	-8.938	1	789.313
248	0.585495	-0.004627	-9.202	1	789.749
249	0.581556	-0.003939	-9.353	1	790.131
250	0.580158	-0.001398	-9.055	1	790.482
251	0.577877	-0.002281	-8.911	1	790.901
252	0.575996	-0.001881	-8.693	1	791.353
253	0.570613	-0.005383	-9.108	1	791.856
254	0.567191	-0.003422	-9.179	1	792.271
255	0.565731	-0.001461	-8.895	1	792.672
256	0.563173	-0.002558	-8.807	1	793.139
257	0.557901	-0.005272	-9.222	1	793.629
258	0.556868	-0.001032	-8.863	1	794.029
259	0.555175	-0.001694	-8.620	1	794.511
260	0.548890	-0.006284	-9.235	1	795.051
261	0.547761	-0.001129	-8.897	1	795.456
262	0.544866	-0.002895	-8.887	1	795.940
263	0.540124	-0.004742	-9.231	1	796.429
264	0.539286	-0.000837	-8.839	1	796.842
265	0.532605	-0.006681	-9.564	1	797.348
266	0.532102	-0.000503	-9.117	1	797.691
267	0.528924	-0.003178	-9.180	1	798.138
268	0.527658	-0.001266	-8.873	1	798.574
269	0.526335	-0.001324	-8.573	1	799.083
270	0.520516	-0.005818	-9.152	1	799.665
271	0.514079	-0.006437	-9.872	1	800.115
272	0.511454	-0.002626	-9.857	1	800.402
273	0.510683	-0.000771	-9.473	1	800.694
274	0.509421	-0.001262	-9.179	1	801.076
275	0.508906	-0.000515	-8.729	1	801.530
276	0.507703	-0.001203	-8.408	1	802.093
277	0.501703	-0.006000	-9.059	1	802.736
278	0.500360	-0.001344	-8.777	1	803.227
279	0.495964	-0.004395	-9.118	1	803.788
280	0.495242	-0.000722	-8.712	1	804.271
281	0.493305	-0.001937	-8.549	1	804.855
282	0.492463	-0.000841	-8.155	1	805.481
283	0.488374	-0.004090	-8.435	1	806.209
284	0.483686	-0.004688	-8.852	1	806.872
285	0.481087	-0.002599	-8.841	1	807.435
286	0.479505	-0.001582	-8.615	1	808.005
287	0.477014	-0.002490	-8.580	1	808.634
288	0.473511	-0.003503	-8.765	1	809.276
289	0.472216	-0.001295	-8.481	1	809.875
290	0.468949	-0.003267	-8.619	1	810.549
291	0.467429	-0.001520	-8.383	1	811.192
292	0.464606	-0.002823	-8.428	1	811.899
293	0.462830	-0.001776	-8.247	1	812.598
294	0.459617	-0.003213	-8.382	1	813.349
295	0.454372	-0.005246	-8.978	1	814.069
296	0.452876	-0.001495	-8.752	1	814.639
297	0.447008	-0.005868	-9.509	1	815.271
298	0.445109	-0.001899	-9.390	1	815.713
299	0.442658	-0.002451	-9.397	1	816.187
300	0.439241	-0.003417	-9.627	1	816.662
301	0.435884	-0.003357	-9.853	1	817.081
302	0.434470	-0.001414	-9.638	1	817.444
303	0.430745	-0.003725	-9.957	1	817.864
304	0.429288	-0.001457	-9.758	1	818.203
305	0.427007	-0.002281	-9.749	1	818.596
306	0.424822	-0.002185	-9.719	1	818.994
307	0.423629	-0.001192	-9.457	1	819.401
308	0.420520	-0.003110	-9.645	1	819.880
309	0.418308	-0.002212	-9.627	1	820.311
310	0.414593	-0.003715	-9.971	1	820.749
311	0.413206	-0.001387	-9.767	1	821.099
312	0.410167	-0.003039	-9.959	1	821.504
313	0.409259	-0.000908	-9.641	1	821.860
314	0.407064	-0.002195	-9.631	1	822.303
315	0.401693	-0.005371	-10.403	1	822.751
316	0.399136	-0.002557	-10.505	1	822.994
317	0.396866	-0.002270	-10.541	1	823.210
318	0.395531	-0.001335	-10.348	1	823.418
319	0.394429	-0.001102	-10.093	1	823.678
320	0.390853	-0.003575	-10.455	1	824.009
321	0.388509	-0.002344	-10.519	1	824.242
322	0.380683	-0.007826	-11.978	1	824.459
323	0.378996	-0.001688	-11.914	1	824.286
324	0.378503	-0.000492	-11.545	1	824.129
325	0.377059	-0.001445	-11.412	1	824.068
326	0.376828	-0.000231	-10.965	1	824.042
327	0.372730	-0.004098	-11.511	1	824.137
328	0.370666	-0.002064	-11.544	1	824.083
329	0.367730	-0.002937	-11.808	1	824.020
330	0.364904	-0.002826	-12.052	1	823.884
331	0.362078	-0.002826	-12.304	1	823.680
332	0.361092	-0.000986	-12.078	1	823.407
333	0.358029	-0.003063	-12.400	1	823.193
334	0.356050	-0.001979	-12.444	1	822.889
335	0.353497	-0.002552	-12.644	1	822.572
336	0.353297	-0.000201	-12.218	1	822.198
337	0.349786	-0.003511	-12.678	1	821.937
338	0.346971	-0.002815	-12.962	1	821.548
339	0.344925	-0.002046	-13.046	1	821.080
340	0.343471	-0.001454	-12.973	1	820.585
341	0.341782	-0.001688	-12.963	1	820.107
342	0.340904	-0.000879	-12.733	1	819.628
343	0.338640	-0.002264	-12.881	1	819.209
344	0.336228	-0.002412	-13.076	1	818.746
345	0.333184	-0.003044	-13.454	1	818.227
346	0.332269	-0.000915	-13.248	1	817.600
347	0.329631	-0.002638	-13.522	1	817.025
348	0.328337	-0.001294	-13.426	1	816.371
349	0.325835	-0.002502	-13.671	1	815.740
350	0.323953	-0.001882	-13.748	1	815.036
351	0.323097	-0.000856	-13.536	1	814.307
352	0.320252	-0.002845	-13.889	1	813.632
353	0.319696	-0.000557	-13.596	1	812.855
354	0.319162	-0.000534	-13.292	1	812.153
355	0.315428	-0.003733	-13.905	1	811.532
356	0.312317	-0.003111	-14.355	1	810.736
357	0.310441	-0.001876	-14.459	1	809.810
358	0.308283	-0.002158	-14.648	1	808.850
359	0.307244	-0.001039	-14.517	1	807.832
360	0.306802	-0.000442	-14.208	1	806.845
361	0.303768	-0.003034	-14.657	1	805.936
362	0.302008	-0.001760	-14.742	1	804.897
363	0.301321	-0.000686	-14.512	1	803.829
364	0.300070	-0.001252	-14.447	1	802.818
365	0.298536	-0.001534	-14.465	1	801.818
366	0.297901	-0.000635	-14.217	1	800.808
367	0.296878	-0.001022	-14.080	1	799.861
368	0.296702	-0.000176	-13.686	1	798.946
369	0.295138	-0.001564	-13.705	1	798.139
370	0.293719	-0.001419	-13.681	1	797.320
371	0.293464	-0.000255	-13.304	1	796.503
372	0.291345	-0.002119	-13.489	1	795.791
373	0.290165	-0.001179	-13.392	1	795.018
374	0.287920	-0.002245	-13.623	1	794.269
375	0.286048	-0.001871	-13.747	1	793.446
376	0.283547	-0.002502	-14.070	1	792.581
377	0.282199	-0.001348	-14.045	1	791.615
378	0.280832	-0.001367	-14.025	1	790.650
379	0.277704	-0.003127	-14.560	1	789.684
380	0.275887	-0.001817	-14.697	1	788.556
381	0.274456	-0.001431	-14.717	1	787.380
382	0.271683	-0.002773	-15.164	1	786.191
383	0.270297	-0.001386	-15.182	1	784.865
384	0.269714	-0.000583	-14.946	1	783.525
385	0.268948	-0.000766	-14.765	1	782.246
386	0.268599	-0.000349	-14.446	1	781.012
387	0.266970	-0.001629	-14.534	1	779.864
388	0.264813	-0.002157	-14.796	1	778.682
389	0.263164	-0.001649	-14.901	1	777.415
390	0.261455	-0.001709	-15.030	1	776.109
391	0.259817	-0.001638	-15.140	1	774.757
392	0.259502	-0.000315	-14.822	1	773.363
393	0.257706	-0.001796	-14.983	1	772.056
394	0.257148	-0.000558	-14.742	1	770.692
395	0.256106	-0.001042	-14.657	1	769.391
396	0.255394	-0.000712	-14.462	1	768.107
397	0.252890	-0.002504	-14.859	1	766.874
398	0.249026	-0.003864	-15.721	1	765.512
399	0.248366	-0.000660	-15.534	1	763.885
400	0.246586	-0.001780	-15.719	1	762.304
401	0.245662	-0.000924	-15.621	1	760.659
402	0.244910	-0.000751	-15.465	1	759.032
403	0.244733	-0.000178	-15.113	1	757.442
404	0.244284	-0.000449	-14.845	1	755.948
405	0.243759	-0.000525	-14.598	1	754.526
406	0.242548	-0.001210	-14.581	1	753.171
407	0.241455	-0.001094	-14.525	1	751.813
408	0.241205	-0.000250	-14.179	1	750.463
409	0.240927	-0.000278	-13.836	1	749.212
410	0.240258	-0.000669	-13.620	1	748.062
411	0.239083	-0.001175	-13.576	1	746.973
412	0.237831	-0.001252	-13.560	1	745.890
413	0.235768	-0.002063	-13.828	1	744.805
414	0.233884	-0.001884	-14.043	1	743.623
415	0.232175	-0.001709	-14.203	1	742.363
416	0.230739	-0.001436	-14.273	1	741.042
417	0.230164	-0.000575	-14.041	1	739.689
418	0.227923	-0.002241	-14.397	1	738.402
419	0.227220	-0.000703	-14.215	1	736.990
420	0.226074	-0.001146	-14.189	1	735.627
421	0.224223	-0.001850	-14.417	1	734.262
422	0.221495	-0.002729	-14.968	1	732.813
423	0.221086	-0.000409	-14.697	1	731.176
424	0.219465	-0.001620	-14.860	1	729.615
425	0.218752	-0.000714	-14.698	1	727.991
426	0.217223	-0.001529	-14.832	1	726.408
427	0.217161	-0.000062	-14.433	1	724.771
428	0.215527	-0.001634	-14.603	1	723.253
429	0.215088	-0.000439	-14.339	1	721.669
430	0.213128	-0.001961	-14.631	1	720.161
431	0.212338	-0.000789	-14.499	1	718.545
432	0.211717	-0.000621	-14.302	1	716.962
433	0.210791	-0.000926	-14.216	1	715.433
434	0.209499	-0.001292	-14.266	1	713.923
435	0.208574	-0.000925	-14.181	1	712.384
436	0.207482	-0.001092	-14.158	1	710.864
437	0.206042	-0.001440	-14.268	1	709.339
438	0.204009	-0.002033	-14.607	1	707.766
439	0.203569	-0.000440	-14.351	1	706.066
440	0.203364	-0.000205	-14.000	1	704.441
441	0.202837	-0.000527	-13.765	1	702.926
442	0.201969	-0.000868	-13.655	1	701.481
443	0.200596	-0.001373	-13.740	1	700.063
444	0.199980	-0.000616	-13.535	1	698.605
445	0.198973	-0.001007	-13.478	1	697.208
446	0.197559	-0.001414	-13.580	1	695.820
447	0.195639	-0.001920	-13.885	1	694.384
448	0.194879	-0.000760	-13.745	1	692.827
449	0.194603	-0.000276	-13.412	1	691.308
450	0.193987	-0.000616	-13.206	1	689.898
451	0.192931	-0.001056	-13.170	1	688.552
452	0.192069	-0.000862	-13.057	1	687.208
453	0.191355	-0.000714	-12.885	1	685.895
454	0.190666	-0.000688	-12.699	1	684.634
455	0.188804	-0.001863	-12.981	1	683.433
456	0.188419	-0.000384	-12.678	1	682.114
457	0.186456	-0.001963	-13.007	1	680.899
458	0.184210	-0.002246	-13.463	1	679.546
459	0.182800	-0.001410	-13.593	1	678.009
460	0.182102	-0.000698	-13.436	1	676.411
461	0.180799	-0.001304	-13.526	1	674.858
462	0.180317	-0.000482	-13.281	1	673.258
463	0.179853	-0.000464	-13.024	1	671.738
464	0.178444	-0.001408	-13.153	1	670.304
465	0.178245	-0.000199	-12.784	1	668.807
466	0.177607	-0.000638	-12.589	1	667.442
467	0.176203	-0.001404	-12.712	1	666.141
468	0.175084	-0.001119	-12.721	1	664.778
469	0.173705	-0.001379	-12.842	1	663.400
470	0.170521	-0.003184	-13.737	1	661.960
471	0.169256	-0.001265	-13.841	1	660.155
472	0.166696	-0.002560	-14.503	1	658.295
473	0.166361	-0.000335	-14.231	1	656.166
474	0.165826	-0.000536	-14.039	1	654.125
475	0.164886	-0.000939	-14.018	1	652.142
476	0.163986	-0.000900	-13.981	1	650.150
477	0.163616	-0.000371	-13.714	1	648.158
478	0.162110	-0.001505	-13.936	1	646.253
479	0.161317	-0.000793	-13.855	1	644.246
480	0.159798	-0.001519	-14.092	1	642.254
481	0.158938	-0.000860	-14.047	1	640.153
482	0.156900	-0.002038	-14.521	1	638.052
483	0.155756	-0.001144	-14.615	1	635.750
484	0.154560	-0.001196	-14.737	1	633.393
485	0.152276	-0.002284	-15.346	1	630.973
486	0.151876	-0.000400	-15.134	1	628.302
487	0.151788	-0.000088	-14.778	1	625.694
488	0.151301	-0.000487	-14.592	1	623.203
489	0.151175	-0.000125	-14.241	1	620.765
490	0.149932	-0.001243	-14.385	1	618.447
491	0.149894	-0.000039	-13.991	1	616.054
492	0.149683	-0.000211	-13.665	1	613.799
493	0.149454	-0.000229	-13.339	1	611.659
494	0.148205	-0.001250	-13.470	1	609.635
495	0.147141	-0.001064	-13.522	1	607.538
496	0.146639	-0.000501	-13.320	1	605.402
497	0.145506	-0.001134	-13.404	1	603.332
498	0.144466	-0.001040	-13.449	1	601.208
499	0.142974	-0.001492	-13.706	1	599.046
500	0.142539	-0.000436	-13.483	1	596.758
501	0.141168	-0.001370	-13.690	1	594.544
502	0.140750	-0.000418	-13.460	1	592.224
503	0.139912	-0.000838	-13.422	1	589.981
504	0.138395	-0.001517	-13.703	1	587.735
505	0.137787	-0.000608	-13.566	1	585.350
506	0.137386	-0.000401	-13.329	1	583.003
507	0.136852	-0.000534	-13.150	1	580.737
508	0.135841	-0.001011	-13.193	1	578.528
509	0.134890	-0.000951	-13.211	1	576.281
510	0.134288	-0.000602	-13.065	1	574.005
511	0.132867	-0.001421	-13.308	1	571.773
512	0.132035	-0.000832	-13.278	1	569.413
513	0.131064	-0.000971	-13.316	1	567.046
514	0.130824	-0.000239	-13.002	1	564.640
515	0.130466	-0.000359	-12.739	1	562.352
516	0.129928	-0.000538	-12.556	1	560.162
517	0.128027	-0.001901	-13.035	1	558.034
518	0.127714	-0.000313	-12.753	1	555.666
519	0.126312	-0.001402	-13.000	1	553.405
520	0.125552	-0.000760	-12.939	1	551.009
521	0.124739	-0.000813	-12.905	1	548.619
522	0.124188	-0.000551	-12.742	1	546.222
523	0.123763	-0.000425	-12.512	1	543.877
524	0.123672	-0.000091	-12.110	1	541.616
525	0.122881	-0.000792	-12.047	1	539.525
526	0.122100	-0.000781	-11.979	1	537.441
527	0.121151	-0.000948	-11.996	1	535.367
528	0.120654	-0.000498	-11.786	1	533.264
529	0.119221	-0.001433	-12.047	1	531.241
530	0.118912	-0.000309	-11.747	1	529.066
531	0.116727	-0.002184	-12.398	1	527.017
532	0.114963	-0.001764	-12.859	1	524.624
533	0.114175	-0.000788	-12.834	1	521.985
534	0.112825	-0.001350	-13.100	1	519.332
535	0.112204	-0.000621	-12.999	1	516.528
536	0.111526	-0.000677	-12.926	1	513.746
537	0.110634	-0.000892	-12.964	1	510.973
538	0.110512	-0.000122	-12.602	1	508.155
539	0.109170	-0.001342	-12.870	1	505.486
540	0.108300	-0.000869	-12.900	1	502.660
541	0.107890	-0.000410	-12.691	1	499.792
542	0.106340	-0.001550	-13.079	1	496.999
543	0.105639	-0.000701	-13.032	1	493.991
544	0.104766	-0.000873	-13.076	1	490.978
545	0.103570	-0.001195	-13.295	1	487.916
546	0.102907	-0.000663	-13.239	1	484.720
