CNX	topology	quartet	samples	quartet_id
NIC2152	O_CB1CB2_CNX	(PX506,(QX1410,JU3200),NIC2152)	PX506,QX1410,JU3200,NIC2152	quartet_12
NIC2152	O_CB1CNX_CB2	(PX506,(QX1410,NIC2152),JU3200)	PX506,QX1410,JU3200,NIC2152	quartet_12
NIC2152	O_CB2CNX_CB1	(PX506,(JU3200,NIC2152),QX1410)	PX506,QX1410,JU3200,NIC2152	quartet_12
VX151	O_CB1CB2_CNX	(PX506,(QX1410,JU3200),VX151)	PX506,QX1410,JU3200,VX151	quartet_13
VX151	O_CB1CNX_CB2	(PX506,(QX1410,VX151),JU3200)	PX506,QX1410,JU3200,VX151	quartet_13
VX151	O_CB2CNX_CB1	(PX506,(JU3200,VX151),QX1410)	PX506,QX1410,JU3200,VX151	quartet_13
VX153	O_CB1CB2_CNX	(PX506,(QX1410,JU3200),VX153)	PX506,QX1410,JU3200,VX153	quartet_14
VX153	O_CB1CNX_CB2	(PX506,(QX1410,VX153),JU3200)	PX506,QX1410,JU3200,VX153	quartet_14
VX153	O_CB2CNX_CB1	(PX506,(JU3200,VX153),QX1410)	PX506,QX1410,JU3200,VX153	quartet_14
YR106	O_CB1CB2_CNX	(PX506,(QX1410,JU3200),YR106)	PX506,QX1410,JU3200,YR106	quartet_15
YR106	O_CB1CNX_CB2	(PX506,(QX1410,YR106),JU3200)	PX506,QX1410,JU3200,YR106	quartet_15
YR106	O_CB2CNX_CB1	(PX506,(JU3200,YR106),QX1410)	PX506,QX1410,JU3200,YR106	quartet_15
ZF1220	O_CB1CB2_CNX	(PX506,(QX1410,JU3200),ZF1220)	PX506,QX1410,JU3200,ZF1220	quartet_16
ZF1220	O_CB1CNX_CB2	(PX506,(QX1410,ZF1220),JU3200)	PX506,QX1410,JU3200,ZF1220	quartet_16
ZF1220	O_CB2CNX_CB1	(PX506,(JU3200,ZF1220),QX1410)	PX506,QX1410,JU3200,ZF1220	quartet_16
