isotype,lat,long
ECA777,20.039908,-155.441503
ECA778,20.039908,-155.441503
ECA807,20.039869,-155.441531
ECA812,20.039917,-155.441542
ECA923,21.290067,-157.707918
ECA928,21.290067,-157.707918
QX1791,20.6344,-156.3935
QX1792,20.70554,-156.35475
QX1793,20.70559,-156.35678
QX1794,20.70559,-156.35678
XZ1513,22.14787,-159.63105
XZ1514,22.149,-159.668
XZ1515,22.149,-159.668
XZ1516,22.149,-159.668
XZ2211,22.1062554,-159.6718225
ECA2861,20.0403085,-155.442428099999
ECA2862,20.0398375,-155.4414636
ECA2872,20.0398784,-155.441563299998
ECA2882,19.442681,-155.301629400002
ECA2885,20.0399356999982,-155.4409035
ECA2888,20.0399356999982,-155.4409035
ECA2897,19.4422725,-155.301672299999
ECA2929,22.1326106999991,-159.6516852
ECA2941,22.133915,-159.6504496
ECA2942,22.1329535,-159.645971524288
ECA2944,22.1313576,-159.6459345
ECA2945,22.1330096999978,-159.6515086
ECA2946,22.1330096999978,-159.6515086
ECA2947,22.1324356999982,-159.646279
ECA2948,22.133224699998,-159.645810900002
ECA2949,22.1321096,-159.646224700001
ECA2950,22.1321096,-159.646224700001
ECA2951,22.1329535,-159.645971524288
ECA2952,22.1324265,-159.651638
ECA2956,22.1332207000022,-159.651282599998
ECA2960,22.1337201000021,-159.6507235
ECA2963,22.1342580999984,-159.649639
ECA2968,22.1313576,-159.6459345
ECA2970,22.1346145,-159.649441694169
ECA2974,22.1342580999984,-159.649639
ECA2982,22.132495,-159.6516514
ECA2988,22.132461399998,-159.6516555
ECA2993,22.131318299999,-159.645913700001
ECA3005,22.1312732,-159.6459512
ECA3006,22.1346683000019,-159.6493468
ECA3011,19.4401677000016,-155.305119399998
ECA3012,19.4401677000016,-155.305119399998
ECA3025,19.4386190999973,-155.302722699997
ECA3027,19.7203636,-155.956006
ECA3034,20.0412655,-155.4422675
ECA3035,20.0413916391639,-155.442619800002
ECA3038,19.1191742999983,-155.8222554
ECA3047,20.040215799998,-155.442330700002
ECA3049,20.0403298000027,-155.442529899999
ECA3057,20.0403217000027,-155.442541799997
ECA3072,20.0399256,-155.440997299998
ECA3075,20.0403454,-155.44235380117
ECA3077,20.040405399998,-155.4424572
ECA3088,21.3297249724973,-157.8220388
ECA3116,20.0406880999975,-155.4412395
ECA3117,20.039438,-155.4402725
ECA3493,20.827027,-156.277115
ECA3494,20.8262579722222,-156.277606972222
ECA3496,20.727502,-156.30734
ECA3497,20.727502,-156.30734
ECA3516,20.0403379722222,-155.442069
ECA3518,19.1118249722222,-155.823315
ECA3524,19.4402079722222,-155.305038972222
ECA3535,19.1201529722222,-155.81949
ECA3538,19.1207859722222,-155.819749972222
ECA3157,19.4414972222222,-155.304797222222
ECA3256,19.4400361111111,-155.305211111111
ECA3222,19.4400361111111,-155.305211111111
ECA3205,20.0403277777778,-155.442422222222
ECA3605,19.7203333333333,-155.948172222222
ECA3601,19.4427527777778,-155.303625
ECA3606,20.0415305555556,-155.4427
ECA3634,20.040469,-155.442103
ECA3645,20.0410749722222,-155.444144972222
ECA3654,19.4427599722222,-155.303225972222
ECA3656,19.4427599722222,-155.303225972222
ECA3668,20.0416449722222,-155.442872972222
ECA3671,19.4428079722222,-155.302694
ECA3672,19.4428079722222,-155.302694
ECA3673,19.4428079722222,-155.302694
ECA3678,19.439133,-155.303822972222
ECA3688,20.0399789722222,-155.441487972222
