species	species_id_method	strain	isotype	previous_names	source_lab	latitude	longitude	landscape	locality_description	substrate	substrate_comments	ambient_temp	ambient_humidity	associated_organism	sampled_by	isolated_by	set	issues	issue_notes	isotype_ref_strain	wgs_seq
Caenorhabditis briggsae	ITS2	BRC20120	NIC815	170F-18	BRC	23.814330000000002	120.856579	Forest	Trail on Erping Mountain	Rotting_flower	NA	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20121	NIC802	182F-30	BRC	23.814211	120.856072	Forest	Trail on Erping Mountain	Rotting_flower	NA	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20122	BRC20238	181F-29	BRC	23.814211	120.856072	Forest	Trail on Erping Mountain	Rotting_nut/pod/seed/fruit	fruit(ficus)	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20123	NIC805	171F-19	BRC	23.814330000000002	120.856579	Forest	Trail on Erping Mountain	Rotting_nut/pod/seed/fruit	NA	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20224	BRC20543	201F-49	BRC	23.601518	120.883642	Forest	Hunter's trail (at this location)	Rotting_flower	NA	NA	NA	NA	J. Wang	H.-C. Lee	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20228	BRC20228	343F-191	BRC	23.572084	120.900213	NA	Parking (1353m)	Rotting_flower	Garlic or Flower?	NA	NA	NA	J. Wang	J.-Y. Chen	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20229	BRC20229	335F-183	BRC	23.572084	120.900213	NA	Parking (1353m)	Rotting_nut/pod/seed/fruit	plum,	NA	NA	NA	J. Wang	J.-Y. Chen	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20230	BRC20230	370F-218	BRC	23.670695	120.798589	Botanical_garden_or_zoo	Xitou Nature Education Center at the plant nursery section	Rotting_flower	yellow flower (lily?)	NA	NA	NA	J. Wang	J.-Y. Chen	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20232	BRC20232	189F-37	BRC	23.60247	120.8838617	Forest	Hunter's trail (at this location)	Rotting_nut/pod/seed/fruit	NA	NA	NA	NA	J. Wang	J.-Y. Chen	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20234	BRC20241	154F-2	BRC	23.836415	120.725183	Forest	Jiji Township has a famous green tunnel (tunnel of trees)	Rotting_nut/pod/seed/fruit	fruit  Alocasia odora	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20236	BRC20238	172F-20	BRC	23.814330000000002	120.856579	Forest	Trail on Erping Mountain	Rotting_flower	NA	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20237	BRC20238	173F-21	BRC	23.814330000000002	120.856579	Forest	Trail on Erping Mountain	Rotting_flower	flower  Delonix regia (aka Royal poinciana)	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20238	BRC20238	178F-26	BRC	23.814211	120.856072	Forest	Trail on Erping Mountain	Rotting_nut/pod/seed/fruit	NA	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20239	BRC20239	210F-58	BRC	23.60095833	120.8821883	Forest	Hunter's trail (at this location)	Rotting_nut/pod/seed/fruit	fruit (nut)	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20241	BRC20241	156F-4	BRC	23.836415	120.725183	Forest	Jiji Township has a famous green tunnel (tunnel of trees)	Rotting_nut/pod/seed/fruit	NA	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20242	BRC20242	162F-10	BRC	23.836623	120.728049	Forest	Jiji Township has a famous green tunnel (tunnel of trees)	Rotting_nut/pod/seed/fruit	fruit  Lychee	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20244	BRC20244	426F-274	BRC	23.72641	120.758426	NA	Xiaobantian Stone Horse Park	Rotting_nut/pod/seed/fruit	fruit (banana ), Banana skin	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20246	BRC20246	204F-52	BRC	23.600568	120.883395	Forest	Hunter's trail (at this location)	Rotting_nut/pod/seed/fruit	rotting fruit,	NA	NA	NA	J. Wang	H.-C. Lee	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20247	BRC20390	212F-60	BRC	23.60117861	120.8825369	Forest	Hunter's trail (at this location)	Rotting_flower	NA	NA	NA	NA	J. Wang	H.-C. Lee	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20254	BRC20232	194F-42	BRC	23.602922	120.883222	Forest	Hunter's trail (at this location)	Rotting_flower	NA	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20255	NIC802	369F-217	BRC	23.670695	120.798589	Botanical_garden_or_zoo	Xitou Nature Education Center at the plant nursery section	Rotting_flower	yellow flower (lily?)	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20256	BRC20246	375F-223	BRC	23.669949	120.798873	Botanical_garden_or_zoo	Xitou Nature Education Center at the plant nursery section	Rotting_flower	flower (red)	NA	NA	NA	J. Wang	H.-C. Lee	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20257	BRC20257	443F|DAISI_06	BRC	NA	NA	NA	Kalego mountain Guadalcanal	NA	NA	NA	NA	NA	V. Dang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20260	BRC20260	206F-54	BRC	23.600208	120.883767	Forest	Hunter's trail (at this location)	Rotting_nut/pod/seed/fruit	NA	NA	NA	NA	J. Wang	J.-Y. Chen	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20269	BRC20331	487FA, fulong beachA	BRC	25.01947778	121.9432	Beach	fulong beach	NA	same sample with BRC20331, different isofemale	NA	NA	NA	V. Dang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20270	BRC20270	471F	BRC	25.0998	121.839	NA	NA	Rotting_nut/pod/seed/fruit	same sample with BRC20272 different isofemale, Kumquat	NA	NA	NA	Y.-C. Huang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20272	BRC20272	471F L	BRC	25.0998	121.839	NA	NA	NA	same sample with BRC20272 different isofemale	NA	NA	NA	Y.-C. Huang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20289	BRC20289	482FA	BRC	25.01947778	121.9432	NA	Fulong	Rotting_flower	same sample with BRC20290 different isofemale, flowers, and leaves	NA	NA	NA	V. Dang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20290	BRC20290	482FB	BRC	25.01947778	121.9432	NA	Fulong	Rotting_flower	same sample with BRC20289 different isofemale, flowers, and leaves	NA	NA	NA	V. Dang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20294	BRC20294	495FB, Chong-Ho (golf-2)	BRC	24.993796	121.53514	NA	Chong-Ho, aka Zhonghe	NA	same sample with BRC20295 different isofemale	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20295	BRC20294	495FA, Chong-Ho (golf-1)	BRC	24.993796	121.53514	NA	Chong-Ho, aka Zhonghe	Rotting_nut/pod/seed/fruit	same sample with BRC20294 different isofemale, cherry	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20299	BRC20320	486FA, turtle islandA	BRC	24.84201944	121.9516639	NA	NA	NA	same sample with BRC20346 and BRC20320, different isofemale	NA	NA	NA	V. Dang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20308	BRC20308	500FA, Yilan-alpha1	BRC	24.70210833	121.73775	NA	NA	Rotting_nut/pod/seed/fruit	same sample with BRC20309 different isofemale, small hard red fruit	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20309	BRC20309	500FB, Yilan-alpha2	BRC	24.70210833	121.73775	NA	Yilan County	NA	same sample with BRC20308 different isofemale	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20310	BRC20311	502FA, Yilan-gamma1	BRC	24.70210833	121.73775	NA	Yilan County	Rotting_nut/pod/seed/fruit	same sample with BRC20311 different isofemale	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20311	BRC20311	502FB, Yilan-gamma2	BRC	24.70210833	121.73775	NA	Yilan County	NA	same sample with BRC20310 different isofemale	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20312	BRC20312	504FA, Yilan-epsilon1	BRC	24.70210833	121.73775	NA	Yilan County	Rotting_nut/pod/seed/fruit	same sample with BRC20315 different isofemale	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20315	BRC20315	504FB, Yilan-epsilon2	BRC	24.70210833	121.73775	NA	Yilan County	NA	same sample with BRC20312 different isofemale	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20320	BRC20320	486FC, turtle islandC	BRC	24.84201944	121.9516639	NA	Turtle Island	NA	same sample with BRC20299 and BRC20346, different isofemale	NA	NA	NA	V. Dang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20324	BRC20324	148, BRC10104	BRC	24.03965278	121.155	Agricultural_land	Qingjing Farm	Rotting_nut/pod/seed/fruit	maybe confused with 150F(BRC10107), Cherry (fruit part)	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20331	BRC20331	487FB, fulong beachB	BRC	25.01947778	121.9432	Beach	fulong beach	NA	same sample with BRC20269, different isofemale	NA	NA	NA	V. Dang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20333	BRC20333	81	BRC	24.602334	121.510549	NA	Beibu Cross Island Highway (before the 7A intersection coming from the West)	Rotting_nut/pod/seed/fruit	BRC10024 mix, **Rice shell (bran?) inside a hen house or chicken cage**	NA	NA	NA	C.-Y. Kao, Y.-C. Huang, Sy. N.-C. Chang, N. Ho	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20334	BRC20334	NA	BRC	24.70731	121.738054	Forest	NA	Rotting_nut/pod/seed/fruit	Small fruit	NA	NA	NA	J. Wang	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20339	BRC20339	488F, 石碇1A	BRC	24.951309	121.630089	NA	Shih-Ding	Rotting_nut/pod/seed/fruit	hermaphroditic	NA	NA	NA	V. Dang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20341	BRC20341	520F	BRC	24	121	NA	Wulai District	NA	NA	NA	NA	NA	V. Dang	J.-C. Hsu	D	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20342	BRC20343	523FA	BRC	24	121	NA	Wulai District	NA	same sample with BRC20343, different isofemale	NA	NA	NA	V. Dang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20343	BRC20343	523FB	BRC	24	121	NA	Wulai District	NA	same sample with BRC20342, different isofemale	NA	NA	NA	V. Dang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20345	NIC802	540FC	BRC	22.674838	120.492242	NA	Pingtung Park	Rotting_stem	roots	NA	NA	NA	Y.-H. Lo	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20346	BRC20346	486FB, turtle islandB	BRC	24.84201944	121.9516639	NA	NA	NA	same sample with BRC20299 and BRC20320, different isofemale	NA	NA	NA	V. Dang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20347	BRC20347	550FA	BRC	25.121206	121.593578	NA	Pamir Park	NA	when isolate it is small, then normal	NA	NA	NA	V. Dang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20348	BRC20348	553FB	BRC	25.128031	121.58826	NA	Neishuangxi area	NA	isolate L4 stage	NA	NA	NA	V. Dang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20353	BRC20353	578FA	BRC	14	101	NA	Khao Yai National park, Thailand	NA	same sample with BRC20359 different isofemale	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20354	BRC20361	582FB	BRC	14	101	NA	Khao Yai National park, Thailand	NA	same sample with BRC20361 and BRC20362 different isofemale	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20355	BRC20361	584FA	BRC	14	101	NA	Khao Yai National park, Thailand	NA	same sample with BRC20356 different isofemale	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20356	BRC20361	584FB	BRC	14	101	NA	Khao Yai National park, Thailand	NA	same sample with BRC20355 different isofemale	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20360	BRC20360	579FA	BRC	14	101	NA	Khao Yai National park, Thailand	NA	NA	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20361	BRC20361	582FA	BRC	14	101	NA	Khao Yai National park, Thailand	NA	same sample with BRC20354 and BRC20362 different isofemale	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20362	BRC20362	582FC	BRC	14	101	NA	Khao Yai National park, Thailand	NA	same sample with BRC20361 and BRC20354 different isofemale	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20366	BRC20366	593F	BRC	25.11698	121.733184	NA	NA	Vegetal_litter/mix	ficus	NA	NA	NA	V. Dang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20367	BRC20367	625F	BRC	24.54670963	121.5069174	Forest	Taiping Mountain, Ancient Forest Trail	Rotting_flower	red flower	NA	NA	NA	Y.-C. Huang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20369	BRC20369	635F	BRC	23.7132	120.7855556	NA	Hoyaku Restaurant	Rotting_flower	NA	NA	NA	NA	Y.-K. Chiu	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20370	BRC20370	609F	BRC	24.77555556	121.5802778	Forest	Taiping Mountain, Jiuzhize Nature Trail	NA	nothing at first, saw a trial a few days later. Lots of worm. Pick ~20 worms	NA	NA	NA	C. Gosse	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20388	BRC20388	671F	BRC	34	135	NA	Fushimi Inari Fushimi Inari	NA	NA	NA	NA	NA	V. Dang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20390	BRC20390	664FD	BRC	25.027105	121.576542	Forest	Xiang Shan (Elephant Mountain) Taipei, Taiwan	NA	on ground, same sample with BRC20408 different isofemale	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20401	BRC20401	695FB	BRC	25.017012	121.557477	Botanical_garden_or_zoo	Fuyang Eco Park, Taipei, Taiwan	Vegetal_litter/mix	same sample with BRC20401, different isofemale, Ficus fistulosa	NA	NA	NA	M. Chen	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20408	BRC20390	664FC	BRC	25.027105	121.576542	Forest	Xiang Shan (Elephant Mountain) Taipei, Taiwan	NA	on ground, same sample with BRC20390 different isofemale	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20462	BRC20390	699F	BRC	24.822658	121.735926	Forest	Linmei Shipan Trail, Yilan County, Taiwan	Rotting_nut/pod/seed/fruit	many worms in fruit	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20463	BRC20463	700F	BRC	24.822658	121.735926	Forest	Linmei Shipan Trail, Yilan County, Taiwan	Vegetal_litter/mix	ficus	NA	NA	NA	J. Wang	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20492	BRC20492	751F	BRC	21.958635	120.811847	Botanical_garden_or_zoo	Kenting National Forest Recreation Area, Taiwan	Vegetal_litter/mix	ficus	NA	NA	NA	J. Wang	J.-C. Hsu	D	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20499	BRC20499	769FA	BRC	24	121.5	NA	Hualien, Taiwan	NA	NA	NA	NA	NA	W. Chen	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20500	BRC20499	769FB	BRC	24	121.5	NA	Hualien, Taiwan	NA	NA	NA	NA	NA	W. Chen	J.-C. Hsu	NA	FALSE	NA	FALSE	TRUE
Caenorhabditis briggsae	ITS2	BRC20501	BRC20501	770F	BRC	24	121.5	NA	Hualien, Taiwan	NA	NA	NA	NA	NA	W. Chen	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20502	BRC20502	839F-2	BRC	22.020651	121.572794	NA	Datianchi, Orchid Island, Taiwan	NA	NA	NA	NA	NA	J.-C. Hsu	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20503	BRC20503	20210803	BRC	22.020651	121.572794	NA	Datianchi, Orchid Island, Taiwan	NA	NA	NA	NA	NA	J.-C. Hsu	J.-C. Hsu	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20519	BRC20519	20210803	BRC	21.958778	120.811764	Botanical_garden_or_zoo	NA	Rotting_nut/pod/seed/fruit	Figs	NA	NA	NA	J. Wang	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20520	BRC20520	20210803	BRC	21.958778	120.811764	Botanical_garden_or_zoo	NA	Rotting_nut/pod/seed/fruit	Figs	NA	NA	NA	J. Wang	J. Wang	NA	FALSE	NA	TRUE	TRUE
Caenorhabditis briggsae	ITS2	BRC20522	BRC20522	20210803	BRC	25.1839015	121.5206295	Forest	Taiwan	Vegetal_litter/mix	NA	17.4	87.4	NA	E. Andersen	NA	NA	FALSE	NA	TRUE	TRUE
