Sample A	Sample B	Comparison	Comparison_within	Haplotypes	Mean Ks
NIC1529	QG2964	within_species	Tropical_x_Tropical	Among HDRs	0.00837621552000964
NIC1529	QG786	within_species	Tropical_x_Tropical	Among HDRs	0.00875509116732541
NIC1529	QG791	within_species	Tropical_x_Tropical	Among HDRs	0.00776322971717492
NIC1529	QX1796	within_species	Tropical_x_Tropical	Among HDRs	0.0058448592320142
NIC248	PE887	within_species	Tropical_x_Tropical	Among HDRs	0.0022306023980493
NIC248	QG1005	within_species	Tropical_x_Tropical	Among HDRs	0.00824197084383478
NIC248	QG2641	within_species	Tropical_x_Tropical	Among HDRs	0.00695645102672368
NIC248	QG2665	within_species	Tropical_x_Tropical	Among HDRs	0.00902127815613589
NIC248	QG2902	within_species	Tropical_x_Tropical	Among HDRs	0.0104074894093041
NIC248	QG2964	within_species	Tropical_x_Tropical	Among HDRs	0.0107852006215534
NIC248	QG786	within_species	Tropical_x_Tropical	Among HDRs	0.00844411866463594
NIC248	QG791	within_species	Tropical_x_Tropical	Among HDRs	0.00903352888475942
NIC248	QX1796	within_species	Tropical_x_Tropical	Among HDRs	0.00213163399368149
PE887	QG1005	within_species	Tropical_x_Tropical	Among HDRs	0.00976492612038458
PE887	QG2641	within_species	Tropical_x_Tropical	Among HDRs	0.00910772973597019
PE887	QG2665	within_species	Tropical_x_Tropical	Among HDRs	0.00945825861456346
PE887	QG2902	within_species	Tropical_x_Tropical	Among HDRs	0.0109628690896516
PE887	QG2964	within_species	Tropical_x_Tropical	Among HDRs	0.00894490114733973
PE887	QG786	within_species	Tropical_x_Tropical	Among HDRs	0.0077784261488271
PE887	QG791	within_species	Tropical_x_Tropical	Among HDRs	0.00657351448682109
PE887	QX1796	within_species	Tropical_x_Tropical	Among HDRs	0.00288175421991761
QG1005	QG2641	within_species	Tropical_x_Tropical	Among HDRs	0.00285528234492905
QG1005	QG2665	within_species	Tropical_x_Tropical	Among HDRs	0.00274191303867502
QG1005	QG2902	within_species	Tropical_x_Tropical	Among HDRs	0.0053343330170213
QG1005	QG2964	within_species	Tropical_x_Tropical	Among HDRs	0.00295871464027609
QG1005	QG786	within_species	Tropical_x_Tropical	Among HDRs	0.00177761871164485
QG1005	QG791	within_species	Tropical_x_Tropical	Among HDRs	0.00256226211924672
QG1005	QX1796	within_species	Tropical_x_Tropical	Among HDRs	0.00786007954688533
QG2641	QG2665	within_species	Tropical_x_Tropical	Among HDRs	0.00185200511772931
QG2641	QG2902	within_species	Tropical_x_Tropical	Among HDRs	0.0054658861210001
QG2641	QG2964	within_species	Tropical_x_Tropical	Among HDRs	0.0029083081023284
QG2641	QG786	within_species	Tropical_x_Tropical	Among HDRs	0.00187914648287167
QG2641	QG791	within_species	Tropical_x_Tropical	Among HDRs	0.00294070279156549
QG2641	QX1796	within_species	Tropical_x_Tropical	Among HDRs	0.00803199360744435
QG2665	QG2902	within_species	Tropical_x_Tropical	Among HDRs	0.00631137153350371
QG2665	QG2964	within_species	Tropical_x_Tropical	Among HDRs	0.00292428746688152
QG2665	QG786	within_species	Tropical_x_Tropical	Among HDRs	0.00177030987123269
QG2665	QG791	within_species	Tropical_x_Tropical	Among HDRs	0.00336158825946759
QG2665	QX1796	within_species	Tropical_x_Tropical	Among HDRs	0.00809830779250164
QG2902	QG2964	within_species	Tropical_x_Tropical	Among HDRs	0.00578812536704198
QG2902	QG786	within_species	Tropical_x_Tropical	Among HDRs	0.00558106063382633
QG2902	QG791	within_species	Tropical_x_Tropical	Among HDRs	0.00545185518943862
QG2902	QX1796	within_species	Tropical_x_Tropical	Among HDRs	0.00852528854247976
QG2964	QG786	within_species	Tropical_x_Tropical	Among HDRs	0.00287587543095641
QG2964	QG791	within_species	Tropical_x_Tropical	Among HDRs	0.00115270121429256
QG2964	QX1796	within_species	Tropical_x_Tropical	Among HDRs	0.00862310885625437
QG786	QG791	within_species	Tropical_x_Tropical	Among HDRs	0.00356362740829882
QG786	QX1796	within_species	Tropical_x_Tropical	Among HDRs	0.00782279013103661
QG791	QX1796	within_species	Tropical_x_Tropical	Among HDRs	0.00698140082340739
ECA1174	ECA1657	within_species	Tropical_x_Tropical	Among non-HDRs	0.00130494662410345
ECA1174	ECA176	within_species	Tropical_x_Tropical	Among non-HDRs	0.00132947728101527
ECA1174	EG6271	within_species	Tropical_x_Tropical	Among non-HDRs	0.0018464502288104
ECA1174	JU3207	within_species	Tropical_x_Tropical	Among non-HDRs	0.00173900211113427
ECA1174	JU3237	within_species	Tropical_x_Tropical	Among non-HDRs	0.00341404782888474
ECA1174	JU4058	within_species	Tropical_x_Tropical	Among non-HDRs	0.00234096428905275
ECA1174	NIC1052	within_species	Tropical_x_Tropical	Among non-HDRs	0.00232581141302748
ECA1174	NIC1529	within_species	Tropical_x_Tropical	Among non-HDRs	0.00163632080982018
ECA1174	NIC248	within_species	Tropical_x_Tropical	Among non-HDRs	0.00167860018231794
ECA1174	PE887	within_species	Tropical_x_Tropical	Among non-HDRs	0.00170804293499428
ECA1174	QG1005	within_species	Tropical_x_Tropical	Among non-HDRs	0.00232361541257258
ECA1174	QG2641	within_species	Tropical_x_Tropical	Among non-HDRs	0.00247748345680313
