set	tag	quartet	submodel	BIC	TW1	TW2	TW3	Number of alignments	Percent missing data	Supermatrix length	T1	T2	T3	Tree1	Tree2	Tree3
mast_all	JU3200	quartet_10	submodel1	17458878.6689	0.8732	0.0472	0.0796	5642	3.1	2276482	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),NIC2143)	(PX506,(QX1410,NIC2143),JU3200)	(PX506,(JU3200,NIC2143),QX1410)
mast_all	JU3200	quartet_10	submodel6	17467711.2514	0.3919	0.6016	0.0065	5642	3.1	2276482	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),NIC2143)	(PX506,(QX1410,NIC2143),JU3200)	(PX506,(JU3200,NIC2143),QX1410)
mast_all	JU3200	quartet_11	submodel1	18149986.6671	0.8737	0.0488	0.0775	5787	3.1	2362852	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),NIC2150)	(PX506,(QX1410,NIC2150),JU3200)	(PX506,(JU3200,NIC2150),QX1410)
mast_all	JU3200	quartet_11	submodel6	18159271.3862	0.4008	0.5927	0.0064	5787	3.1	2362852	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),NIC2150)	(PX506,(QX1410,NIC2150),JU3200)	(PX506,(JU3200,NIC2150),QX1410)
mast_all	JU3200	quartet_12	submodel1	18070656.5145	0.8763	0.047	0.0767	5754	3	2353463	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),NIC2152)	(PX506,(QX1410,NIC2152),JU3200)	(PX506,(JU3200,NIC2152),QX1410)
mast_all	JU3200	quartet_12	submodel6	18080306.2296	0.9741	0.0043	0.0216	5754	3	2353463	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),NIC2152)	(PX506,(QX1410,NIC2152),JU3200)	(PX506,(JU3200,NIC2152),QX1410)
mast_all	JU3200	quartet_13	submodel1	18262084.6979	0.8766	0.0478	0.0756	5819	3	2376330	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),VX151)	(PX506,(QX1410,VX151),JU3200)	(PX506,(JU3200,VX151),QX1410)
mast_all	JU3200	quartet_13	submodel6	18271040.4983	0.3996	0.5941	0.0063	5819	3	2376330	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),VX151)	(PX506,(QX1410,VX151),JU3200)	(PX506,(JU3200,VX151),QX1410)
mast_all	JU3200	quartet_14	submodel1	18173342.5233	0.8752	0.0436	0.0812	5775	3.1	2363420	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),VX153)	(PX506,(QX1410,VX153),JU3200)	(PX506,(JU3200,VX153),QX1410)
mast_all	JU3200	quartet_14	submodel6	18182302.8607	0.404	0.5892	0.0068	5775	3.1	2363420	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),VX153)	(PX506,(QX1410,VX153),JU3200)	(PX506,(JU3200,VX153),QX1410)
mast_all	JU3200	quartet_15	submodel1	18718401.6393	0.8704	0.0492	0.0804	5954	3.1	2436866	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),YR106)	(PX506,(QX1410,YR106),JU3200)	(PX506,(JU3200,YR106),QX1410)
mast_all	JU3200	quartet_15	submodel6	18727418.3027	0.396	0.5972	0.0068	5954	3.1	2436866	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),YR106)	(PX506,(QX1410,YR106),JU3200)	(PX506,(JU3200,YR106),QX1410)
mast_all	JU3200	quartet_16	submodel1	18490791.9105	0.8689	0.0516	0.0795	5865	3.1	2408027	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),ZF1220)	(PX506,(QX1410,ZF1220),JU3200)	(PX506,(JU3200,ZF1220),QX1410)
mast_all	JU3200	quartet_16	submodel6	18500502.1496	0.9736	0.0045	0.0219	5865	3.1	2408027	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3200),ZF1220)	(PX506,(QX1410,ZF1220),JU3200)	(PX506,(JU3200,ZF1220),QX1410)
mast_all	JU3237	quartet_01	submodel1	20929630.5933	0.9526	4e-04	0.047	5977	3.2	2705179	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),ECA2852)	(PX506,(QX1410,ECA2852),JU3237)	(PX506,(JU3237,ECA2852),QX1410)
mast_all	JU3237	quartet_01	submodel6	20935772.1243	0.9856	0.0065	0.0079	5977	3.2	2705179	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),ECA2852)	(PX506,(QX1410,ECA2852),JU3237)	(PX506,(JU3237,ECA2852),QX1410)
mast_all	JU3237	quartet_02	submodel1	21335979.4381	0.9519	5e-04	0.0476	6121	3.2	2760291	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),ECA2857)	(PX506,(QX1410,ECA2857),JU3237)	(PX506,(JU3237,ECA2857),QX1410)
mast_all	JU3237	quartet_02	submodel6	21341932.0904	0.9849	0.0067	0.0084	6121	3.2	2760291	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),ECA2857)	(PX506,(QX1410,ECA2857),JU3237)	(PX506,(JU3237,ECA2857),QX1410)
mast_all	JU3237	quartet_03	submodel1	21643650.5601	0.9529	6e-04	0.0465	6172	3.3	2797761	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),EG5268)	(PX506,(QX1410,EG5268),JU3237)	(PX506,(JU3237,EG5268),QX1410)
mast_all	JU3237	quartet_03	submodel6	21649041.0363	0.9854	0.0071	0.0075	6172	3.3	2797761	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),EG5268)	(PX506,(QX1410,EG5268),JU3237)	(PX506,(JU3237,EG5268),QX1410)
mast_all	JU3237	quartet_04	submodel1	21417748.5176	0.9556	3e-04	0.0442	6151	3.2	2771852	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),JU1418)	(PX506,(QX1410,JU1418),JU3237)	(PX506,(JU3237,JU1418),QX1410)
mast_all	JU3237	quartet_04	submodel6	21423646.5681	0.986	0.0069	0.0071	6151	3.2	2771852	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),JU1418)	(PX506,(QX1410,JU1418),JU3237)	(PX506,(JU3237,JU1418),QX1410)
mast_all	JU3237	quartet_05	submodel1	21266667.2849	0.949	0.0503	7e-04	6107	3.2	2751699	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),JU1419)	(PX506,(QX1410,JU1419),JU3237)	(PX506,(JU3237,JU1419),QX1410)
mast_all	JU3237	quartet_05	submodel6	21273409.3739	0.9855	0.0063	0.0082	6107	3.2	2751699	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),JU1419)	(PX506,(QX1410,JU1419),JU3237)	(PX506,(JU3237,JU1419),QX1410)
mast_all	JU3237	quartet_06	submodel1	21486711.0675	0.9469	0.0528	3e-04	6134	3.2	2782800	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),JU1420)	(PX506,(QX1410,JU1420),JU3237)	(PX506,(JU3237,JU1420),QX1410)
mast_all	JU3237	quartet_06	submodel6	21494038.1141	0.9855	0.0062	0.0083	6134	3.2	2782800	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),JU1420)	(PX506,(QX1410,JU1420),JU3237)	(PX506,(JU3237,JU1420),QX1410)
mast_all	JU3237	quartet_07	submodel1	21269308.6368	0.9511	0.0379	0.011	6107	3.2	2754460	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),JU1422)	(PX506,(QX1410,JU1422),JU3237)	(PX506,(JU3237,JU1422),QX1410)
mast_all	JU3237	quartet_07	submodel6	21275708.755	0.9854	0.0063	0.0083	6107	3.2	2754460	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),JU1422)	(PX506,(QX1410,JU1422),JU3237)	(PX506,(JU3237,JU1422),QX1410)
mast_all	JU3237	quartet_08	submodel1	21762339.1367	0.9481	0.038	0.014	6244	3.2	2818109	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),JU2484)	(PX506,(QX1410,JU2484),JU3237)	(PX506,(JU3237,JU2484),QX1410)
mast_all	JU3237	quartet_08	submodel6	21768590.0002	0.9851	0.0071	0.0078	6244	3.2	2818109	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),JU2484)	(PX506,(QX1410,JU2484),JU3237)	(PX506,(JU3237,JU2484),QX1410)
mast_all	JU3237	quartet_09	submodel1	21924185.508	0.9503	4e-04	0.0492	6232	3.3	2838406	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),JU2617)	(PX506,(QX1410,JU2617),JU3237)	(PX506,(JU3237,JU2617),QX1410)
mast_all	JU3237	quartet_09	submodel6	21930154.9706	0.9855	0.0069	0.0076	6232	3.3	2838406	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),JU2617)	(PX506,(QX1410,JU2617),JU3237)	(PX506,(JU3237,JU2617),QX1410)
mast_all	JU3237	quartet_10	submodel1	20754402.8127	0.9515	4e-04	0.0481	5957	3.2	2686717	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),NIC2143)	(PX506,(QX1410,NIC2143),JU3237)	(PX506,(JU3237,NIC2143),QX1410)
mast_all	JU3237	quartet_10	submodel6	20760879.7909	0.9854	0.0063	0.0083	5957	3.2	2686717	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),NIC2143)	(PX506,(QX1410,NIC2143),JU3237)	(PX506,(JU3237,NIC2143),QX1410)
mast_all	JU3237	quartet_11	submodel1	21281419.3691	0.9502	7e-04	0.0491	6095	3.2	2755060	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),NIC2150)	(PX506,(QX1410,NIC2150),JU3237)	(PX506,(JU3237,NIC2150),QX1410)
mast_all	JU3237	quartet_11	submodel6	21287726.0472	0.9855	0.0065	0.008	6095	3.2	2755060	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),NIC2150)	(PX506,(QX1410,NIC2150),JU3237)	(PX506,(JU3237,NIC2150),QX1410)
mast_all	JU3237	quartet_12	submodel1	21247254.9102	0.9529	4e-04	0.0466	6073	3.2	2750345	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),NIC2152)	(PX506,(QX1410,NIC2152),JU3237)	(PX506,(JU3237,NIC2152),QX1410)
mast_all	JU3237	quartet_12	submodel6	21253343.79	0.9856	0.0065	0.0078	6073	3.2	2750345	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),NIC2152)	(PX506,(QX1410,NIC2152),JU3237)	(PX506,(JU3237,NIC2152),QX1410)
mast_all	JU3237	quartet_13	submodel1	21405270.229	0.9539	0.0187	0.0274	6119	3.2	2768953	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),VX151)	(PX506,(QX1410,VX151),JU3237)	(PX506,(JU3237,VX151),QX1410)
mast_all	JU3237	quartet_13	submodel6	21411132.6898	0.9859	0.0066	0.0075	6119	3.2	2768953	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),VX151)	(PX506,(QX1410,VX151),JU3237)	(PX506,(JU3237,VX151),QX1410)
mast_all	JU3237	quartet_14	submodel1	21298267.0086	0.9485	6e-04	0.0509	6075	3.2	2754762	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),VX153)	(PX506,(QX1410,VX153),JU3237)	(PX506,(JU3237,VX153),QX1410)
mast_all	JU3237	quartet_14	submodel6	21304667.461	0.9855	0.0069	0.0076	6075	3.2	2754762	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),VX153)	(PX506,(QX1410,VX153),JU3237)	(PX506,(JU3237,VX153),QX1410)
mast_all	JU3237	quartet_15	submodel1	21813551.4503	0.95	0.0207	0.0293	6227	3.3	2820041	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),YR106)	(PX506,(QX1410,YR106),JU3237)	(PX506,(JU3237,YR106),QX1410)
mast_all	JU3237	quartet_15	submodel6	21819710.0278	0.9854	0.0069	0.0078	6227	3.3	2820041	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),YR106)	(PX506,(QX1410,YR106),JU3237)	(PX506,(JU3237,YR106),QX1410)
mast_all	JU3237	quartet_16	submodel1	21595374.9959	0.9532	0.0036	0.0432	6166	3.3	2794988	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),ZF1220)	(PX506,(QX1410,ZF1220),JU3237)	(PX506,(JU3237,ZF1220),QX1410)
mast_all	JU3237	quartet_16	submodel6	21600803.4294	0.9855	0.0069	0.0076	6166	3.3	2794988	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,JU3237),ZF1220)	(PX506,(QX1410,ZF1220),JU3237)	(PX506,(JU3237,ZF1220),QX1410)
mast_all	QG4232	quartet_01	submodel1	17459525.9012	0.8781	0.0481	0.0739	5621	3.1	2276547	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),ECA2852)	(PX506,(QX1410,ECA2852),QG4232)	(PX506,(QG4232,ECA2852),QX1410)
mast_all	QG4232	quartet_01	submodel6	17468832.7544	0.9511	0.0184	0.0305	5621	3.1	2276547	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),ECA2852)	(PX506,(QX1410,ECA2852),QG4232)	(PX506,(QG4232,ECA2852),QX1410)
mast_all	QG4232	quartet_02	submodel1	17807938.669	0.8782	0.0476	0.0742	5742	3.1	2319769	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),ECA2857)	(PX506,(QX1410,ECA2857),QG4232)	(PX506,(QG4232,ECA2857),QX1410)
mast_all	QG4232	quartet_02	submodel6	17817356.2376	0.9542	0.0256	0.0202	5742	3.1	2319769	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),ECA2857)	(PX506,(QX1410,ECA2857),QG4232)	(PX506,(QG4232,ECA2857),QX1410)
mast_all	QG4232	quartet_03	submodel1	18180765.1952	0.877	0.0452	0.0778	5799	3.2	2368029	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),EG5268)	(PX506,(QX1410,EG5268),QG4232)	(PX506,(QG4232,EG5268),QX1410)
mast_all	QG4232	quartet_03	submodel6	18189877.9662	0.9551	0.0243	0.0206	5799	3.2	2368029	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),EG5268)	(PX506,(QX1410,EG5268),QG4232)	(PX506,(QG4232,EG5268),QX1410)
mast_all	QG4232	quartet_04	submodel1	18081881.3857	0.8817	0.0468	0.0716	5797	3.1	2354130	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),JU1418)	(PX506,(QX1410,JU1418),QG4232)	(PX506,(QG4232,JU1418),QX1410)
mast_all	QG4232	quartet_04	submodel6	18091135.5144	0.9548	0.0184	0.0268	5797	3.1	2354130	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),JU1418)	(PX506,(QX1410,JU1418),QG4232)	(PX506,(QG4232,JU1418),QX1410)
mast_all	QG4232	quartet_05	submodel1	18004626.7124	0.8819	0.0437	0.0744	5768	3.1	2344563	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),JU1419)	(PX506,(QX1410,JU1419),QG4232)	(PX506,(QG4232,JU1419),QX1410)
mast_all	QG4232	quartet_05	submodel6	18014139.4126	0.9548	0.0183	0.0269	5768	3.1	2344563	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),JU1419)	(PX506,(QX1410,JU1419),QG4232)	(PX506,(QG4232,JU1419),QX1410)
mast_all	QG4232	quartet_06	submodel1	18228576.3945	0.881	0.0453	0.0737	5796	3.1	2371708	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),JU1420)	(PX506,(QX1410,JU1420),QG4232)	(PX506,(QG4232,JU1420),QX1410)
mast_all	QG4232	quartet_06	submodel6	18238066.3427	0.9544	0.0194	0.0262	5796	3.1	2371708	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),JU1420)	(PX506,(QX1410,JU1420),QG4232)	(PX506,(QG4232,JU1420),QX1410)
mast_all	QG4232	quartet_07	submodel1	17917072.6231	0.8769	0.0467	0.0765	5733	3.1	2333367	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),JU1422)	(PX506,(QX1410,JU1422),QG4232)	(PX506,(QG4232,JU1422),QX1410)
mast_all	QG4232	quartet_07	submodel6	17926224.9703	0.9546	0.0181	0.0273	5733	3.1	2333367	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),JU1422)	(PX506,(QX1410,JU1422),QG4232)	(PX506,(QG4232,JU1422),QX1410)
mast_all	QG4232	quartet_08	submodel1	18182532.4514	0.8734	0.0494	0.0772	5840	3.1	2372153	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),JU2484)	(PX506,(QX1410,JU2484),QG4232)	(PX506,(QG4232,JU2484),QX1410)
mast_all	QG4232	quartet_08	submodel6	18192197.0027	0.9514	0.0186	0.03	5840	3.1	2372153	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),JU2484)	(PX506,(QX1410,JU2484),QG4232)	(PX506,(QG4232,JU2484),QX1410)
mast_all	QG4232	quartet_09	submodel1	18371665.1232	0.8787	0.0459	0.0754	5850	3.2	2396430	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),JU2617)	(PX506,(QX1410,JU2617),QG4232)	(PX506,(QG4232,JU2617),QX1410)
mast_all	QG4232	quartet_09	submodel6	18380588.4057	0.9731	0.005	0.0219	5850	3.2	2396430	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),JU2617)	(PX506,(QX1410,JU2617),QG4232)	(PX506,(QG4232,JU2617),QX1410)
mast_all	QG4232	quartet_10	submodel1	17223595.9883	0.8763	0.0481	0.0756	5600	3.1	2245548	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),NIC2143)	(PX506,(QX1410,NIC2143),QG4232)	(PX506,(QG4232,NIC2143),QX1410)
mast_all	QG4232	quartet_10	submodel6	17232567.961	0.9729	0.005	0.022	5600	3.1	2245548	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),NIC2143)	(PX506,(QX1410,NIC2143),QG4232)	(PX506,(QG4232,NIC2143),QX1410)
mast_all	QG4232	quartet_11	submodel1	17951028.9869	0.8721	0.0508	0.0771	5742	3.1	2335352	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),NIC2150)	(PX506,(QX1410,NIC2150),QG4232)	(PX506,(QG4232,NIC2150),QX1410)
mast_all	QG4232	quartet_11	submodel6	17960334.7303	0.9546	0.0193	0.026	5742	3.1	2335352	O_CBXCBY_CNX	O_CBXCNX_CBY	O_CBYCNX_CBX	(PX506,(QX1410,QG4232),NIC2150)	(PX506,(QX1410,NIC2150),QG4232)	(PX506,(QG4232,NIC2150),QX1410)
