strain	bam	bai	coverage	percent_mapped
ECA2623	ECA2623.bam	ECA2623.bam.bai	0	0
ECA2625	ECA2625.bam	ECA2625.bam.bai	0	0
ECA2626	ECA2626.bam	ECA2626.bam.bai	0	0
ECA2636	ECA2636.bam	ECA2636.bam.bai	0	0
ECA2637	ECA2637.bam	ECA2637.bam.bai	0	0
ECA2639	ECA2639.bam	ECA2639.bam.bai	0	0
ECA2645	ECA2645.bam	ECA2645.bam.bai	0	0
ECA2647	ECA2647.bam	ECA2647.bam.bai	0	0
ECA2663	ECA2663.bam	ECA2663.bam.bai	0	0
ECA2664	ECA2664.bam	ECA2664.bam.bai	0	0
ECA2666	ECA2666.bam	ECA2666.bam.bai	0	0
ECA2667	ECA2667.bam	ECA2667.bam.bai	0	0
ECA2670	ECA2670.bam	ECA2670.bam.bai	0	0
ECA276	ECA276.bam	ECA276.bam.bai	0	0
ECA278	ECA278.bam	ECA278.bam.bai	0	0
ECA2808	ECA2808.bam	ECA2808.bam.bai	0	0
ECA287	ECA287.bam	ECA287.bam.bai	0	0
ECA288	ECA288.bam	ECA288.bam.bai	0	0
ECA2883	ECA2883.bam	ECA2883.bam.bai	0	0
ECA2890	ECA2890.bam	ECA2890.bam.bai	0	0
ECA2894	ECA2894.bam	ECA2894.bam.bai	0	0
ECA2975	ECA2975.bam	ECA2975.bam.bai	0	0
ECA3091	ECA3091.bam	ECA3091.bam.bai	0	0
ECA343	ECA343.bam	ECA343.bam.bai	0	0
ECA346	ECA346.bam	ECA346.bam.bai	0	0
ECA3502	ECA3502.bam	ECA3502.bam.bai	0	0
ECA3503	ECA3503.bam	ECA3503.bam.bai	0	0
ECA3509	ECA3509.bam	ECA3509.bam.bai	0	0
ECA3708	ECA3708.bam	ECA3708.bam.bai	0	0
ECA371	ECA371.bam	ECA371.bam.bai	0	0
ECA3712	ECA3712.bam	ECA3712.bam.bai	0	0
ECA3713	ECA3713.bam	ECA3713.bam.bai	0	0
ECA3899	ECA3899.bam	ECA3899.bam.bai	0	0
ECA569	ECA569.bam	ECA569.bam.bai	0	0
ED3032	ED3032.bam	ED3032.bam.bai	0	0
ED3037	ED3037.bam	ED3037.bam.bai	0	0
ED3088	ED3088.bam	ED3088.bam.bai	0	0
ED3102	ED3102.bam	ED3102.bam.bai	0	0
EG4360	EG4360.bam	EG4360.bam.bai	0	0
EG5612	EG5612.bam	EG5612.bam.bai	0	0
EG5613	EG5613.bam	EG5613.bam.bai	0	0
EG6179	EG6179.bam	EG6179.bam.bai	0	0
EG6260	EG6260.bam	EG6260.bam.bai	0	0
EG6261	EG6261.bam	EG6261.bam.bai	0	0
EG6265	EG6265.bam	EG6265.bam.bai	0	0
EG6267	EG6267.bam	EG6267.bam.bai	0	0
EG6268	EG6268.bam	EG6268.bam.bai	0	0
EG6271	EG6271.bam	EG6271.bam.bai	0	0
EG6272	EG6272.bam	EG6272.bam.bai	0	0
EG6274	EG6274.bam	EG6274.bam.bai	0	0
EG6275	EG6275.bam	EG6275.bam.bai	0	0
EG6276	EG6276.bam	EG6276.bam.bai	0	0
EG6329	EG6329.bam	EG6329.bam.bai	0	0
GUN124	GUN124.bam	GUN124.bam.bai	0	0
GXW22	GXW22.bam	GXW22.bam.bai	0	0
GXW23	GXW23.bam	GXW23.bam.bai	0	0
HK104	HK104.bam	HK104.bam.bai	0	0
HPT11	HPT11.bam	HPT11.bam.bai	0	0
HPT16	HPT16.bam	HPT16.bam.bai	0	0
HPT18	HPT18.bam	HPT18.bam.bai	0	0
HPT19	HPT19.bam	HPT19.bam.bai	0	0
HPT2	HPT2.bam	HPT2.bam.bai	0	0
HPT21	HPT21.bam	HPT21.bam.bai	0	0
HPT24	HPT24.bam	HPT24.bam.bai	0	0
HPT34	HPT34.bam	HPT34.bam.bai	0	0
HPT37	HPT37.bam	HPT37.bam.bai	0	0
HPT4	HPT4.bam	HPT4.bam.bai	0	0
HPT42	HPT42.bam	HPT42.bam.bai	0	0
HPT52	HPT52.bam	HPT52.bam.bai	0	0
HPT53	HPT53.bam	HPT53.bam.bai	0	0
HPT54	HPT54.bam	HPT54.bam.bai	0	0
HPT55	HPT55.bam	HPT55.bam.bai	0	0
HPT59	HPT59.bam	HPT59.bam.bai	0	0
HPT60	HPT60.bam	HPT60.bam.bai	0	0
HPT62	HPT62.bam	HPT62.bam.bai	0	0
HPT63	HPT63.bam	HPT63.bam.bai	0	0
HPT7	HPT7.bam	HPT7.bam.bai	0	0
HPT8	HPT8.bam	HPT8.bam.bai	0	0
HPT9	HPT9.bam	HPT9.bam.bai	0	0
JU1257	JU1257.bam	JU1257.bam.bai	0	0
JU1337	JU1337.bam	JU1337.bam.bai	0	0
JU1338	JU1338.bam	JU1338.bam.bai	0	0
JU1341	JU1341.bam	JU1341.bam.bai	0	0
JU1344	JU1344.bam	JU1344.bam.bai	0	0
JU1346	JU1346.bam	JU1346.bam.bai	0	0
JU1347	JU1347.bam	JU1347.bam.bai	0	0
JU1348	JU1348.bam	JU1348.bam.bai	0	0
JU1375	JU1375.bam	JU1375.bam.bai	0	0
JU1377	JU1377.bam	JU1377.bam.bai	0	0
JU1378	JU1378.bam	JU1378.bam.bai	0	0
JU1392	JU1392.bam	JU1392.bam.bai	0	0
JU1399	JU1399.bam	JU1399.bam.bai	0	0
JU1424	JU1424.bam	JU1424.bam.bai	0	0
JU1435	JU1435.bam	JU1435.bam.bai	0	0
JU1564	JU1564.bam	JU1564.bam.bai	0	0
JU1637	JU1637.bam	JU1637.bam.bai	0	0
JU1638	JU1638.bam	JU1638.bam.bai	0	0
JU1794	JU1794.bam	JU1794.bam.bai	0	0
JU1795	JU1795.bam	JU1795.bam.bai	0	0
JU1799	JU1799.bam	JU1799.bam.bai	0	0
JU1802	JU1802.bam	JU1802.bam.bai	0	0
JU1814	JU1814.bam	JU1814.bam.bai	0	0
JU1884	JU1884.bam	JU1884.bam.bai	0	0
JU1885	JU1885.bam	JU1885.bam.bai	0	0
JU1907	JU1907.bam	JU1907.bam.bai	0	0
JU1908	JU1908.bam	JU1908.bam.bai	0	0
JU1909	JU1909.bam	JU1909.bam.bai	0	0
JU1913	JU1913.bam	JU1913.bam.bai	0	0
JU2053	JU2053.bam	JU2053.bam.bai	0	0
JU2054	JU2054.bam	JU2054.bam.bai	0	0
JU2056	JU2056.bam	JU2056.bam.bai	0	0
JU2057	JU2057.bam	JU2057.bam.bai	0	0
JU2160	JU2160.bam	JU2160.bam.bai	0	0
JU2162	JU2162.bam	JU2162.bam.bai	0	0
JU2214	JU2214.bam	JU2214.bam.bai	0	0
JU2216	JU2216.bam	JU2216.bam.bai	0	0
JU2457	JU2457.bam	JU2457.bam.bai	0	0
JU2470	JU2470.bam	JU2470.bam.bai	0	0
JU2472	JU2472.bam	JU2472.bam.bai	0	0
JU2506	JU2506.bam	JU2506.bam.bai	0	0
JU2507	JU2507.bam	JU2507.bam.bai	0	0
JU2518	JU2518.bam	JU2518.bam.bai	0	0
JU2536	JU2536.bam	JU2536.bam.bai	0	0
JU2597	JU2597.bam	JU2597.bam.bai	0	0
JU2747	JU2747.bam	JU2747.bam.bai	0	0
JU2767	JU2767.bam	JU2767.bam.bai	0	0
JU2799	JU2799.bam	JU2799.bam.bai	0	0
JU2801	JU2801.bam	JU2801.bam.bai	0	0
JU2836	JU2836.bam	JU2836.bam.bai	0	0
JU2849	JU2849.bam	JU2849.bam.bai	0	0
JU2861	JU2861.bam	JU2861.bam.bai	0	0
JU2868	JU2868.bam	JU2868.bam.bai	0	0
JU2872	JU2872.bam	JU2872.bam.bai	0	0
JU3171	JU3171.bam	JU3171.bam.bai	0	0
JU3200	JU3200.bam	JU3200.bam.bai	0	0
JU3201	JU3201.bam	JU3201.bam.bai	0	0
JU3202	JU3202.bam	JU3202.bam.bai	0	0
JU3203	JU3203.bam	JU3203.bam.bai	0	0
JU3206	JU3206.bam	JU3206.bam.bai	0	0
JU3207	JU3207.bam	JU3207.bam.bai	0	0
JU3237	JU3237.bam	JU3237.bam.bai	0	0
JU3272	JU3272.bam	JU3272.bam.bai	0	0
JU3281	JU3281.bam	JU3281.bam.bai	0	0
JU3319	JU3319.bam	JU3319.bam.bai	0	0
JU3321	JU3321.bam	JU3321.bam.bai	0	0
JU3326	JU3326.bam	JU3326.bam.bai	0	0
JU3327	JU3327.bam	JU3327.bam.bai	0	0
JU3416	JU3416.bam	JU3416.bam.bai	0	0
JU356	JU356.bam	JU356.bam.bai	0	0
JU4042	JU4042.bam	JU4042.bam.bai	0	0
JU4051	JU4051.bam	JU4051.bam.bai	0	0
JU4058	JU4058.bam	JU4058.bam.bai	0	0
JU4060	JU4060.bam	JU4060.bam.bai	0	0
JU4062	JU4062.bam	JU4062.bam.bai	0	0
JU4064	JU4064.bam	JU4064.bam.bai	0	0
JU4080	JU4080.bam	JU4080.bam.bai	0	0
JU4084	JU4084.bam	JU4084.bam.bai	0	0
JU4097	JU4097.bam	JU4097.bam.bai	0	0
JU725	JU725.bam	JU725.bam.bai	0	0
MY2716	MY2716.bam	MY2716.bam.bai	0	0
MY539	MY539.bam	MY539.bam.bai	0	0
MY681	MY681.bam	MY681.bam.bai	0	0
NIC1050	NIC1050.bam	NIC1050.bam.bai	0	0
NIC1052	NIC1052.bam	NIC1052.bam.bai	0	0
NIC1054	NIC1054.bam	NIC1054.bam.bai	0	0
NIC1055	NIC1055.bam	NIC1055.bam.bai	0	0
NIC1057	NIC1057.bam	NIC1057.bam.bai	0	0
NIC1058	NIC1058.bam	NIC1058.bam.bai	0	0
NIC1059	NIC1059.bam	NIC1059.bam.bai	0	0
NIC1060	NIC1060.bam	NIC1060.bam.bai	0	0
NIC1062	NIC1062.bam	NIC1062.bam.bai	0	0
NIC1069	NIC1069.bam	NIC1069.bam.bai	0	0
NIC1103	NIC1103.bam	NIC1103.bam.bai	0	0
NIC1104	NIC1104.bam	NIC1104.bam.bai	0	0
NIC1106	NIC1106.bam	NIC1106.bam.bai	0	0
NIC1117	NIC1117.bam	NIC1117.bam.bai	0	0
NIC1123	NIC1123.bam	NIC1123.bam.bai	0	0
NIC1124	NIC1124.bam	NIC1124.bam.bai	0	0
NIC1135	NIC1135.bam	NIC1135.bam.bai	0	0
NIC1138	NIC1138.bam	NIC1138.bam.bai	0	0
NIC1141	NIC1141.bam	NIC1141.bam.bai	0	0
NIC115	NIC115.bam	NIC115.bam.bai	0	0
NIC117	NIC117.bam	NIC117.bam.bai	0	0
NIC1183	NIC1183.bam	NIC1183.bam.bai	0	0
NIC119	NIC119.bam	NIC119.bam.bai	0	0
NIC1190	NIC1190.bam	NIC1190.bam.bai	0	0
NIC1202	NIC1202.bam	NIC1202.bam.bai	0	0
NIC1204	NIC1204.bam	NIC1204.bam.bai	0	0
NIC1205	NIC1205.bam	NIC1205.bam.bai	0	0
NIC1218	NIC1218.bam	NIC1218.bam.bai	0	0
NIC1220	NIC1220.bam	NIC1220.bam.bai	0	0
NIC1221	NIC1221.bam	NIC1221.bam.bai	0	0
NIC123	NIC123.bam	NIC123.bam.bai	0	0
NIC1267	NIC1267.bam	NIC1267.bam.bai	0	0
NIC1283	NIC1283.bam	NIC1283.bam.bai	0	0
NIC1288	NIC1288.bam	NIC1288.bam.bai	0	0
NIC1292	NIC1292.bam	NIC1292.bam.bai	0	0
NIC1302	NIC1302.bam	NIC1302.bam.bai	0	0
NIC1304	NIC1304.bam	NIC1304.bam.bai	0	0
NIC1308	NIC1308.bam	NIC1308.bam.bai	0	0
NIC1407	NIC1407.bam	NIC1407.bam.bai	0	0
NIC1421	NIC1421.bam	NIC1421.bam.bai	0	0
NIC1423	NIC1423.bam	NIC1423.bam.bai	0	0
NIC1442	NIC1442.bam	NIC1442.bam.bai	0	0
NIC1491	NIC1491.bam	NIC1491.bam.bai	0	0
NIC1525	NIC1525.bam	NIC1525.bam.bai	0	0
NIC1528	NIC1528.bam	NIC1528.bam.bai	0	0
NIC1529	NIC1529.bam	NIC1529.bam.bai	0	0
NIC1533	NIC1533.bam	NIC1533.bam.bai	0	0
NIC1535	NIC1535.bam	NIC1535.bam.bai	0	0
NIC1539	NIC1539.bam	NIC1539.bam.bai	0	0
NIC1540	NIC1540.bam	NIC1540.bam.bai	0	0
NIC1562	NIC1562.bam	NIC1562.bam.bai	0	0
NIC1589	NIC1589.bam	NIC1589.bam.bai	0	0
NIC1590	NIC1590.bam	NIC1590.bam.bai	0	0
NIC1591	NIC1591.bam	NIC1591.bam.bai	0	0
NIC1593	NIC1593.bam	NIC1593.bam.bai	0	0
NIC1595	NIC1595.bam	NIC1595.bam.bai	0	0
NIC1598	NIC1598.bam	NIC1598.bam.bai	0	0
NIC1602	NIC1602.bam	NIC1602.bam.bai	0	0
NIC1607	NIC1607.bam	NIC1607.bam.bai	0	0
NIC1628	NIC1628.bam	NIC1628.bam.bai	0	0
NIC1630	NIC1630.bam	NIC1630.bam.bai	0	0
NIC1631	NIC1631.bam	NIC1631.bam.bai	0	0
NIC1632	NIC1632.bam	NIC1632.bam.bai	0	0
NIC1633	NIC1633.bam	NIC1633.bam.bai	0	0
NIC1635	NIC1635.bam	NIC1635.bam.bai	0	0
NIC1645	NIC1645.bam	NIC1645.bam.bai	0	0
NIC1660	NIC1660.bam	NIC1660.bam.bai	0	0
NIC1661	NIC1661.bam	NIC1661.bam.bai	0	0
NIC1662	NIC1662.bam	NIC1662.bam.bai	0	0
NIC1663	NIC1663.bam	NIC1663.bam.bai	0	0
NIC1664	NIC1664.bam	NIC1664.bam.bai	0	0
NIC1665	NIC1665.bam	NIC1665.bam.bai	0	0
NIC1666	NIC1666.bam	NIC1666.bam.bai	0	0
NIC1667	NIC1667.bam	NIC1667.bam.bai	0	0
NIC1681	NIC1681.bam	NIC1681.bam.bai	0	0
NIC1688	NIC1688.bam	NIC1688.bam.bai	0	0
NIC1692	NIC1692.bam	NIC1692.bam.bai	0	0
NIC1693	NIC1693.bam	NIC1693.bam.bai	0	0
NIC17	NIC17.bam	NIC17.bam.bai	0	0
NIC174	NIC174.bam	NIC174.bam.bai	0	0
NIC187	NIC187.bam	NIC187.bam.bai	0	0
NIC188	NIC188.bam	NIC188.bam.bai	0	0
NIC19	NIC19.bam	NIC19.bam.bai	0	0
NIC191	NIC191.bam	NIC191.bam.bai	0	0
NIC20	NIC20.bam	NIC20.bam.bai	0	0
NIC21	NIC21.bam	NIC21.bam.bai	0	0
NIC22	NIC22.bam	NIC22.bam.bai	0	0
NIC2369	NIC2369.bam	NIC2369.bam.bai	0	0
NIC248	NIC248.bam	NIC248.bam.bai	0	0
NIC250	NIC250.bam	NIC250.bam.bai	0	0
NIC2527	NIC2527.bam	NIC2527.bam.bai	0	0
NIC309	NIC309.bam	NIC309.bam.bai	0	0
NIC325	NIC325.bam	NIC325.bam.bai	0	0
NIC327	NIC327.bam	NIC327.bam.bai	0	0
NIC329	NIC329.bam	NIC329.bam.bai	0	0
NIC330	NIC330.bam	NIC330.bam.bai	0	0
NIC331	NIC331.bam	NIC331.bam.bai	0	0
NIC332	NIC332.bam	NIC332.bam.bai	0	0
NIC333	NIC333.bam	NIC333.bam.bai	0	0
NIC343	NIC343.bam	NIC343.bam.bai	0	0
NIC392	NIC392.bam	NIC392.bam.bai	0	0
NIC400	NIC400.bam	NIC400.bam.bai	0	0
NIC402	NIC402.bam	NIC402.bam.bai	0	0
NIC419	NIC419.bam	NIC419.bam.bai	0	0
NIC504	NIC504.bam	NIC504.bam.bai	0	0
NIC505	NIC505.bam	NIC505.bam.bai	0	0
NIC518	NIC518.bam	NIC518.bam.bai	0	0
NIC519	NIC519.bam	NIC519.bam.bai	0	0
NIC532	NIC532.bam	NIC532.bam.bai	0	0
NIC541	NIC541.bam	NIC541.bam.bai	0	0
NIC549	NIC549.bam	NIC549.bam.bai	0	0
NIC552	NIC552.bam	NIC552.bam.bai	0	0
NIC555	NIC555.bam	NIC555.bam.bai	0	0
NIC561	NIC561.bam	NIC561.bam.bai	0	0
NIC574	NIC574.bam	NIC574.bam.bai	0	0
NIC578	NIC578.bam	NIC578.bam.bai	0	0
NIC583	NIC583.bam	NIC583.bam.bai	0	0
NIC590	NIC590.bam	NIC590.bam.bai	0	0
NIC593	NIC593.bam	NIC593.bam.bai	0	0
NIC60	NIC60.bam	NIC60.bam.bai	0	0
NIC61	NIC61.bam	NIC61.bam.bai	0	0
NIC62	NIC62.bam	NIC62.bam.bai	0	0
NIC67	NIC67.bam	NIC67.bam.bai	0	0
NIC758	NIC758.bam	NIC758.bam.bai	0	0
NIC777	NIC777.bam	NIC777.bam.bai	0	0
NIC779	NIC779.bam	NIC779.bam.bai	0	0
NIC790	NIC790.bam	NIC790.bam.bai	0	0
NIC791	NIC791.bam	NIC791.bam.bai	0	0
NIC792	NIC792.bam	NIC792.bam.bai	0	0
NIC793	NIC793.bam	NIC793.bam.bai	0	0
NIC795	NIC795.bam	NIC795.bam.bai	0	0
NIC796	NIC796.bam	NIC796.bam.bai	0	0
NIC802	NIC802.bam	NIC802.bam.bai	0	0
NIC803	NIC803.bam	NIC803.bam.bai	0	0
NIC805	NIC805.bam	NIC805.bam.bai	0	0
NIC811	NIC811.bam	NIC811.bam.bai	0	0
NIC814	NIC814.bam	NIC814.bam.bai	0	0
NIC815	NIC815.bam	NIC815.bam.bai	0	0
NIC816	NIC816.bam	NIC816.bam.bai	0	0
NIC819	NIC819.bam	NIC819.bam.bai	0	0
NIC821	NIC821.bam	NIC821.bam.bai	0	0
NIC822	NIC822.bam	NIC822.bam.bai	0	0
NIC824	NIC824.bam	NIC824.bam.bai	0	0
NIC825	NIC825.bam	NIC825.bam.bai	0	0
NIC827	NIC827.bam	NIC827.bam.bai	0	0
NIC828	NIC828.bam	NIC828.bam.bai	0	0
NIC863	NIC863.bam	NIC863.bam.bai	0	0
NIC864	NIC864.bam	NIC864.bam.bai	0	0
NIC865	NIC865.bam	NIC865.bam.bai	0	0
NIC871	NIC871.bam	NIC871.bam.bai	0	0
NIC883	NIC883.bam	NIC883.bam.bai	0	0
NIC889	NIC889.bam	NIC889.bam.bai	0	0
NIC893	NIC893.bam	NIC893.bam.bai	0	0
NIC897	NIC897.bam	NIC897.bam.bai	0	0
