isotype	Sublineage	Lineage	lat	long	geo	geo_color	abslat	subpop	adm_color	lineage_color	sublineage_color
NIC1304	TS2	Tropical	3.617134038	-53.19634804	South America	#E78AC3	3.617134038	N	#01A4B1	#ff0000	#ff77ab
NIC1292	TS2	Tropical	3.630410973	-53.20572797	South America	#E78AC3	3.630410973	N	#01A4B1	#ff0000	#ff77ab
NIC1302	TS2	Tropical	3.616456026	-53.20972002	South America	#E78AC3	3.616456026	N	#01A4B1	#ff0000	#ff77ab
NIC1267	TS2	Tropical	3.622385971	-53.21547696	South America	#E78AC3	3.622385971	Admixed	gray80	#ff0000	#ff77ab
NIC1283	TS2	Tropical	3.640333973	-53.20234504	South America	#E78AC3	3.640333973	N	#01A4B1	#ff0000	#ff77ab
NIC1407	TS2	Tropical	3.630410973	-53.20572797	South America	#E78AC3	3.630410973	N	#01A4B1	#ff0000	#ff77ab
NIC1423	TS2	Tropical	3.644299032	-53.19803297	South America	#E78AC3	3.644299032	Admixed	gray80	#ff0000	#ff77ab
NIC1288	TS2	Tropical	3.641279032	-53.20139201	South America	#E78AC3	3.641279032	Admixed	gray80	#ff0000	#ff77ab
QG3931	TS2	Tropical	13.225422	-59.589477	Caribbean	#FFD92F	13.225422	Admixed	gray80	#ff0000	#ff77ab
QG3924	TS2	Tropical	13.234279	-59.587888	Caribbean	#FFD92F	13.234279	Admixed	gray80	#ff0000	#ff77ab
NIC392	TS2	Tropical	5.40779	-53.64583	South America	#E78AC3	5.40779	Admixed	gray80	#ff0000	#ff77ab
JU1399	TS2	Tropical	5.9	-75.9	South America	#E78AC3	5.9	Admixed	gray80	#ff0000	#ff77ab
NIC1103	TS2	Tropical	18.0383007	-89.6738919	Central America	#8DA0CB	18.0383007	Admixed	gray80	#ff0000	#ff77ab
NIC1050	TS2	Tropical	20.51328	-87.24718	Central America	#8DA0CB	20.51328	Admixed	gray80	#ff0000	#ff77ab
NIC1052	TS2	Tropical	20.51328	-87.24718	Central America	#8DA0CB	20.51328	Admixed	gray80	#ff0000	#ff77ab
JU2597	TS2	Tropical	43.8812	5.1072	Cosmopolitan	gray30	43.8812	Cosmopolitan	white	#ff0000	#ff77ab
NIC1054	TS2	Tropical	20.48991	-87.72797	Central America	#8DA0CB	20.48991	N	#01A4B1	#ff0000	#ff77ab
NIC1059	TS2	Tropical	20.48627	-87.72449	Central America	#8DA0CB	20.48627	Admixed	gray80	#ff0000	#ff77ab
NIC1055	TS2	Tropical	20.48978	-87.72502	Central America	#8DA0CB	20.48978	Admixed	gray80	#ff0000	#ff77ab
NIC1057	TS2	Tropical	20.48756	-87.72532	Central America	#8DA0CB	20.48756	Admixed	gray80	#ff0000	#ff77ab
NIC1060	TS2	Tropical	20.48529	-87.72361	Central America	#8DA0CB	20.48529	N	#01A4B1	#ff0000	#ff77ab
NIC1058	TS2	Tropical	20.48756	-87.72532	Central America	#8DA0CB	20.48756	Admixed	gray80	#ff0000	#ff77ab
QG761	TS2	Tropical	9.161421	-79.837195	Central America	#8DA0CB	9.161421	Admixed	gray80	#ff0000	#ff77ab
QG860	TS2	Tropical	9.14141	-79.8285	Central America	#8DA0CB	9.14141	Admixed	gray80	#ff0000	#ff77ab
QG881	TS2	Tropical	9.144607067	-79.8263148	Central America	#8DA0CB	9.144607067	Admixed	gray80	#ff0000	#ff77ab
QG700	TS2	Tropical	9.145492913	-79.8261379	Central America	#8DA0CB	9.145492913	Admixed	gray80	#ff0000	#ff77ab
QG795	TS2	Tropical	9.159222	-79.836495	Central America	#8DA0CB	9.159222	Admixed	gray80	#ff0000	#ff77ab
QG3056	TS2	Tropical	9.1674	-79.83967	Central America	#8DA0CB	9.1674	Admixed	gray80	#ff0000	#ff77ab
QG2966	TS2	Tropical	9.166166667	-79.84	Central America	#8DA0CB	9.166166667	Admixed	gray80	#ff0000	#ff77ab
QG3004	TS2	Tropical	9.16925	-79.8380167	Central America	#8DA0CB	9.16925	Admixed	gray80	#ff0000	#ff77ab
QG3032	TS2	Tropical	9.163366667	-79.8447333	Central America	#8DA0CB	9.163366667	Admixed	gray80	#ff0000	#ff77ab
QG1155	TS2	Tropical	9.160449	-79.840373	Central America	#8DA0CB	9.160449	Admixed	gray80	#ff0000	#ff77ab
QG887	TS2	Tropical	9.14576403	-79.8544232	Central America	#8DA0CB	9.14576403	Admixed	gray80	#ff0000	#ff77ab
QG997	TS2	Tropical	9.160461	-79.822633	Central America	#8DA0CB	9.160461	Admixed	gray80	#ff0000	#ff77ab
QG865	TS2	Tropical	9.16272	-79.84097	Central America	#8DA0CB	9.16272	Admixed	gray80	#ff0000	#ff77ab
QG926	TS2	Tropical	9.170573	-79.84316	Central America	#8DA0CB	9.170573	Admixed	gray80	#ff0000	#ff77ab
QG856	TS2	Tropical	9.156459	-79.848792	Central America	#8DA0CB	9.156459	Admixed	gray80	#ff0000	#ff77ab
QG2663	TS2	Tropical	9.153933333	-79.83166667	Central America	#8DA0CB	9.153933333	Admixed	gray80	#ff0000	#ff77ab
QG866	TS2	Tropical	9.151852	-79.853543	Central America	#8DA0CB	9.151852	Admixed	gray80	#ff0000	#ff77ab
QG808	TS2	Tropical	9.1491	-79.856143	Central America	#8DA0CB	9.1491	Admixed	gray80	#ff0000	#ff77ab
QG855	TS2	Tropical	9.152583	-79.852998	Central America	#8DA0CB	9.152583	Admixed	gray80	#ff0000	#ff77ab
QG791	TS2	Tropical	9.14576403	-79.8544232	Central America	#8DA0CB	9.14576403	Admixed	gray80	#ff0000	#ff77ab
QG991	TS2	Tropical	9.16163	-79.83895	Central America	#8DA0CB	9.16163	Q	#0340B9	#ff0000	#ff77ab
QG874	TS2	Tropical	9.16478	-79.83927	Central America	#8DA0CB	9.16478	Q	#0340B9	#ff0000	#ff77ab
QG825	TS2	Tropical	9.16485	-79.8391	Central America	#8DA0CB	9.16485	Q	#0340B9	#ff0000	#ff77ab
QG952	TS2	Tropical	9.160461	-79.822633	Central America	#8DA0CB	9.160461	Q	#0340B9	#ff0000	#ff77ab
QG986	TS2	Tropical	9.147419	-79.85312	Central America	#8DA0CB	9.147419	Q	#0340B9	#ff0000	#ff77ab
QG948	TS2	Tropical	9.145492913	-79.8261379	Central America	#8DA0CB	9.145492913	Q	#0340B9	#ff0000	#ff77ab
QG980	TS2	Tropical	9.1491	-79.856143	Central America	#8DA0CB	9.1491	Q	#0340B9	#ff0000	#ff77ab
QG727	TS2	Tropical	9.14141	-79.8285	Central America	#8DA0CB	9.14141	Q	#0340B9	#ff0000	#ff77ab
QG1141	TS2	Tropical	9.160449	-79.840373	Central America	#8DA0CB	9.160449	Q	#0340B9	#ff0000	#ff77ab
QG947	TS2	Tropical	9.154377	-79.833165	Central America	#8DA0CB	9.154377	Q	#0340B9	#ff0000	#ff77ab
QG879	TS2	Tropical	9.16152	-79.83633	Central America	#8DA0CB	9.16152	Q	#0340B9	#ff0000	#ff77ab
QG833	TS2	Tropical	9.15388	-79.83167	Central America	#8DA0CB	9.15388	Q	#0340B9	#ff0000	#ff77ab
QG781	TS2	Tropical	9.159031	-79.830326	Central America	#8DA0CB	9.159031	Q	#0340B9	#ff0000	#ff77ab
QG807	TS2	Tropical	9.147185361	-79.8528469	Central America	#8DA0CB	9.147185361	Q	#0340B9	#ff0000	#ff77ab
QG828	TS2	Tropical	9.15885	-79.83537	Central America	#8DA0CB	9.15885	Q	#0340B9	#ff0000	#ff77ab
QG788	TS2	Tropical	9.151852	-79.853543	Central America	#8DA0CB	9.151852	Q	#0340B9	#ff0000	#ff77ab
QG827	TS2	Tropical	9.1537	-79.82607	Central America	#8DA0CB	9.1537	Q	#0340B9	#ff0000	#ff77ab
QG878	TS2	Tropical	9.15383	-79.82763	Central America	#8DA0CB	9.15383	Q	#0340B9	#ff0000	#ff77ab
