discordance	sites	i	j
381968	5196535	AF16	BRC20531
395601	5228781	AF16	BRC20532
392084	5221456	AF16	BRC20533
393338	5216433	AF16	BRC20534
393129	5177546	AF16	BRC20535
392658	5220941	AF16	BRC20536
393757	5222705	AF16	BRC20537
400543	5240705	AF16	BRC20541
397771	5276904	AF16	BRC20543
392786	5220261	AF16	BRC20544
393561	5232562	AF16	BRC20545
79122	5396228	AF16	BRC20556
392457	5217959	AF16	BRC20557
64596	5376528	AF16	BRC20565
82508	5381584	AF16	BRC20571
68028	5394868	AF16	BRC20574
424329	5206093	AF16	BW287
67260	5370472	AF16	DF5100
63341	5377967	AF16	ECA1129
96109	5375671	AF16	ECA1143
57885	5020890	AF16	ECA1146
44554	5286259	AF16	ECA1147
89206	5391658	AF16	ECA1149
81280	5399163	AF16	ECA1160
47447	5389192	AF16	ECA1164
257336	5091337	AF16	ECA1170
68590	5398929	AF16	ECA1174
397963	5269633	AF16	ECA1383
63646	5394657	AF16	ECA1411
65262	5396730	AF16	ECA1423
77651	5386194	AF16	ECA1429
64945	5400797	AF16	ECA1431
59545	5404034	AF16	ECA1437
87595	5270436	AF16	ECA1439
148754	5118342	AF16	ECA1443
75026	5372828	AF16	ECA1471
100365	5382283	AF16	ECA1489
74247	5093760	AF16	ECA1503
81586	5372895	AF16	ECA1507
60251	5399126	AF16	ECA1509
82548	5382559	AF16	ECA1517
78763	5390377	AF16	ECA1521
76706	5402288	AF16	ECA1555
397240	5269441	AF16	ECA1559
70926	5406712	AF16	ECA1563
91737	5399127	AF16	ECA1571
77222	5315365	AF16	ECA1587
350514	5236072	AF16	ECA1605
62326	5413778	AF16	ECA1609
75714	5355223	AF16	ECA161
61959	5368546	AF16	ECA1611
38001	5351494	AF16	ECA1615
75388	5356602	AF16	ECA162
65451	5349771	AF16	ECA1621
429955	5142012	AF16	ECA163
77305	5390448	AF16	ECA1637
75472	5389989	AF16	ECA1657
74787	5376324	AF16	ECA1701
57945	5397156	AF16	ECA175
81962	5400430	AF16	ECA176
56663	5395351	AF16	ECA177
77095	5306997	AF16	ECA180
53400	5315936	AF16	ECA182
59151	5402177	AF16	ECA183
58701	5372458	AF16	ECA185
71888	5365837	AF16	ECA186
67576	5395881	AF16	ECA2083
68223	5386297	AF16	ECA2093
76160	5406197	AF16	ECA2115
396814	5251692	AF16	ECA2299
75266	5415124	AF16	ECA2373
397952	5260667	AF16	ECA2385
55199	5420798	AF16	ECA2425
874846	5119111	AF16	ECA2617
872460	5098313	AF16	ECA2618
872004	5085927	AF16	ECA2621
92942	5383890	AF16	ECA2623
65002	5420708	AF16	ECA2625
66609	5376695	AF16	ECA2626
67163	5419843	AF16	ECA2636
58876	5392685	AF16	ECA2637
868610	5062576	AF16	ECA2639
58260	5337436	AF16	ECA2645
877689	5125155	AF16	ECA2647
67183	5418299	AF16	ECA2663
94906	5383097	AF16	ECA2664
868863	5044976	AF16	ECA2666
70829	5392414	AF16	ECA2667
868596	5062372	AF16	ECA2670
434266	5204775	AF16	ECA276
428292	5213708	AF16	ECA278
67788	5406153	AF16	ECA2808
385029	5252892	AF16	ECA287
120276	5368346	AF16	ECA288
56674	5379078	AF16	ECA2883
76822	5383430	AF16	ECA2890
81965	5363594	AF16	ECA2894
395322	5284358	AF16	ECA2936
70337	5416164	AF16	ECA2975
65043	5417120	AF16	ECA3091
58612	5401735	AF16	ECA343
62161	5375435	AF16	ECA346
397514	5276027	AF16	ECA3502
72118	5414550	AF16	ECA3503
78357	5409395	AF16	ECA3509
58317	5434343	AF16	ECA3708
88988	5381535	AF16	ECA371
60169	5421151	AF16	ECA3712
50714	5436197	AF16	ECA3713
60537	5420854	AF16	ECA3899
79389	5396690	AF16	ECA4382
93902	5413023	AF16	ECA4390
67112	5402070	AF16	ECA4394
83683	5375920	AF16	ECA4402
427300	5217295	AF16	ECA569
74920	5378186	AF16	ED3032
75285	5410323	AF16	ED3037
63068	5418758	AF16	ED3088
455982	5234994	AF16	ED3102
432519	5268912	AF16	EG4360
122703	5374429	AF16	EG5612
84547	5357836	AF16	EG5613
68867	5402507	AF16	EG6179
91314	5405103	AF16	EG6260
63994	5424906	AF16	EG6261
397050	5269455	AF16	EG6265
62671	5413890	AF16	EG6267
103240	5402873	AF16	EG6271
79191	5418579	AF16	EG6272
72371	5425813	AF16	EG6274
75290	5427315	AF16	EG6275
73770	5428071	AF16	EG6276
107767	5390188	AF16	EG6329
428147	5248663	AF16	GUN124
65622	5424069	AF16	GXW22
110427	5350134	AF16	GXW23
424573	5249320	AF16	HK104
456193	5236198	AF16	HPT11
101179	5379112	AF16	HPT16
449506	5224666	AF16	HPT18
98236	5390653	AF16	HPT19
107393	5373382	AF16	HPT2
74835	5420908	AF16	HPT21
451132	5244589	AF16	HPT24
107611	5394362	AF16	HPT34
102471	5382756	AF16	HPT37
104547	5381034	AF16	HPT4
100485	5395043	AF16	HPT42
125420	5390198	AF16	HPT52
78334	5409833	AF16	HPT53
71725	5398999	AF16	HPT54
68852	5417133	AF16	HPT55
75221	5411725	AF16	HPT59
71355	5415229	AF16	HPT60
187165	5304328	AF16	HPT62
76112	5395906	AF16	HPT63
102513	5384409	AF16	HPT7
106469	5378758	AF16	HPT8
128473	5366118	AF16	HPT9
429757	5268165	AF16	JU1085
83765	5379008	AF16	JU1337
139570	5345181	AF16	JU1338
857921	5145520	AF16	JU1341
141813	5297643	AF16	JU1346
81220	5397678	AF16	JU1347
852971	5145082	AF16	JU1348
80715	5319717	AF16	JU1375
73328	5345960	AF16	JU1377
86308	5397002	AF16	JU1378
75294	5399273	AF16	JU1392
101414	5391996	AF16	JU1399
131924	5359472	AF16	JU1424
79124	5384209	AF16	JU1435
425356	5214266	AF16	JU1564
76735	5403458	AF16	JU1637
76144	5337915	AF16	JU1638
98334	5385225	AF16	JU1794
65602	5403036	AF16	JU1795
69515	5378169	AF16	JU1799
73207	5376537	AF16	JU1802
91533	5380819	AF16	JU1814
76458	5361017	AF16	JU1884
87224	5367812	AF16	JU1885
66310	5327387	AF16	JU1907
72630	5391458	AF16	JU1908
76977	5388654	AF16	JU1909
106780	5371524	AF16	JU1913
68818	5414487	AF16	JU2053
58234	5392961	AF16	JU2054
56971	5394687	AF16	JU2056
194347	5317695	AF16	JU2057
187966	5152837	AF16	JU2160
195830	5291446	AF16	JU2162
98405	5368089	AF16	JU2214
396220	5239762	AF16	JU2216
215889	5200360	AF16	JU2457
194370	5282831	AF16	JU2470
78262	5365044	AF16	JU2472
178345	5285972	AF16	JU2507
122551	5344403	AF16	JU2518
423810	5190467	AF16	JU2536
132076	5375622	AF16	JU2618
74496	5371268	AF16	JU2799
82395	5407160	AF16	JU2836
118165	5332035	AF16	JU2849
75963	5407717	AF16	JU2861
66943	5398765	AF16	JU2868
428917	5243439	AF16	JU2872
96431	5397374	AF16	JU2910
473431	5229723	AF16	JU3168
78514	5411077	AF16	JU3171
856567	5129615	AF16	JU3199
852642	5121439	AF16	JU3200
854424	5111695	AF16	JU3201
850006	5125297	AF16	JU3202
848880	5102622	AF16	JU3203
853838	5104299	AF16	JU3206
83747	5355404	AF16	JU3207
198720	5308767	AF16	JU3237
60442	5386827	AF16	JU3281
104932	5379326	AF16	JU3319
70419	5407053	AF16	JU3321
413259	5242974	AF16	JU3326
82599	5403027	AF16	JU3327
430729	5292930	AF16	JU3416
76533	4978269	AF16	JU356
71202	5400631	AF16	JU4042
128606	5329834	AF16	JU4051
131216	5328935	AF16	JU4058
124674	5246034	AF16	JU4060
131123	5337607	AF16	JU4062
127423	5304330	AF16	JU4064
69281	5402907	AF16	JU4080
138980	5340751	AF16	JU4084
134112	5335590	AF16	JU4097
106437	5368897	AF16	JU725
74596	5396820	AF16	MY2716
67719	5419014	AF16	MY539
48706	5016504	AF16	MY681
127717	5336180	AF16	NIC1050
133421	5292160	AF16	NIC1052
117441	5269388	AF16	NIC1054
116891	5361383	AF16	NIC1055
139182	5348629	AF16	NIC1057
117994	5297574	AF16	NIC1058
117951	5332250	AF16	NIC1059
113651	5364069	AF16	NIC1060
104361	5380559	AF16	NIC1062
94674	5338165	AF16	NIC1069
118542	5365720	AF16	NIC1103
74641	5378650	AF16	NIC1104
89547	5302563	AF16	NIC1106
74273	5326277	AF16	NIC1117
138115	5341566	AF16	NIC1123
126649	5336732	AF16	NIC1124
124166	5257848	AF16	NIC1135
126174	5342139	AF16	NIC1138
121896	5338331	AF16	NIC1141
98304	5409407	AF16	NIC115
92648	5410169	AF16	NIC117
123105	5358632	AF16	NIC1183
95518	5410155	AF16	NIC119
117480	5338607	AF16	NIC1190
81049	5390639	AF16	NIC1202
85801	5356476	AF16	NIC1204
395441	5245073	AF16	NIC1205
76226	5380840	AF16	NIC1218
391617	5197562	AF16	NIC1220
87153	5289013	AF16	NIC1221
89642	5425921	AF16	NIC123
97278	5389464	AF16	NIC1267
117073	5373598	AF16	NIC1283
120833	5358455	AF16	NIC1288
123002	5388369	AF16	NIC1292
110979	5351745	AF16	NIC1302
125400	5340554	AF16	NIC1304
111418	5380762	AF16	NIC1308
120589	5372992	AF16	NIC1407
103515	5362658	AF16	NIC1421
121679	5392342	AF16	NIC1423
116875	5305320	AF16	NIC1442
117844	5357656	AF16	NIC1491
81431	5371455	AF16	NIC1525
87379	5402229	AF16	NIC1528
82138	5377490	AF16	NIC1529
79476	5381212	AF16	NIC1533
82435	5375486	AF16	NIC1535
396042	5243352	AF16	NIC1539
385327	5260458	AF16	NIC1540
395977	5234530	AF16	NIC1562
383655	5229359	AF16	NIC1589
396315	5253099	AF16	NIC1590
386317	5257458	AF16	NIC1591
381380	5241391	AF16	NIC1593
393308	5267288	AF16	NIC1595
388745	5243340	AF16	NIC1598
396646	5254426	AF16	NIC1602
405731	5229097	AF16	NIC1607
74646	5393491	AF16	NIC1628
396700	5259645	AF16	NIC1630
396867	5245423	AF16	NIC1631
426168	5182601	AF16	NIC1632
427470	5225145	AF16	NIC1633
430432	5256178	AF16	NIC1635
399320	5291241	AF16	NIC1645
386536	5107372	AF16	NIC1660
392808	5231517	AF16	NIC1661
395285	5222692	AF16	NIC1662
395963	5229762	AF16	NIC1663
386284	5246500	AF16	NIC1664
388026	5259980	AF16	NIC1665
397233	5254540	AF16	NIC1666
397302	5251756	AF16	NIC1667
397639	5249803	AF16	NIC1681
69028	5396158	AF16	NIC1688
392351	5261263	AF16	NIC1692
397165	5267440	AF16	NIC1693
73477	5331404	AF16	NIC17
431546	5274129	AF16	NIC174
90877	5411238	AF16	NIC187
95092	5404295	AF16	NIC188
382786	5241989	AF16	NIC19
94859	5413558	AF16	NIC191
386000	5240666	AF16	NIC20
380842	5187250	AF16	NIC21
387244	5270514	AF16	NIC22
122990	5356501	AF16	NIC2369
78533	5265358	AF16	NIC248
85865	5348088	AF16	NIC250
62866	5423961	AF16	NIC2527
112057	5309825	AF16	NIC309
115378	5374199	AF16	NIC325
123569	5368618	AF16	NIC327
123823	5337381	AF16	NIC329
116346	5370150	AF16	NIC330
117976	5341933	AF16	NIC331
120598	5332438	AF16	NIC332
123497	5359186	AF16	NIC333
61083	5405218	AF16	NIC343
87955	5398382	AF16	NIC392
122776	5341875	AF16	NIC400
120524	5160310	AF16	NIC402
122461	5373187	AF16	NIC419
397454	5266581	AF16	NIC504
391975	5209256	AF16	NIC505
388427	5166227	AF16	NIC518
394354	5255178	AF16	NIC519
90101	5328222	AF16	NIC532
132696	5369635	AF16	NIC541
84173	5406935	AF16	NIC549
80215	5386487	AF16	NIC552
92856	5370160	AF16	NIC555
86453	5319577	AF16	NIC574
93165	5409357	AF16	NIC578
92626	5380493	AF16	NIC583
106262	5404459	AF16	NIC590
83071	5315653	AF16	NIC593
107167	5401472	AF16	NIC60
78618	5415706	AF16	NIC61
103016	5347217	AF16	NIC62
127537	5374994	AF16	NIC67
103510	5314770	AF16	NIC758
104965	5402294	AF16	NIC777
397629	5211892	AF16	NIC779
78381	5376003	AF16	NIC790
158204	5351816	AF16	NIC791
118956	5337969	AF16	NIC792
66039	5419130	AF16	NIC793
80981	5307911	AF16	NIC795
74221	5412951	AF16	NIC796
76538	5415319	AF16	NIC802
83075	5406744	AF16	NIC803
398331	5259946	AF16	NIC805
70591	5363773	AF16	NIC811
395962	5184774	AF16	NIC814
398220	5276910	AF16	NIC815
390848	5272884	AF16	NIC816
393295	5139664	AF16	NIC819
84435	5398779	AF16	NIC821
396945	5222765	AF16	NIC822
397771	5261330	AF16	NIC824
390629	5275703	AF16	NIC825
389076	5225489	AF16	NIC827
390328	5281569	AF16	NIC828
396945	5256088	AF16	NIC863
395447	5234431	AF16	NIC864
396381	5248664	AF16	NIC865
68802	5337090	AF16	NIC871
74558	5340273	AF16	NIC883
395115	5246067	AF16	NIC889
417507	5191265	AF16	NIC893
397375	5266718	AF16	NIC897
423110	5148069	AF16	NIC899
75944	5393836	AF16	NIC901
75845	5222873	AF16	NIC911
118858	5386691	AF16	NIC96
79941	5372394	AF16	NIC984
82374	5352005	AF16	NIC985
404385	4923913	AF16	PB800
431033	5276075	AF16	PB857
69399	5419610	AF16	PE887
126627	5331421	AF16	QG1005
138586	5344776	AF16	QG1007
141387	5352296	AF16	QG1111
139407	5385883	AF16	QG1126
123695	5358326	AF16	QG1141
125487	5347183	AF16	QG1155
63163	5397655	AF16	QG130
79938	5335896	AF16	QG132
386688	5275593	AF16	QG133
147475	5366317	AF16	QG2641
140603	5373810	AF16	QG2648
135003	5371772	AF16	QG2659
131052	5381577	AF16	QG2663
154386	5358404	AF16	QG2665
122816	5338192	AF16	QG2683
133162	5344667	AF16	QG2736
71014	5389253	AF16	QG2814
69361	5407845	AF16	QG2820
70279	5370267	AF16	QG2848
178430	5327909	AF16	QG2880
56436	5398024	AF16	QG2881
59107	5348149	AF16	QG2883
181392	5322400	AF16	QG2884
876727	5109409	AF16	QG2891
182035	5326347	AF16	QG2892
878976	5138072	AF16	QG2893
180077	5306103	AF16	QG2895
178191	5351395	AF16	QG2902
181669	5316426	AF16	QG2903
176431	5318581	AF16	QG2906
873812	5112299	AF16	QG2908
73279	5386475	AF16	QG2910
876334	5103379	AF16	QG2919
179942	5321866	AF16	QG2923
181666	5326413	AF16	QG2925
120825	5369112	AF16	QG2964
112422	5362973	AF16	QG2966
135825	5373625	AF16	QG2969
124393	5323031	AF16	QG2972
139620	5370189	AF16	QG2996
128396	5351729	AF16	QG3004
138546	5363267	AF16	QG3006
135397	5360599	AF16	QG3019
138952	5352311	AF16	QG3025
141575	5345079	AF16	QG3030
116625	5363004	AF16	QG3032
142531	5354159	AF16	QG3034
122756	5351431	AF16	QG3041
80324	5390384	AF16	QG3053
113200	5381377	AF16	QG3056
138837	5351211	AF16	QG3057
134948	5365837	AF16	QG3058
96563	5325726	AF16	QG3527
430234	5263642	AF16	QG3661
85185	5354904	AF16	QG3783
133252	5280509	AF16	QG3801
90476	5242935	AF16	QG3815
86433	5333020	AF16	QG3816
135513	5367597	AF16	QG3823
93281	5389172	AF16	QG3825
86630	5310419	AF16	QG3826
92991	5382867	AF16	QG3837
89735	5369935	AF16	QG3851
86070	5289433	AF16	QG3861
135793	5325679	AF16	QG3867
90570	5388741	AF16	QG3874
96311	5394783	AF16	QG3875
91366	5370991	AF16	QG3876
95469	5395685	AF16	QG3878
92562	5393730	AF16	QG3920
94735	5382869	AF16	QG3921
100068	5399853	AF16	QG3923
97292	5390215	AF16	QG3924
106527	5392575	AF16	QG3925
103222	5395550	AF16	QG3926
106308	5387338	AF16	QG3927
107848	5366207	AF16	QG3931
94327	5387272	AF16	QG3932
73623	5369809	AF16	QG3933
864459	5045238	AF16	QG4026
871768	5106837	AF16	QG4028
873639	5118843	AF16	QG4031
879355	5124579	AF16	QG4063
875394	5100791	AF16	QG4064
880721	5142706	AF16	QG4067
880488	5141927	AF16	QG4068
57869	5414736	AF16	QG4070
873886	5105686	AF16	QG4093
874900	5089217	AF16	QG4094
876605	5099163	AF16	QG4095
879831	5126939	AF16	QG4096
876354	5100901	AF16	QG4097
874791	5092475	AF16	QG4104
874781	5096160	AF16	QG4114
877971	5119365	AF16	QG4131
880323	5136065	AF16	QG4132
874295	5117567	AF16	QG4208
881583	5147462	AF16	QG4214
877378	5105599	AF16	QG4225
875133	5106911	AF16	QG4232
872983	5087390	AF16	QG4233
167090	5369308	AF16	QG4647
98368	5390469	AF16	QG4648
88194	5399461	AF16	QG4683
148224	5373384	AF16	QG4701
101821	5394439	AF16	QG4706
101687	5410741	AF16	QG4718
85356	5413596	AF16	QG4742
172545	5343113	AF16	QG4805
72191	5403630	AF16	QG4847
110098	5388091	AF16	QG4966
96920	5401251	AF16	QG5348
91459	5374611	AF16	QG5406
427778	5217405	AF16	QG547
135353	5381380	AF16	QG5474
86429	5406068	AF16	QG5488
109207	5379228	AF16	QG550
110029	5392880	AF16	QG5507
99214	5389772	AF16	QG5525
154742	5384227	AF16	QG5589
146320	5375692	AF16	QG5603
97173	5383100	AF16	QG5611
85913	5396208	AF16	QG5612
103962	5400753	AF16	QG5633
429820	5239533	AF16	QG581
432999	5278645	AF16	QG588
122134	5380343	AF16	QG700
123804	5326096	AF16	QG727
123406	5333726	AF16	QG733
132988	5336966	AF16	QG736
127797	5349769	AF16	QG737
127850	5352502	AF16	QG739
120744	5333354	AF16	QG761
129377	5336059	AF16	QG763
130531	5332827	AF16	QG776
119246	5350664	AF16	QG781
148202	5347160	AF16	QG784
140710	5333007	AF16	QG786
125950	5329887	AF16	QG788
138376	5276026	AF16	QG790
134416	5340618	AF16	QG791
114901	5338855	AF16	QG795
140157	5335142	AF16	QG797
114514	5348906	AF16	QG802
150415	5328311	AF16	QG804
123204	5337557	AF16	QG806
131111	5315786	AF16	QG807
129679	5326297	AF16	QG808
149187	5353338	AF16	QG809
117965	5345850	AF16	QG825
128159	5285513	AF16	QG827
123770	5304759	AF16	QG828
117376	5285533	AF16	QG833
145799	5341280	AF16	QG855
130450	5330574	AF16	QG856
149749	5339205	AF16	QG858
121940	5244186	AF16	QG860
149145	5328500	AF16	QG864
134294	5358579	AF16	QG865
119190	5370231	AF16	QG866
119124	5321595	AF16	QG868
120926	5365470	AF16	QG874
150094	5251337	AF16	QG875
124382	5308382	AF16	QG878
123393	5353296	AF16	QG879
129421	5229036	AF16	QG880
119063	5327100	AF16	QG881
127416	5352369	AF16	QG887
145381	5340666	AF16	QG888
135798	5332013	AF16	QG926
84752	5352228	AF16	QG927
137355	5325659	AF16	QG933
135644	5338535	AF16	QG937
139704	5278135	AF16	QG945
140248	5341697	AF16	QG946
131219	5355425	AF16	QG947
120240	5323240	AF16	QG948
120827	5305251	AF16	QG952
138149	5350723	AF16	QG978
129132	5343870	AF16	QG980
115821	5370284	AF16	QG986
116553	5325568	AF16	QG991
144921	5360704	AF16	QG994
119538	5375931	AF16	QG995
133081	5348295	AF16	QG997
135908	5372228	AF16	QG998
425831	5252764	AF16	QR25
86054	5443419	AF16	QX1410
421921	5148539	AF16	QX1547
75059	5385976	AF16	QX1795
69279	5373126	AF16	QX1796
306717	5211469	AF16	QX1798
70812	5310927	AF16	QX1800
73888	5402821	AF16	QX1801
64875	5397394	AF16	QX1802
45922	5399979	AF16	QX1803
59114	5350869	AF16	QX1804
429996	5256102	AF16	SOW18
428760	5256097	AF16	SOW21
430247	5254197	AF16	SOW22
65060	5415957	AF16	TT3408
62251	5416043	AF16	TT3411
398240	5273910	AF16	TWN1772
388919	5253833	AF16	TWN1824
381119	5197200	AF16	TWN1899
397592	5276205	AF16	TWN1907
395988	5242256	AF16	TWN2919
391799	5196450	AF16	TWN3077
398229	5272554	AF16	UH1
116534	5344814	AF16	VSL2201
857641	5155426	AF16	VSL2207
856947	5150116	AF16	VSL2209
86171	5390035	AF16	VSL2210
82953	5398812	AF16	VSL2212
146531	5356677	AF16	VSL2213
132268	5358501	AF16	VSL2215
140061	5357600	AF16	VSL2216
188580	5331902	AF16	VSL2217
80637	5386223	AF16	VSL2219
72302	5356203	AF16	VT847
415597	5265302	AF16	VX34
100898	5398829	AF16	XZ1204
120583	5363734	AF16	XZ1205
118651	5371855	AF16	XZ1206
79506	5358967	AF16	XZ1207
79057	5404523	AF16	XZ1210
73940	5413291	AF16	XZ1212
72890	5406609	AF16	XZ1213
75749	5411994	AF16	XZ1731
78263	5412429	AF16	XZ1732
182803	5345131	AF16	ZZY0992
60856	5390023	AF16	ZZY1034
65121	5419720	AF16	ZZY1075
174171	5325752	AF16	ZZY1123
61864	5420606	AF16	ZZY1130
66329	5416990	AF16	ZZY405
70141	5561468	BRC20069	BRC20073
394785	5390758	BRC20069	BRC20075
41208	5526456	BRC20069	BRC20077
404124	5393478	BRC20069	BRC20081
106425	5509773	BRC20069	BRC20085
403451	5366037	BRC20069	BRC20088
61183	5544235	BRC20069	BRC20089
65240	5502310	BRC20069	BRC20090
111406	5530860	BRC20069	BRC20092
42047	5477953	BRC20069	BRC20093
106454	5483556	BRC20069	BRC20094
73913	5549380	BRC20069	BRC20095
64096	5523016	BRC20069	BRC20096
56281	5546236	BRC20069	BRC20098
61166	5550296	BRC20069	BRC20099
62302	5493878	BRC20069	BRC20100
60865	5556502	BRC20069	BRC20102
72807	5538021	BRC20069	BRC20103
113197	5503644	BRC20069	BRC20105
113600	5521446	BRC20069	BRC20107
412738	5315421	BRC20069	BRC20115
144767	5495096	BRC20069	BRC20119
36290	5503055	BRC20069	BRC20228
395610	5392831	BRC20069	BRC20229
404250	5354181	BRC20069	BRC20230
394448	5365927	BRC20069	BRC20232
406526	5382903	BRC20069	BRC20238
398019	5396812	BRC20069	BRC20239
66500	5534054	BRC20069	BRC20241
66663	5537251	BRC20069	BRC20242
406187	5389770	BRC20069	BRC20244
405774	5369364	BRC20069	BRC20246
184822	5464283	BRC20069	BRC20257
46549	5494084	BRC20069	BRC20260
405992	5386561	BRC20069	BRC20270
403276	5353240	BRC20069	BRC20272
408092	5391723	BRC20069	BRC20289
400729	5287636	BRC20069	BRC20290
64613	5558489	BRC20069	BRC20294
407200	5408127	BRC20069	BRC20308
407967	5412161	BRC20069	BRC20309
407957	5400644	BRC20069	BRC20311
408616	5413194	BRC20069	BRC20312
408204	5413725	BRC20069	BRC20315
405882	5371769	BRC20069	BRC20320
237656	5358030	BRC20069	BRC20324
402035	5342188	BRC20069	BRC20331
406740	5391644	BRC20069	BRC20333
404942	5367167	BRC20069	BRC20334
403586	5385918	BRC20069	BRC20339
409092	5378931	BRC20069	BRC20341
396030	5400439	BRC20069	BRC20343
404817	5368212	BRC20069	BRC20346
398609	5411139	BRC20069	BRC20347
408488	5404662	BRC20069	BRC20348
145666	5445664	BRC20069	BRC20353
151306	5447831	BRC20069	BRC20360
148021	5475922	BRC20069	BRC20361
144097	5480257	BRC20069	BRC20362
409179	5366961	BRC20069	BRC20366
408558	5418723	BRC20069	BRC20367
63795	5556801	BRC20069	BRC20369
407086	5410481	BRC20069	BRC20370
437173	5325432	BRC20069	BRC20388
409695	5420661	BRC20069	BRC20390
50038	5523276	BRC20069	BRC20401
402437	5336428	BRC20069	BRC20463
408043	5325502	BRC20069	BRC20492
403497	5358615	BRC20069	BRC20499
406140	5377708	BRC20069	BRC20501
428274	5262276	BRC20069	BRC20502
427662	5322125	BRC20069	BRC20503
406838	5325572	BRC20069	BRC20519
409704	5356610	BRC20069	BRC20520
391760	5400646	BRC20069	BRC20522
392797	5397839	BRC20069	BRC20524
399180	5311059	BRC20069	BRC20529
393180	5352673	BRC20069	BRC20530
389728	5328017	BRC20069	BRC20531
405670	5364016	BRC20069	BRC20532
401753	5356517	BRC20069	BRC20533
403389	5349331	BRC20069	BRC20534
402177	5304837	BRC20069	BRC20535
403143	5352013	BRC20069	BRC20536
403730	5357979	BRC20069	BRC20537
409923	5375464	BRC20069	BRC20541
408399	5410613	BRC20069	BRC20543
402628	5352845	BRC20069	BRC20544
403576	5369028	BRC20069	BRC20545
53991	5546853	BRC20069	BRC20556
402656	5353958	BRC20069	BRC20557
54609	5526427	BRC20069	BRC20565
79113	5524264	BRC20069	BRC20571
42690	5545688	BRC20069	BRC20574
435596	5325353	BRC20069	BW287
73759	5511980	BRC20069	DF5100
78388	5521071	BRC20069	ECA1129
92996	5519831	BRC20069	ECA1143
54841	5148307	BRC20069	ECA1146
60663	5418433	BRC20069	ECA1147
99407	5531324	BRC20069	ECA1149
82386	5527284	BRC20069	ECA1160
62377	5521886	BRC20069	ECA1164
264643	5215457	BRC20069	ECA1170
81501	5531770	BRC20069	ECA1174
407234	5403876	BRC20069	ECA1383
67597	5535316	BRC20069	ECA1411
74049	5532975	BRC20069	ECA1423
71285	5527880	BRC20069	ECA1429
63948	5538687	BRC20069	ECA1431
66190	5546284	BRC20069	ECA1437
81925	5409663	BRC20069	ECA1439
147660	5248448	BRC20069	ECA1443
80834	5511305	BRC20069	ECA1471
101229	5525516	BRC20069	ECA1489
73799	5225263	BRC20069	ECA1503
79998	5516894	BRC20069	ECA1507
81506	5531742	BRC20069	ECA1509
82371	5525676	BRC20069	ECA1517
70866	5531562	BRC20069	ECA1521
82304	5534746	BRC20069	ECA1555
406609	5404531	BRC20069	ECA1559
