samples	cluster	lat	long	geo
JU2849	G	-20.382477	-43.505978	South America
JU2872	R	48.2121	16.3592	Europe
JU3168	O	0.289	6.612	Africa
JU3199	E	13.0226	77.5668	Asia
JU3200	E	13.0232	77.5668	Asia
JU3201	E	13.0222	77.5676	Asia
JU3202	E	13.02272	77.56866	Asia
JU3203	E	13.0727	77.579	Asia
JU3206	E	13.07251	77.57924	Asia
JU3237	I	-12.76	45.09	Africa
JU3321	V	31.15	121.44305	Asia
JU4051	G	22.3228	103.8841	Asia
JU4058	G	22.301	103.9218	Asia
JU4060	G	22.2901	103.9332	Asia
JU4062	G	22.2898	103.9338	Asia
JU4064	G	22.2883	103.9369	Asia
JU4084	G	12.1639	108.6667	Asia
JU4097	G	12.15426	108.65825	Asia
MY2716	U	54.3491	10.11505	Europe
NIC1050	T	20.51328	-87.24718	Central America
NIC1054	T	20.48991	-87.72797	Central America
NIC1055	T	20.48978	-87.72502	Central America
NIC1057	T	20.48756	-87.72532	Central America
NIC1059	T	20.48627	-87.72449	Central America
NIC1060	T	20.48529	-87.72361	Central America
NIC1123	G	-12.87435802	-69.49724601	South America
NIC1124	L	-12.874341	-69.497087	South America
NIC1135	L	-12.87313996	-69.49687704	South America
NIC1138	L	-12.872112	-69.49822702	South America
NIC1141	L	-12.872155	-69.49781103	South America
NIC115	P	16.0207	-61.597	Caribbean
NIC117	P	16.1779	-61.6563	Caribbean
NIC1183	L	-12.88450004	-69.48577797	South America
NIC119	P	16.1779	-61.6563	Caribbean
NIC1190	L	-12.88059298	-69.48706903	South America
NIC1205	H	26.22481	119.99506	Asia
NIC1220	H	25.95224	119.9771	Asia
NIC123	P	16.1779	-61.6563	Caribbean
NIC1283	T	3.640333973	-53.20234504	South America
NIC1407	T	3.630410973	-53.20572797	South America
NIC1442	L	4.05508797615766	-52.6781770214438	South America
NIC1491	L	4.08790203742682	-52.6799480337649	South America
NIC1539	K	25.06052	121.76957	Taiwan
NIC1540	F	25.05792	121.77076	Taiwan
NIC1589	F	24.68622	121.13734	Taiwan
NIC1590	D	24.68622	121.13734	Taiwan
NIC1591	F	24.68622	121.13734	Taiwan
NIC1593	F	24.68622	121.13734	Taiwan
NIC1595	H	24.6871	121.13633	Taiwan
NIC1598	D	24.6871	121.13633	Taiwan
NIC1607	S	22.0861	120.84222	Taiwan
NIC1628	U	25.02113	121.58315	Taiwan
NIC1631	H	25.02782	121.57627	Taiwan
NIC1632	R	34.88358	135.81659	Pacific
NIC1633	R	34.88358	135.81659	Pacific
NIC1635	R	34.88328	135.81733	Pacific
NIC1660	H	25.03808	121.74625	Taiwan
NIC1661	D	23.66552	120.79794	Taiwan
NIC1662	H	23.66543	120.79964	Taiwan
NIC1663	D	23.66543	120.79964	Taiwan
NIC1664	F	23.66109	120.7967	Taiwan
NIC1665	F	23.66654	120.79295	Taiwan
NIC1666	D	23.6694	120.78929	Taiwan
NIC1667	K	25.10869	121.83743	Taiwan
NIC1688	U	25.03266	121.587	Taiwan
NIC1692	D	25.03488	121.58864	Taiwan
NIC1693	H	25.03488	121.58864	Taiwan
NIC174	R	47.1575	7.64673	Europe
NIC19	F	25.15219	121.54461	Taiwan
NIC191	P	16.0455	-61.6938	Caribbean
NIC20	F	24.47058	120.97781	Taiwan
NIC21	F	24.47605	120.99481	Taiwan
NIC22	F	24.19177	121.01531	Taiwan
NIC2369	G	4.0373529586941	-52.671654978767	South America
NIC248	P	15.853547	-61.631073	Caribbean
NIC250	P	16.0207	-61.597	Caribbean
NIC2527	V	39.476358	-0.386592	Europe
NIC309	L	5.53529	-53.56336	South America
NIC325	L	5.53529	-53.56336	South America
NIC343	V	5.41134	-53.65517	South America
NIC419	G	4.03617	-52.67805	South America
NIC504	D	23.5347	120.6775	Taiwan
NIC505	D	23.5347	120.6775	Taiwan
NIC518	K	25.00739	121.900472	Taiwan
NIC532	P	16.018756	-61.593654	Caribbean
NIC549	P	15.56923	-61.3744	Caribbean
NIC574	P	15.47461	-61.29876	Caribbean
NIC593	P	15.4071	-61.3453	Caribbean
NIC60	L	5.07382	-52.69551	South America
NIC67	G	4.08533	-52.6751	South America
NIC779	D	23.72791	120.76594	Taiwan
NIC790	U	23.83645	120.7249	Taiwan
NIC795	U	23.83617	120.72563	Taiwan
NIC802	U	23.83701	120.72771	Taiwan
NIC805	H	23.81441	120.85687	Taiwan
NIC815	H	23.81407	120.8564	Taiwan
NIC816	F	23.81417	120.856	Taiwan
NIC819	S	23.81418	120.85581	Taiwan
NIC824	H	23.60248	120.88317	Taiwan
NIC825	F	23.60246	120.88278	Taiwan
NIC827	F	23.60233	120.88182	Taiwan
NIC828	F	23.60197	120.88157	Taiwan
NIC863	D	23.72763	120.76625	Taiwan
NIC864	H	23.72733	120.76653	Taiwan
NIC889	H	23.81433	120.85649	Taiwan
NIC893	M	22.00932	121.57214	Taiwan
NIC899	R	35.661062	139.684827	Pacific
NIC96	L	4.08747	-52.67394	South America
PB800	R	39.823748	-84.289418	North America
PB857	R	39.784	-84.0554	North America
QG1007	C	9.164456	-79.844623	Central America
QG1126	C	9.16835	-79.839279	Central America
QG1141	J	9.160449	-79.840373	Central America
QG130	B	22.2202	-159.5829	Hawaii
QG2648	C	9.153933333	-79.83166667	Central America
QG2683	J	9.153933333	-79.83166667	Central America
QG2880	I	-16.8999	145.7489833	Australia
QG2884	I	-16.0950167	145.4665333	Australia
QG2891	A	-16.1026	145.4467333	Australia
QG2892	I	-16.1026	145.4467333	Australia
QG2893	Q	-16.1026	145.4467333	Australia
QG2895	I	-16.10295	145.44645	Australia
QG2902	I	-16.10365	145.4473167	Australia
QG2903	I	-16.10365	145.4473167	Australia
QG2906	I	-16.10275	145.4482833	Australia
QG2908	Q	-17.2643833	145.4884833	Australia
QG2923	I	-20.2852667	148.7647	Australia
QG2925	I	-16.2375361	145.4287278	Australia
QG2964	J	9.166166667	-79.84	Central America
QG2996	C	9.163766667	-79.8440167	Central America
QG3025	C	9.1581	-79.8474333	Central America
QG3030	C	9.1594	-79.8478833	Central America
QG3034	C	9.163366667	-79.8447333	Central America
QG3041	C	9.164216667	-79.8373667	Central America
QG3661	R	41.62083	-73.58889	North America
QG3825	P	10.43026	-84.00905	Central America
QG3837	P	10.42540556	-84.00121667	Central America
QG4026	A	-26.26193056	152.8296722	Australia
QG4028	A	-26.26193056	152.8296722	Australia
QG4031	A	-26.26193056	152.8296722	Australia
QG4063	A	-21.1461744	148.4998921	Australia
QG4064	A	-21.1453727	148.4997337	Australia
QG4067	A	-21.1453727	148.4997337	Australia
QG4068	A	-21.1453727	148.4997337	Australia
QG4093	Q	-21.16862222	148.5080167	Australia
QG4095	A	-21.16862222	148.5080167	Australia
QG4096	A	-21.16879444	148.506575	Australia
QG4097	A	-21.16879444	148.506575	Australia
QG4104	A	-21.14488889	148.498225	Australia
QG4114	A	-21.144475	148.4999222	Australia
QG4131	A	-21.17034722	148.5080417	Australia
QG4132	A	-21.17034722	148.5080417	Australia
QG4208	Q	-21.1695006	148.5079426	Australia
QG4214	A	-21.1448256	148.4984929	Australia
QG4225	A	-21.14559444	148.4993528	Australia
QG4647	I	6.9073	158.1815	Pacific
QG4742	U	6.9213	158.2637	Pacific
QG4805	I	6.8578	158.2183	Pacific
QG4847	U	6.9204	158.2633	Pacific
QG4966	U	6.9196	158.2712	Pacific
QG5348	U	6.9666	158.1907	Pacific
QG547	R	40.783	-73.985	North America
QG5611	U	6.9578	158.2086	Pacific
QG581	R	45.5423	-74.01235	North America
QG588	R	41.52503056	-70.67271389	North America
QG727	J	9.14141	-79.8285	Central America
QG733	J	9.152583	-79.852998	Central America
QG739	J	9.15447	-79.82758	Central America
QG781	J	9.159031	-79.830326	Central America
QG788	J	9.151852	-79.853543	Central America
QG797	C	9.152688	-79.851539	Central America
QG802	J	9.158057	-79.834221	Central America
QG804	C	9.152943	-79.851689	Central America
QG806	J	9.147185361	-79.8528469	Central America
QG807	J	9.147185361	-79.8528469	Central America
QG809	C	9.1491	-79.856143	Central America
QG825	J	9.16485	-79.8391	Central America
QG827	J	9.1537	-79.82607	Central America
QG828	J	9.15885	-79.83537	Central America
QG833	J	9.15388	-79.83167	Central America
QG874	J	9.16478	-79.83927	Central America
QG875	C	9.1543	-79.82672	Central America
QG878	J	9.15383	-79.82763	Central America
QG879	J	9.16152	-79.83633	Central America
QG888	C	9.14576403	-79.8544232	Central America
QG933	C	9.164456	-79.844623	Central America
QG945	C	9.147419	-79.85312	Central America
QG946	C	9.147419	-79.85312	Central America
QG947	J	9.154377	-79.833165	Central America
QG948	J	9.145492913	-79.8261379	Central America
QG980	J	9.1491	-79.856143	Central America
QG986	J	9.147419	-79.85312	Central America
QG991	J	9.16163	-79.83895	Central America
QG994	C	9.154377	-79.833165	Central America
QG995	J	9.158893	-79.835315	Central America
QG998	C	9.170573	-79.84316	Central America
QX1547	R	35.931125	-84.931125	North America
QX1796	B	20.8795	-156.1965	Hawaii
QX1804	B	20.7894	-156.0043	Hawaii
SOW18	R	39.960663	-75.605492	North America
SOW21	R	41.41123603	-78.70870679	North America
SOW22	R	40.006496	-75.703278	North America
TT3408	V	18.9082	72.8057	Asia
TT3411	V	18.90627	72.80395	Asia
TWN1772	D	24.69641667	121.4180556	Taiwan
TWN1824	F	24.69027778	121.4055556	Taiwan
TWN1899	F	25.16666667	121.5166667	Taiwan
TWN1907	K	24.85	121.55	Taiwan
TWN2919	K	24.17394444	121.6172222	Taiwan
VSL2207	E	12.42865	75.7624	Asia
VSL2209	E	12.3692	75.9012	Asia
VSL2213	G	12.383	75.903	Asia
VSL2216	G	NA	NA	Asia
VSL2217	I	NA	NA	Asia
XZ1205	G	-23.852	-46.4172	South America
XZ1206	G	-23.852	-46.4172	South America
ZZY0992	I	22.42381115	114.1793101	Asia
ZZY1123	I	22.42629881	114.1811105	Asia
