"","samples","cluster","frac_cluster","max_frac","lat","long","geo"
"104","BRC20077","P",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"105","BRC20077","Q",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"106","BRC20077","R",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"107","BRC20077","S",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"108","BRC20077","T",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"109","BRC20077","U",0.99979,0.99979,24.793571,121.364232,"Taiwan"
"110","BRC20077","V",1e-05,0.99979,24.793571,121.364232,"Taiwan"
"111","BRC20081","A",1e-05,0.685068,24.602334,121.510549,"Taiwan"
"112","BRC20081","B",1e-05,0.685068,24.602334,121.510549,"Taiwan"
"113","BRC20081","C",1e-05,0.685068,24.602334,121.510549,"Taiwan"
"114","BRC20081","D",0.685068,0.685068,24.602334,121.510549,"Taiwan"
"115","BRC20081","E",1e-05,0.685068,24.602334,121.510549,"Taiwan"
"116","BRC20081","F",1e-05,0.685068,24.602334,121.510549,"Taiwan"
"117","BRC20081","G",1e-05,0.685068,24.602334,121.510549,"Taiwan"
"118","BRC20081","H",0.252187,0.685068,24.602334,121.510549,"Taiwan"
"119","BRC20081","I",1e-05,0.685068,24.602334,121.510549,"Taiwan"
"120","BRC20081","J",1e-05,0.685068,24.602334,121.510549,"Taiwan"
"121","BRC20081","K",0.062552,0.685068,24.602334,121.510549,"Taiwan"
"122","BRC20081","L",1e-05,0.685068,24.602334,121.510549,"Taiwan"
"123","BRC20081","M",1.1e-05,0.685068,24.602334,121.510549,"Taiwan"
"124","BRC20081","N",1e-05,0.685068,24.602334,121.510549,"Taiwan"
"125","BRC20081","O",1e-05,0.685068,24.602334,121.510549,"Taiwan"
"126","BRC20081","P",1e-05,0.685068,24.602334,121.510549,"Taiwan"
"127","BRC20081","Q",1e-05,0.685068,24.602334,121.510549,"Taiwan"
"128","BRC20081","R",1e-05,0.685068,24.602334,121.510549,"Taiwan"
"129","BRC20081","S",1e-05,0.685068,24.602334,121.510549,"Taiwan"
"130","BRC20081","T",1e-05,0.685068,24.602334,121.510549,"Taiwan"
"131","BRC20081","U",1.2e-05,0.685068,24.602334,121.510549,"Taiwan"
"132","BRC20081","V",1e-05,0.685068,24.602334,121.510549,"Taiwan"
"133","BRC20085","A",1e-05,0.421269,24.794443,121.364029,"Taiwan"
"134","BRC20085","B",1e-05,0.421269,24.794443,121.364029,"Taiwan"
"135","BRC20085","C",1e-05,0.421269,24.794443,121.364029,"Taiwan"
"136","BRC20085","D",1e-05,0.421269,24.794443,121.364029,"Taiwan"
"137","BRC20085","E",1e-05,0.421269,24.794443,121.364029,"Taiwan"
"138","BRC20085","F",1e-05,0.421269,24.794443,121.364029,"Taiwan"
"139","BRC20085","G",0.421269,0.421269,24.794443,121.364029,"Taiwan"
"140","BRC20085","H",1e-05,0.421269,24.794443,121.364029,"Taiwan"
"141","BRC20085","I",0.099123,0.421269,24.794443,121.364029,"Taiwan"
"142","BRC20085","J",0.075446,0.421269,24.794443,121.364029,"Taiwan"
"143","BRC20085","K",1e-05,0.421269,24.794443,121.364029,"Taiwan"
"144","BRC20085","L",1e-05,0.421269,24.794443,121.364029,"Taiwan"
"145","BRC20085","M",1e-05,0.421269,24.794443,121.364029,"Taiwan"
"146","BRC20085","N",1e-05,0.421269,24.794443,121.364029,"Taiwan"
"147","BRC20085","O",1e-05,0.421269,24.794443,121.364029,"Taiwan"
"148","BRC20085","P",1e-05,0.421269,24.794443,121.364029,"Taiwan"
"149","BRC20085","Q",1e-05,0.421269,24.794443,121.364029,"Taiwan"
"150","BRC20085","R",1e-05,0.421269,24.794443,121.364029,"Taiwan"
"151","BRC20085","S",1e-05,0.421269,24.794443,121.364029,"Taiwan"
"152","BRC20085","T",1e-05,0.421269,24.794443,121.364029,"Taiwan"
"153","BRC20085","U",0.382823,0.421269,24.794443,121.364029,"Taiwan"
"154","BRC20085","V",0.02117,0.421269,24.794443,121.364029,"Taiwan"
"155","BRC20088","A",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"156","BRC20088","B",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"157","BRC20088","C",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"158","BRC20088","D",0.913453,0.913453,25.15533333,121.5465611,"Taiwan"
"159","BRC20088","E",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"160","BRC20088","F",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"161","BRC20088","G",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"162","BRC20088","H",0.086347,0.913453,25.15533333,121.5465611,"Taiwan"
"163","BRC20088","I",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"164","BRC20088","J",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"165","BRC20088","K",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"166","BRC20088","L",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"167","BRC20088","M",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"168","BRC20088","N",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"169","BRC20088","O",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"170","BRC20088","P",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"171","BRC20088","Q",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"172","BRC20088","R",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"173","BRC20088","S",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"174","BRC20088","T",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"175","BRC20088","U",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"176","BRC20088","V",1e-05,0.913453,25.15533333,121.5465611,"Taiwan"
"177","BRC20089","A",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"178","BRC20089","B",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"179","BRC20089","C",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"180","BRC20089","D",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"181","BRC20089","E",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"182","BRC20089","F",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"183","BRC20089","G",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
"184","BRC20089","H",1e-05,0.99979,25.15533333,121.5465611,"Taiwan"
