N	eigenvalue	difference	twstat	p-value	effect.n
172	0.900552	-0.001739	-4.715	0.999193	839.443
173	0.886934	-0.013618	-5.840	0.999994	840.710
174	0.881801	-0.005134	-5.893	0.999995	841.757
175	0.878182	-0.003619	-5.753	0.99999	842.801
176	0.874022	-0.004160	-5.683	0.999986	843.878
177	0.868902	-0.005120	-5.741	0.99999	844.976
178	0.860859	-0.008042	-6.193	0.999999	846.068
179	0.858285	-0.002575	-5.929	0.999996	847.076
180	0.849899	-0.008386	-6.442	1	848.143
181	0.842931	-0.006968	-6.781	1	849.112
182	0.836681	-0.006249	-7.034	1	850.019
183	0.832166	-0.004516	-7.060	1	850.879
184	0.826202	-0.005964	-7.288	1	851.740
185	0.812159	-0.014043	-8.638	1	852.559
186	0.809236	-0.002922	-8.487	1	853.114
187	0.806655	-0.002581	-8.286	1	853.703
188	0.804715	-0.001941	-7.994	1	854.334
189	0.799241	-0.005474	-8.192	1	855.028
190	0.790170	-0.009071	-8.905	1	855.686
191	0.789598	-0.000571	-8.435	1	856.204
192	0.781614	-0.007984	-9.011	1	856.820
193	0.780310	-0.001304	-8.648	1	857.324
194	0.776545	-0.003764	-8.632	1	857.904
195	0.775473	-0.001072	-8.229	1	858.490
196	0.767641	-0.007832	-8.799	1	859.162
197	0.765108	-0.002534	-8.614	1	859.721
198	0.763777	-0.001331	-8.250	1	860.321
199	0.761623	-0.002154	-8.001	1	860.999
200	0.760583	-0.001041	-7.583	1	861.732
201	0.759793	-0.000790	-7.120	1	862.558
202	0.755767	-0.004025	-7.129	1	863.486
203	0.751218	-0.004550	-7.220	1	864.418
204	0.746458	-0.004759	-7.348	1	865.335
205	0.745556	-0.000902	-6.898	1	866.230
206	0.741204	-0.004352	-6.964	1	867.228
207	0.737832	-0.003372	-6.884	1	868.217
208	0.737605	-0.000227	-6.322	1	869.230
209	0.724823	-0.012782	-7.686	1	870.372
210	0.722573	-0.002250	-7.456	1	871.221
211	0.722058	-0.000515	-6.951	1	872.125
212	0.717212	-0.004846	-7.115	1	873.146
213	0.713099	-0.004113	-7.170	1	874.136
214	0.706528	-0.006571	-7.619	1	875.120
215	0.704484	-0.002044	-7.363	1	876.009
216	0.700282	-0.004202	-7.447	1	876.961
217	0.699192	-0.001090	-7.036	1	877.899
218	0.698073	-0.001120	-6.622	1	878.935
219	0.684083	-0.013990	-8.289	1	880.071
220	0.682429	-0.001653	-7.991	1	880.837
221	0.679773	-0.002657	-7.852	1	881.675
222	0.676011	-0.003762	-7.894	1	882.548
223	0.675559	-0.000452	-7.392	1	883.417
224	0.674775	-0.000784	-6.935	1	884.405
225	0.669413	-0.005362	-7.233	1	885.504
226	0.661694	-0.007719	-7.938	1	886.541
227	0.657359	-0.004335	-8.094	1	887.421
228	0.652077	-0.005282	-8.417	1	888.269
229	0.651472	-0.000605	-7.954	1	889.049
230	0.647070	-0.004402	-8.132	1	889.939
231	0.639895	-0.007176	-8.795	1	890.793
232	0.639491	-0.000404	-8.307	1	891.498
233	0.635285	-0.004206	-8.469	1	892.321
234	0.633711	-0.001574	-8.178	1	893.110
235	0.628607	-0.005103	-8.502	1	893.971
236	0.624227	-0.004380	-8.709	1	894.762
237	0.622047	-0.002180	-8.535	1	895.508
238	0.621260	-0.000787	-8.111	1	896.299
239	0.618057	-0.003203	-8.109	1	897.195
240	0.616067	-0.001990	-7.893	1	898.097
241	0.612247	-0.003820	-8.003	1	899.055
242	0.607290	-0.004956	-8.326	1	899.993
243	0.603812	-0.003478	-8.390	1	900.857
244	0.599905	-0.003907	-8.538	1	901.711
245	0.595185	-0.004720	-8.841	1	902.533
246	0.594114	-0.001071	-8.481	1	903.287
247	0.591685	-0.002429	-8.366	1	904.132
248	0.586677	-0.005008	-8.731	1	905.010
249	0.582945	-0.003732	-8.870	1	905.804
250	0.582169	-0.000777	-8.458	1	906.567
251	0.581145	-0.001023	-8.084	1	907.436
252	0.577367	-0.003779	-8.227	1	908.404
253	0.576473	-0.000894	-7.825	1	909.341
254	0.575157	-0.001316	-7.495	1	910.384
255	0.570166	-0.004991	-7.869	1	911.518
256	0.567899	-0.002266	-7.727	1	912.563
257	0.565676	-0.002223	-7.576	1	913.650
